,imv
0,"[0.14662919838040742, 0.1273906759573205, 0.12225224786481714, 0.13612006018894537, 0.08911714267790204, 0.09881953413833103, 0.12563703101223964, 0.10887584227690045, 0.15052551214516346, 0.09087159502904056]"
1,"[0.13933571583671125, 0.10022567221565716, 0.13041902649806356, 0.15672384513237886, 0.0953059607606269, 0.12233384932638143, 0.12854777469175194, 0.10208118879252073, 0.08113711504543951, 0.12685383509555118]"
2,"[0.07144377807059625, 0.13614338772990436, 0.1409532671356802, 0.10890420710853418, 0.08160815685208776, 0.16465494895108349, 0.14120080966818455, 0.11590312872348013, 0.10476075677101859, 0.12172015093145133]"
3,"[0.08562528280810429, 0.08948909878574447, 0.1384181061503668, 0.12943621644055556, 0.08250871064329304, 0.12086601543555428, 0.1089847507928775, 0.13711041872701524, 0.13458897484486945, 0.15692401094175887]"
4,"[0.10305294188140447, 0.14521445678638328, 0.10670789221387088, 0.09338710356435309, 0.13693725093338466, 0.09618798813423816, 0.12035726811768863, 0.1317429177194174, 0.12665161595043203, 0.13107405348498313]"
5,"[0.15917402363144084, 0.10560747724261386, 0.10672729517834902, 0.142857631077246, 0.0793164191199465, 0.11760481999312024, 0.09391537940019873, 0.11201737535428176, 0.1394862071361399, 0.14182433824079202]"
6,"[0.13358532844791615, 0.12477225456411947, 0.11668887427376892, 0.12816573176684248, 0.10886959306404109, 0.11448359063271042, 0.1335302233439707, 0.06148235973233145, 0.1438784174978622, 0.1287561797080535]"
7,"[0.12160105335166642, 0.1494792337573031, 0.07512646680667881, 0.09527086348697408, 0.14564967469133566, 0.10663509377392084, 0.10482718446239364, 0.11225359067879605, 0.12317482434085275, 0.16264378668717594]"
8,"[0.10220743996971621, 0.0777598654176961, 0.11214639023447465, 0.1062170607598335, 0.13180024536839835, 0.15468443311804284, 0.1068179249108606, 0.12208132033562798, 0.16163642811541842, 0.11874079297447286]"
9,"[0.15281659835338637, 0.11917887540492787, 0.14029439818159903, 0.14418625548733408, 0.13981527022515317, 0.08612587024661594, 0.12088816690388476, 0.08426889285883939, 0.0962198983158641, 0.11344937754787485]"
10,"[0.12805653463590438, 0.11165702393884533, 0.12497398081551245, 0.09863355586242989, 0.11732989929202126, 0.13423072050349988, 0.0917078249846529, 0.11125253799994392, 0.151242692311534, 0.12188070158027897]"
11,"[0.14583845531578332, 0.11938736716208186, 0.11027032085316138, 0.07700186283210873, 0.14280673923041357, 0.07472309682101143, 0.11114220452141607, 0.11375486710708758, 0.13101199792612184, 0.16031313777135497]"
12,"[0.16696621606424078, 0.10770382150295857, 0.1180817230965361, 0.10891091773679189, 0.10004426304818541, 0.13882597293771026, 0.09432416011148774, 0.116153747208079, 0.13176650845151933, 0.10968493944629795]"
13,"[0.10279220167236727, 0.12220675738717376, 0.1147129061961016, 0.11894114399018359, 0.1283760240715024, 0.135757074617839, 0.11731157596003135, 0.1062780733865642, 0.1281696866252506, 0.13201039068531922]"
14,"[0.13043806858205523, 0.13896390460303398, 0.12842463159059472, 0.1178496313519547, 0.1196918943311946, 0.11237144934511792, 0.14938270355352468, 0.10798151790626341, 0.0902284196719549, 0.08819530691849702]"
15,"[0.14722606097308988, 0.1567588523333732, 0.1062524923901869, 0.11226950097923347, 0.13622016013384253, 0.11854841977425709, 0.08066625060685365, 0.07169626150508501, 0.1112309433268946, 0.13999758728740014]"
16,"[0.1217093633257578, 0.15727616257151386, 0.11562126522309436, 0.12253830645282907, 0.13774808382800963, 0.13482530650160193, 0.05558529022652972, 0.12919642248033647, 0.1046274772724918, 0.112520989715803]"
17,"[0.1223710605234823, 0.13578189216424844, 0.12218311199609082, 0.12038293387049799, 0.10961933328519115, 0.10653176143399538, 0.11654839816457578, 0.11717060465854642, 0.12280854794134743, 0.1295748985047528]"
18,"[0.10412244613328439, 0.11445744089214421, 0.12025675236223408, 0.13957760618804974, 0.11951885537605879, 0.143072335907318, 0.10111520007290498, 0.10496379658177707, 0.10126323366819202, 0.1450319020245914]"
19,"[0.11081078200641672, 0.13523241786830606, 0.1246941659761306, 0.11100487785290857, 0.11672103786811337, 0.11977386743822412, 0.12446180219223754, 0.1341766786766903, 0.09303957165864386, 0.1296541920002806]"
