,imv
0,"[0.14670902422534587, 0.14138062743095522, 0.08887404288594183, 0.0920613615939687, 0.1266835810243467, 0.09635228705306235, 0.10198746611045283, 0.13677872120922097, 0.1506795153336087, 0.14280483282825782]"
1,"[0.13506780205573501, 0.1514129982201609, 0.17018200688120816, 0.1618039728714052, 0.11992329923622304, 0.1688572274112932, 0.08389582186267618, 0.0986108585334617, 0.047893116369320914, 0.10766677204816645]"
2,"[0.11717985918304075, 0.08419756384290816, 0.11180009477617271, 0.1462012862692839, 0.11859080083850994, 0.08691022165860413, 0.10223966906375882, 0.18431110656312555, 0.12293442795096945, 0.14484845952995087]"
3,"[0.12508734820349296, 0.09564932122930793, 0.10410924271478549, 0.127842216727918, 0.11771657423668315, 0.12986868841023705, 0.09944646226987627, 0.15649705185998003, 0.12251932066960289, 0.12675235642409985]"
4,"[0.12091699662577163, 0.11555804402656877, 0.15246108282203463, 0.14845865544207337, 0.11047120555085686, 0.10854022997846308, 0.11035493162340185, 0.11516612369962556, 0.11759927078540078, 0.10616989567861913]"
5,"[0.09537098753861674, 0.11779608147489883, 0.12220264452919649, 0.1115117778570752, 0.09394969023738137, 0.1122294467841961, 0.14688251533494723, 0.10323073448348687, 0.19635904651587882, 0.12339240929936368]"
6,"[0.08577100499439604, 0.11482494868251879, 0.13809091093974224, 0.07934856303563102, 0.13865511926518964, 0.13588769044853088, 0.15622278538741965, 0.12383171572070512, 0.12094627825884018, 0.11890413488764537]"
7,"[0.10602517116467484, 0.11519722658397775, 0.11468017953175161, 0.07591254785821261, 0.13376633352658168, 0.1383985259672749, 0.17221435329292972, 0.12323465614179376, 0.07344338102933638, 0.15518120602621566]"
8,"[0.13029104754622106, 0.15430743212568815, 0.1272521595271087, 0.08673055822233973, 0.1321934377112173, 0.06757672384606686, 0.15699314685045562, 0.09607616811745276, 0.12515468189471324, 0.12460143096214625]"
9,"[0.12236336534129952, 0.17682701236516227, 0.1197170938835217, 0.08458671575313179, 0.11714186985102712, 0.10050372289335201, 0.11633842784465084, 0.12723760732241257, 0.1479471059627867, 0.1068036944591256]"
10,"[0.1208322410650308, 0.09647754376420262, 0.08381453941831217, 0.133638689059336, 0.17045913981049315, 0.08237306055796645, 0.1219583383327671, 0.1359472420679224, 0.10083841185546642, 0.16500033310320966]"
11,"[0.10481361597383976, 0.11878565543746743, 0.131527522195361, 0.13255845001341174, 0.1390726827634517, 0.10771243494712174, 0.12527079456587328, 0.07854430140867483, 0.13087031260088391, 0.141815914552017]"
12,"[0.12826983658629335, 0.1562679324336462, 0.1358059438155398, 0.1352071529955129, 0.08933620493589035, 0.0877994507895642, 0.18149575478568836, 0.08232552822393378, 0.12960362688599478, 0.09453898404628115]"
13,"[0.13224665479749917, 0.1181053510320164, 0.09709022412259091, 0.16229956169810272, 0.14113447097421553, 0.12443044600751203, 0.12790214441853362, 0.09146873430926954, 0.1237519231779871, 0.10574587438511268]"
14,"[0.1429306328685845, 0.1392948098238882, 0.05420870436259754, 0.1606016964841129, 0.12553884077674013, 0.14712192065427426, 0.14758776968831663, 0.14204943728387193, 0.086356228801914, 0.08262027579977359]"
15,"[0.1288925886527779, 0.09622755442904245, 0.10828439087163856, 0.12201681336807423, 0.09711933536916927, 0.09406155766577866, 0.1447013180674554, 0.15511389682725213, 0.1252941524409905, 0.14321602365289365]"
16,"[0.08089641624419175, 0.10394449463974068, 0.16086762706082325, 0.14258727563914902, 0.10895397064622583, 0.1228426296159403, 0.12248471507862976, 0.12753033290587376, 0.12440034621967953, 0.1305179211700177]"
17,"[0.11202168692031211, 0.1308628595446809, 0.11229001357630994, 0.1226277855756455, 0.1261728198470361, 0.1386964825013924, 0.12154161762359961, 0.12198822331759762, 0.14437950034599756, 0.07991629953830513]"
18,"[0.14958367327525668, 0.12349528774478409, 0.12209654967716901, 0.1698965439116324, 0.1142263113810999, 0.10610099787828917, 0.11643675943731631, 0.14127909759366053, 0.09995560392590537, 0.09139302760806003]"
19,"[0.18938529139283689, 0.15611414117625388, 0.08446583606739516, 0.06408663775202506, 0.10214639350037284, 0.10691737202167478, 0.11094812900868044, 0.09763932817532443, 0.18680371072993862, 0.1384669682903169]"
20,"[0.09679971216758185, 0.1000763557628507, 0.10059382155906317, 0.12444969802853563, 0.12489067522090762, 0.08786544425991197, 0.11116064158092828, 0.13416937668473555, 0.1617703105245763, 0.22213774284757265]"
21,"[0.12165756490004064, 0.09953753776663457, 0.15214702490639143, 0.08534310553613764, 0.14871176817723386, 0.12122354278193734, 0.14519125339039204, 0.0957640809992721, 0.12783242998341848, 0.1230686430134497]"
22,"[0.12063065054799806, 0.09429471225759604, 0.09653219324707586, 0.15954137431426527, 0.11961636490151889, 0.12029572875479275, 0.1013362381210744, 0.08709845053011918, 0.1624145775597081, 0.14693853232454318]"
23,"[0.12222799889442187, 0.15586419208179683, 0.08678417726905553, 0.1349074078784654, 0.09952539120914261, 0.13267167263080235, 0.13868602264544627, 0.06963222977055748, 0.15123810067213891, 0.12881553119912914]"
24,"[0.1915871497330141, 0.12066148794450704, 0.14293979050787986, 0.12159163224809054, 0.10530262502933166, 0.09103132527882117, 0.0804151081141831, 0.15696873969348082, 0.11828250102149358, 0.11708980554716392]"
25,"[0.056906196056255194, 0.14379269161903846, 0.09963702755845667, 0.11448066147267551, 0.12753250525703044, 0.16961301642000243, 0.11796186204378409, 0.14253446380370374, 0.14087579239902587, 0.11323949159530732]"
26,"[0.11476264897307811, 0.14631008999574943, 0.15223036530948583, 0.11084735920359602, 0.14697912913890737, 0.13109278532212665, 0.1145074747866384, 0.09758884219802466, 0.10366346499730983, 0.08521937996405539]"
27,"[0.0889036733841862, 0.11131033863494383, 0.18729946371494624, 0.16884528944592223, 0.08786717100408216, 0.12490656225580117, 0.12657343872281476, 0.09403175158779913, 0.14901596920342355, 0.09906476531507546]"
28,"[0.09542309492387895, 0.1402029368096636, 0.11395159626098196, 0.16942819975863901, 0.09659309869235985, 0.13073594511171432, 0.13673860549927183, 0.11993410522846507, 0.13840616801799244, 0.08982617526136216]"
29,"[0.1413575491404088, 0.13459008155000665, 0.08424587877978695, 0.13215469623129822, 0.13522404766807525, 0.07775660514990991, 0.12774434274172994, 0.0957315413337844, 0.12940200493852347, 0.14320032686032258]"
30,"[0.1269729514854428, 0.11438363936341261, 0.06873078829556888, 0.1358801703064049, 0.09611288363410948, 0.13676780996661156, 0.14885764642248758, 0.1378381996123047, 0.12913439220570694, 0.09990887570694937]"
31,"[0.13563535709690705, 0.12920913326988373, 0.17277138811082116, 0.12162013342913497, 0.09992411366801104, 0.11692762372052898, 0.08811259597201826, 0.1101315399433228, 0.13543889577390802, 0.11596064664343077]"
32,"[0.103265597899137, 0.11227817757160484, 0.12308205689655093, 0.13951689598995648, 0.06168655208600515, 0.09607853430485098, 0.14300434157507558, 0.13789325440792977, 0.1848990250270109, 0.12441837058892502]"
33,"[0.09074477664039485, 0.11428874419668872, 0.13536628956451016, 0.18040905676186939, 0.13798376950619, 0.11881646381220369, 0.15829787249061694, 0.06995267007045208, 0.11270568884536875, 0.11093858863841435]"
34,"[0.12527770678250102, 0.14375513282692823, 0.14526465844402434, 0.11698218756309946, 0.15109986917107524, 0.07794096205559663, 0.1428353691772214, 0.11567664716847906, 0.11314829751486621, 0.10038015665519236]"
35,"[0.13488406224601115, 0.08657746809637969, 0.15086261603958168, 0.10896476414456527, 0.16571290645052383, 0.116744356772591, 0.1368246511799872, 0.08360196421037955, 0.10297381290128568, 0.14653741227070202]"
36,"[0.14480703572774858, 0.13744559759813088, 0.11033052472127323, 0.16447187560165297, 0.13384206304667634, 0.1236012679932449, 0.07899083987125341, 0.12214065426927077, 0.11353507640658086, 0.11018134904443266]"
37,"[0.11982204593492732, 0.191310148878191, 0.13953930434543524, 0.1019116136509637, 0.11173512208846392, 0.08999238758145689, 0.10047613461704653, 0.13535493263326204, 0.08211955336350979, 0.14489269187142498]"
38,"[0.08657226521165495, 0.13737202143460356, 0.1566424736284939, 0.1194581979343085, 0.12709545817987855, 0.12705869845829332, 0.10977249380396079, 0.1004929661618692, 0.12262004212878515, 0.11472062176595954]"
39,"[0.10014702858408527, 0.08578342415666573, 0.14127675859747071, 0.16119393743452132, 0.11538190533321209, 0.14260676780156276, 0.11832025762576755, 0.07649431211773274, 0.14335709423917103, 0.12070897205340009]"
40,"[0.1103723700381447, 0.15919655379030168, 0.10846006566229022, 0.1827957048589229, 0.10613621663982424, 0.11504355267732569, 0.1044469422384371, 0.10615498008511197, 0.1329948752103062, 0.0781957655836125]"
41,"[0.11889164497767579, 0.16647614407023406, 0.11012998471605952, 0.13254713505743645, 0.10775379054713984, 0.1204880153758245, 0.09569093981984605, 0.15396938714607766, 0.12794611309334256, 0.07106089095631053]"
42,"[0.14242124075663218, 0.11642622731864948, 0.15517982666911373, 0.09787389290147681, 0.1202646157318839, 0.11136252839584564, 0.06426767114077403, 0.13330872056453846, 0.11091115724693017, 0.14272763161777832]"
43,"[0.11414005175244457, 0.09034589429299658, 0.11806223248196854, 0.12383235302274546, 0.1608253358811167, 0.10353252230337451, 0.11739702767257296, 0.17230531054535633, 0.11601324818410784, 0.10547015629755982]"
44,"[0.10588270089875688, 0.15877700423933178, 0.10789814773016074, 0.11036556646485063, 0.1094710584190425, 0.1343107311192818, 0.08103096401872643, 0.15610769993986282, 0.1559070020476997, 0.09292859122821212]"
45,"[0.11576331875222101, 0.17589934768125526, 0.16029252473849148, 0.09585688746108849, 0.0970591179391806, 0.10482346731858373, 0.1685896303923211, 0.12462704053170774, 0.10233870346211948, 0.08268855199965956]"
46,"[0.11491578536709983, 0.0920763708544915, 0.09506528827206488, 0.10782726825561029, 0.15375334373159374, 0.13210674326812985, 0.15534395030125828, 0.1499447596017547, 0.114080579733719, 0.09051284293150753]"
47,"[0.14112699149936855, 0.14554772856909587, 0.0950066931361474, 0.10217089469537283, 0.11812021906248041, 0.0932603440024312, 0.19517918076642687, 0.08355092510703184, 0.09697721152812222, 0.19146949956078577]"
48,"[0.12490497009909138, 0.11693656875010063, 0.12492207482414508, 0.1100608737843064, 0.10607642845875215, 0.11302645078870664, 0.09784942776348256, 0.14183002792386715, 0.14662540225681414, 0.1109464785113133]"
49,"[0.15839710774902674, 0.16021654684021935, 0.10852394446214284, 0.12650716498712847, 0.11337086965353557, 0.05632099813675466, 0.07790732307876097, 0.16592764743476154, 0.09599790723652027, 0.1488152890525697]"
50,"[0.07843822095418848, 0.1430993321922253, 0.11158911656553389, 0.13569243903703213, 0.1929450025775778, 0.11357026824237422, 0.15037684524271688, 0.13307661708168098, 0.0672709299706276, 0.10611573522869339]"
51,"[0.08794891295871403, 0.14279124625299375, 0.10982561824603493, 0.10257219557801536, 0.09481907666963824, 0.14422890478109815, 0.14147636519271037, 0.17222797116696684, 0.08549012456263119, 0.12931679248245512]"
52,"[0.12985714555978, 0.15246038595761158, 0.15176248614069687, 0.08161872564367481, 0.10263863505890404, 0.12439361688535831, 0.09484387658101226, 0.15303509523786696, 0.13886295877736193, 0.09681339450485739]"
53,"[0.10805314948974347, 0.1240317071974853, 0.1392122435869938, 0.11678219126895863, 0.11922246113447885, 0.10410851091446269, 0.13834314843072607, 0.07528772799512519, 0.13917662483868692, 0.14450270236682083]"
54,"[0.07627337870235641, 0.10634881760935772, 0.1439419683726459, 0.08753091896649548, 0.08540875767222368, 0.143621582619313, 0.15905492984889558, 0.12613255437701315, 0.13202361336467905, 0.17008879293569928]"
55,"[0.12045016763945374, 0.10771168592022998, 0.10154365195299624, 0.17414279649868644, 0.15832877930194522, 0.06848849131372071, 0.11665406605147922, 0.08450340018478118, 0.17973612936349795, 0.1169248557396508]"
56,"[0.1343228219594907, 0.13201288719159493, 0.10165559676654928, 0.1758821606932545, 0.11761243787434016, 0.07961019598860372, 0.09320181105462393, 0.12951983337750464, 0.06829671595559081, 0.20605751132322958]"
57,"[0.13974399590422368, 0.11218962365097042, 0.11160648731937767, 0.10220908286403756, 0.13682565776717523, 0.16741550862717292, 0.1766953583696629, 0.06389537173732263, 0.10165230633078866, 0.11578696397350782]"
58,"[0.14645813559497592, 0.15157423246514004, 0.13268647912370843, 0.14041214946650624, 0.1272978601933975, 0.07844903854584985, 0.1973651848776386, 0.09154925305452002, 0.08475152254944336, 0.06470931052788123]"
59,"[0.1317490316045821, 0.1214593184876774, 0.15635188517263757, 0.15089633379365247, 0.15999476118584247, 0.1076991226585622, 0.1445684307455477, 0.07108463234332772, 0.052953656378411706, 0.11902725459669422]"
60,"[0.11241043585406582, 0.1502395765629315, 0.09923486540184241, 0.13688682699209526, 0.1016479512769195, 0.07802091024356696, 0.10856240471799848, 0.10222676292961694, 0.12830235389064723, 0.22463016216557027]"
61,"[0.09262001930411308, 0.11947626730685974, 0.08874659321272517, 0.13962454426255516, 0.08281946918567112, 0.1831755124229114, 0.11469779406816226, 0.1460290658453874, 0.13260758935270625, 0.1372551766646424]"
62,"[0.09742708330338092, 0.16371852511049964, 0.11969530276863237, 0.14787558544808777, 0.1425963207723727, 0.14048628475554667, 0.1044687285531387, 0.14173963403477993, 0.08030060562983414, 0.08889732085387969]"
63,"[0.1098884643310819, 0.12825007373943534, 0.1007525700763651, 0.08957971818063296, 0.138204058413337, 0.11104683871879918, 0.1394626185819137, 0.11922248227148885, 0.12422420120027469, 0.16929674986645463]"
64,"[0.10582110985174938, 0.11358504989968644, 0.13837650231150792, 0.10414430374925561, 0.09767143219976447, 0.1323583710692004, 0.12196091079162116, 0.16147089723928687, 0.11327198019838786, 0.10024521593247303]"
65,"[0.1209372851955513, 0.0914749866980145, 0.11902011254924091, 0.104427628803525, 0.13341641572056373, 0.10738026084131484, 0.15179283974278288, 0.10932505708927351, 0.12350865447944114, 0.17523059711699027]"
66,"[0.14237902947181763, 0.17776523408122274, 0.09445970607334658, 0.09797338902951158, 0.11472535333566031, 0.10489992750949162, 0.1570635053399393, 0.07804816857393078, 0.10984223259408801, 0.15099331645910427]"
67,"[0.12764583423245995, 0.17432290433379247, 0.10568534718951464, 0.08636190107040284, 0.15073685181418542, 0.05750037497696589, 0.16371438316124404, 0.13693521441680695, 0.1353045356305474, 0.08938765735452132]"
68,"[0.12822921388692227, 0.10417052097124825, 0.08709449655219303, 0.09214303493042005, 0.12432314105870118, 0.16114669341666513, 0.1373118306786658, 0.16839853939733973, 0.08138813811422405, 0.10647596118737089]"
69,"[0.10390489308504934, 0.14732123611513584, 0.10299524247183553, 0.06789877842799158, 0.1517740324795885, 0.10675307481889226, 0.14973527349315816, 0.13338507072634193, 0.11896434366198987, 0.13545669921099082]"
70,"[0.12452410135406132, 0.14281522789358855, 0.07444722281711928, 0.13186545842093225, 0.27453713300629845, 0.10086934373811285, 0.09768574381295393, 0.1820500129598838, 0.07855927993144751, 0.08363264822667657]"
71,"[0.10645898664268168, 0.10444188436036081, 0.10703785205601504, 0.1460825027783337, 0.13326354145646604, 0.16889509004929876, 0.09564815742536911, 0.1330394670588372, 0.11220274044401808, 0.10618120525856228]"
72,"[0.1338047541614999, 0.11269995205607257, 0.1037409353664962, 0.08269200646564644, 0.08741458216733934, 0.13375061282707615, 0.18302103453869642, 0.07027142732801743, 0.14482759228596345, 0.16997157466361787]"
73,"[0.10126234034797567, 0.1301466703775596, 0.11442266231311829, 0.1617293043898372, 0.12516836181992352, 0.07984254916104043, 0.16704500242305176, 0.14011597392795258, 0.0921529227708264, 0.11654617301591359]"
74,"[0.09833651392805164, 0.10499213307546419, 0.11008721588693789, 0.13437953928594476, 0.11041018637550214, 0.10721390836440885, 0.16819602063169697, 0.12444870927355225, 0.11896280127548138, 0.13148557682420337]"
75,"[0.07934350543329835, 0.10857101102021177, 0.13225693230830632, 0.10255075148365436, 0.16091125684527247, 0.1503820860283879, 0.14089199313821965, 0.12122854752011275, 0.09781031915229829, 0.11689752188841772]"
76,"[0.10827826546385362, 0.14343672551940187, 0.09850925678104662, 0.131176546632792, 0.1769326585184459, 0.09489315494543608, 0.12297143540300692, 0.13219076356454584, 0.11974211646344646, 0.08664355283962781]"
77,"[0.16879300968078428, 0.14906289692637, 0.1340966658933407, 0.08559952056764258, 0.16230510214676033, 0.14035102529207774, 0.12726026455291922, 0.09651437147614349, 0.07521564776954608, 0.08042177459273382]"
78,"[0.11958759803269227, 0.15688539873155924, 0.15403462801851306, 0.11956601795610729, 0.12162665479723432, 0.13714775298509546, 0.11958911433377711, 0.07375350458740573, 0.08251299889761067, 0.12496872029086142]"
79,"[0.1092032902374045, 0.11146260231022039, 0.12040120920198263, 0.09261546757964297, 0.18119775043138403, 0.13930877380479484, 0.09552670674212302, 0.11371827692771393, 0.1087625433177803, 0.13127813403047384]"
80,"[0.08352697358418892, 0.16102153847237674, 0.11485281103062754, 0.1212011703589572, 0.10367860366634075, 0.0996777184791008, 0.12365846761426015, 0.1483706728052596, 0.13424666731504137, 0.12421829185994554]"
81,"[0.13943151892031622, 0.09956077117389953, 0.1116167129775088, 0.1807788851202493, 0.12895696794042225, 0.11891067267186756, 0.10701787034763882, 0.0892749306124357, 0.13006670265942868, 0.10381275798214347]"
