,imv
0,"[0.13607854482536005, 0.11323172131377054, 0.12035159066441577, 0.11559075808686492, 0.07379096872439678, 0.07675488046590145, 0.12917447696016035, 0.10611297922536193, 0.13292985022194867, 0.07757648821910632]"
1,"[0.1268389166217924, 0.10678609645928933, 0.11775361017771277, 0.13565355461085457, 0.09973686374936791, 0.10797340213232687, 0.09912148868405594, 0.1167855801879087, 0.06152102055164699, 0.11042592504103316]"
2,"[0.04784530930794526, 0.126565863892708, 0.13012067799274116, 0.11396218427926937, 0.07238962805946149, 0.14631799862929182, 0.12524130822920612, 0.11402943496973542, 0.07605620223323842, 0.12105040113385065]"
3,"[0.06773687803817902, 0.08162689236010133, 0.12701704201190775, 0.1142661070908246, 0.06717353535341021, 0.10186137148598132, 0.0978069452215213, 0.1325094957155415, 0.12388736097731433, 0.15350420374681747]"
4,"[0.10197030991365225, 0.13453984989506526, 0.08235304131024686, 0.07567994891860812, 0.12868215650070786, 0.10141009240806452, 0.10378051185349761, 0.11417746227974841, 0.12481086867549727, 0.11887996778686095]"
5,"[0.1316884160631777, 0.11240591310388112, 0.09491908307703, 0.12800877095074048, 0.0866703836676373, 0.09874907804721259, 0.07517719440032268, 0.09387713630302051, 0.13073031755066622, 0.13061875012502136]"
6,"[0.11344729575325416, 0.1114540454627435, 0.11004821969874755, 0.11503633351117215, 0.11747514705611192, 0.092233349551886, 0.1239947150828146, 0.058590120306344265, 0.1279313853483807, 0.11252987086301953]"
7,"[0.11043507772331733, 0.13736281963661442, 0.05846662893661532, 0.0826861796455792, 0.1188568339121794, 0.09959294237932137, 0.09374000837400553, 0.10893457478420818, 0.12312238902928795, 0.1481646424910015]"
8,"[0.09663568642339421, 0.06443216500349305, 0.0965433227813761, 0.09331157775134082, 0.12189554840707055, 0.14870170855956014, 0.09702080039553876, 0.0951584823627163, 0.15000754612054043, 0.11262190997251571]"
9,"[0.1383855469264157, 0.11843979793878827, 0.12819142543588932, 0.13585652079253877, 0.12550598736442023, 0.08822356507129776, 0.10206541493124832, 0.06824733231252393, 0.08192679024457082, 0.09370478491493528]"
10,"[0.1181957694164008, 0.09438900602441767, 0.13169399722115616, 0.10160402374866061, 0.09784045136051467, 0.11761561230724812, 0.07246451908806201, 0.09402495624075004, 0.1393047766687158, 0.11395016923409378]"
