,imv
0,"[0.13307767125374223, 0.12760500164009422, 0.09226528430574032, 0.07792370252731463, 0.11242881905158045, 0.08367947579087912, 0.09838719233084026, 0.11566433557394944, 0.1372076766114709, 0.12810443621768175]"
1,"[0.14473074655785859, 0.1217437701951233, 0.1541504195671169, 0.14554658187717845, 0.10558567861051789, 0.1518270398575471, 0.06457044449080028, 0.09562588769777892, 0.05808444577748124, 0.10070587070963838]"
2,"[0.12480455968701475, 0.07866108908630876, 0.08895189470017359, 0.12002411485731614, 0.10528050628593533, 0.06988874322781982, 0.11035280299960286, 0.16447270670570446, 0.11969355791226802, 0.13900282231238478]"
3,"[0.1162113724938929, 0.07604006189840395, 0.10425891178292447, 0.10518021993493687, 0.10944450224993123, 0.13578192980859663, 0.09221298956049673, 0.1358452501780654, 0.1068588287448889, 0.11389200585890447]"
4,"[0.11734819926647276, 0.11989890628002611, 0.13730611011671323, 0.1278675063341249, 0.09741994271514841, 0.09604031623254207, 0.09068522124431816, 0.10334958100911062, 0.11253260480915597, 0.08937383505146149]"
5,"[0.10056776722505532, 0.10338481498740507, 0.10719687824416253, 0.1031470139011481, 0.08873644695707564, 0.07567715854070806, 0.13735895025049946, 0.1009933412891796, 0.16888991776744616, 0.12133106819071457]"
6,"[0.08238259528842007, 0.10233061705207429, 0.13353476434217726, 0.06725293218712432, 0.1365463830424732, 0.11230027161400126, 0.1466612433711766, 0.09056479301420285, 0.1116178789724322, 0.10554224435395049]"
7,"[0.09372708403007729, 0.10332441882711553, 0.10572247793381764, 0.06272609238213517, 0.12703925158415438, 0.1184852182857123, 0.15143841175299472, 0.12794629165729976, 0.07901032671048153, 0.134600866432026]"
8,"[0.12279696597896653, 0.13312077185733862, 0.11785060087804436, 0.08174450634900099, 0.11522158968646558, 0.061108725674612056, 0.14622720527455008, 0.07718037182275442, 0.1267116239778779, 0.11183666766877463]"
9,"[0.1166180044130432, 0.15925620631402798, 0.0984585381241111, 0.06567644542838773, 0.10889261637365526, 0.10170741078395243, 0.10074562496012407, 0.11230089090970954, 0.12771333407936356, 0.10746486463845463]"
10,"[0.11576759377920808, 0.090242985217216, 0.08588062475382185, 0.11580586311089952, 0.15755187412908106, 0.06959579795896796, 0.11208893278851698, 0.12882170922340438, 0.08525060058027531, 0.13990057615056595]"
11,"[0.08452362684776248, 0.10899052505954329, 0.12895901097377815, 0.1372722201545554, 0.12539164584640639, 0.10016943353780493, 0.11087970935536923, 0.06590209199929624, 0.12448254629524108, 0.11712889298510258]"
12,"[0.10321215331799681, 0.13391447493003705, 0.12162349957410175, 0.13227871144072434, 0.07252649555384262, 0.07676619043416244, 0.17926636249778055, 0.07306999939741717, 0.12033938772137108, 0.09421553038102201]"
13,"[0.12009141011219546, 0.10091790063920723, 0.09790289248457767, 0.13286746867065338, 0.1149499321873301, 0.11183317213986178, 0.12418464412893855, 0.07040992933716184, 0.12273612732586016, 0.10360733896995258]"
14,"[0.1398193787914498, 0.12943858941375316, 0.03848575111414746, 0.14397608959280137, 0.11466681793086161, 0.14548498356778725, 0.13913018071669184, 0.12397903644199082, 0.06224130747441247, 0.0781011603326505]"
15,"[0.12101537186338225, 0.07887655642371455, 0.09697774912029619, 0.11627829545243204, 0.08809880987839892, 0.07893208736046739, 0.13108089821915772, 0.13676046717779863, 0.11476598323374052, 0.13890681261253907]"
16,"[0.0657437724438101, 0.09893799490489223, 0.14419614060793, 0.13061121284291316, 0.1097668606979028, 0.11128663465890833, 0.10737248654669504, 0.11111414435821129, 0.12273057915521512, 0.10665274743950019]"
17,"[0.10916312856839817, 0.11017570174177946, 0.1082583969247246, 0.11531359948382276, 0.10955299834888699, 0.13182233135103677, 0.10363162870057108, 0.10547253468930662, 0.132336182426053, 0.07111891930917096]"
