,r2
0,"[0.22021637710832953, 0.1850408133118132, 0.17950041456147559, 0.20034734332208415, 0.12013579475874558, 0.13103843791614933, 0.17962851959811454, 0.15766374290934537, 0.2278946851662279, 0.13226724373414778]"
1,"[0.2101678281908962, 0.13772381773209597, 0.18630022460362416, 0.23726163305197645, 0.13512259086727696, 0.18074500086784773, 0.18585637095337149, 0.14634624297397825, 0.10680640816207176, 0.18739153112852158]"
2,"[0.08557941229273147, 0.2050104853844068, 0.20602604796213808, 0.16025889776883684, 0.11253539220985842, 0.26337655792774506, 0.21159371581013142, 0.16887903706509289, 0.1433590171034116, 0.1720668179480026]"
3,"[0.1140106963423222, 0.1287131183205782, 0.20183874690219916, 0.18632381266932063, 0.11173350714844676, 0.1722618557969008, 0.15230532773561434, 0.20367043615707725, 0.20141632268083232, 0.24471847347821618]"
4,"[0.14517544810054006, 0.22212628982766935, 0.14751939610063125, 0.12691847139984846, 0.20436995761323817, 0.13540748692154303, 0.17143619023195966, 0.19252165991847603, 0.18703446320595718, 0.19030932436625947]"
5,"[0.24358279725679988, 0.16027400802058434, 0.14547762907638506, 0.21200565590684384, 0.10752076164828739, 0.17080632658552508, 0.12915600395440185, 0.15913877414842037, 0.20266210190946699, 0.21118841253256904]"
6,"[0.19480461113912517, 0.17746335411223124, 0.16832532897181796, 0.1886792930971335, 0.15580614047879393, 0.1609987563483476, 0.19374010528225138, 0.08273190978505196, 0.21781226428337674, 0.19229690150557854]"
7,"[0.17249711230672193, 0.21915213954689705, 0.10351865078318467, 0.13020328338436793, 0.21530292489186686, 0.146522367518786, 0.15041612549439964, 0.16585313463891405, 0.18511108680390498, 0.2512080652505355]"
8,"[0.14453066685622173, 0.10259575256156983, 0.15573669327033768, 0.14818277360623233, 0.19790249814333027, 0.2354216025652014, 0.15129518071828763, 0.1699143457072817, 0.25051155305520667, 0.1753429035829227]"
9,"[0.23040939781960734, 0.17683703776308834, 0.20288489247387798, 0.21585256971253441, 0.20442586430736143, 0.12333059837372129, 0.17083978968583002, 0.11651397986539369, 0.1397022769107219, 0.1588497220981211]"
10,"[0.1910671721922933, 0.15634060229054836, 0.17991963750225626, 0.1349811847194532, 0.1686363664097128, 0.20002599984977731, 0.13076050079757806, 0.15710616083446582, 0.22659386999255904, 0.1727775592593931]"
11,"[0.21119237070243768, 0.1742073156340318, 0.1630270319298741, 0.10551068234045902, 0.2118785065305171, 0.1008512282364068, 0.16045913171270854, 0.16611777743168177, 0.1887536278208719, 0.24367247521836255]"
