,r2
0,"[0.21023124917820846, 0.17013099927041253, 0.13984281536896515, 0.14533403648819332, 0.20799838641346302, 0.135372160958946, 0.15198729391797572, 0.17240168708440173, 0.17267024966599365, 0.21630669233292799]"
1,"[0.15909184466505766, 0.17347697000471674, 0.2142939970582899, 0.1642569252109426, 0.2179183020506491, 0.22377884882677723, 0.12378083508763893, 0.15444247694151558, 0.05559430552086764, 0.1466745389205365]"
2,"[0.16097909352259554, 0.1290602288590974, 0.18244437279616887, 0.2136386008668565, 0.1899590044367252, 0.14229951969292942, 0.14195332931722293, 0.2185384818377093, 0.15313866321789915, 0.15892135044517042]"
3,"[0.1752507899342265, 0.15945054104056133, 0.13828992860979028, 0.19248856746497356, 0.15153221990901988, 0.16764272249877532, 0.14251639201210087, 0.23258438911255708, 0.15303457321845448, 0.2048025438240878]"
4,"[0.16935435179428182, 0.16484270848795024, 0.23555397519011378, 0.2006573647484564, 0.1404189993322431, 0.1512613015506331, 0.14666305908822697, 0.18389394412651816, 0.17973264731370453, 0.16143625216314028]"
5,"[0.14660553804997645, 0.17081980199310454, 0.18872663032473136, 0.1556100503570631, 0.13859233687803485, 0.1420121400776655, 0.21251317968035877, 0.16658537093153503, 0.18787200170488627, 0.19479338515724487]"
6,"[0.13741430459840887, 0.1838069972189995, 0.1937635619840843, 0.1049131001273812, 0.21955897194902863, 0.1693441464572878, 0.20802378907292385, 0.16821913294357727, 0.18439638935640834, 0.15720564036685902]"
7,"[0.16292946390042573, 0.17316991107473723, 0.16754430695983347, 0.1151719469027691, 0.19288837948193716, 0.23932948609931015, 0.2231214997830806, 0.1649686442059357, 0.09873776336761542, 0.17270003289134617]"
8,"[0.18679653291934883, 0.18576168810096905, 0.19401115663531776, 0.12229656275083145, 0.21125517071416866, 0.09830211473188633, 0.2409842107980611, 0.12350300675998505, 0.1539603098632346, 0.1825968905308516]"
9,"[0.19273998313381946, 0.24474634497027847, 0.12229790775842941, 0.13525393878023284, 0.13966687751749285, 0.14237702279618125, 0.17009648039476322, 0.18899609056607114, 0.20594459856005976, 0.17415002778009026]"
10,"[0.17267561049473645, 0.1548574074841924, 0.11964748176293838, 0.2207063747375757, 0.21480582113951863, 0.11924323890338706, 0.18255161866712943, 0.1983687474736905, 0.14182764131443382, 0.182944246163659]"
11,"[0.15589804354463788, 0.15283509712547894, 0.16191945269842412, 0.18252193029332575, 0.16075994438586938, 0.18954192378925894, 0.1831397957964146, 0.11588195165533866, 0.19075988838688251, 0.21661032418488868]"
12,"[0.17477067528180612, 0.21919582729260367, 0.16802706651752086, 0.18809907569670192, 0.13107796063896904, 0.140519768356839, 0.21951665712650714, 0.11627080285947067, 0.17049817943626777, 0.16207735726903394]"
13,"[0.17373300206954012, 0.17053201389762518, 0.17479216579477042, 0.14131801185073656, 0.21164354893625237, 0.16935284300850428, 0.1653331977654774, 0.10797734554637328, 0.20111873333145092, 0.1748165283600568]"
14,"[0.1965494959519114, 0.2028093764565122, 0.0773425841633244, 0.19457207775971908, 0.20337098789584895, 0.16769091046978213, 0.19528707468254902, 0.20064928971111418, 0.14291587654796367, 0.12338079899410448]"
15,"[0.21192095339088168, 0.12847020861087588, 0.125501465717354, 0.17308832496711235, 0.17281415860310034, 0.14309206913550987, 0.183213264065759, 0.19176785614451697, 0.17036462108561745, 0.2071377836754349]"
16,"[0.121869008982609, 0.15571962522032667, 0.18721502909578613, 0.23123845851550784, 0.15084470090375346, 0.19018958317875223, 0.20103759876271343, 0.18113063639194948, 0.1664854131265745, 0.14307819444200964]"
17,"[0.1568354917856284, 0.1591589960021279, 0.13749965312719958, 0.16040968528774557, 0.1617627074368494, 0.19122494841502014, 0.21032488642884206, 0.19319474361543776, 0.2308083238169979, 0.12167600325572825]"
18,"[0.18642906198766374, 0.1691204507489702, 0.20722000742684477, 0.17481534814844668, 0.17525585232970742, 0.15818168819237777, 0.17661257077012438, 0.15537037291781242, 0.15215083427682075, 0.1550313359011256]"
19,"[0.2049219661689763, 0.22046640980348098, 0.12846867956697083, 0.09368890514199357, 0.15561882760903734, 0.13321581771673063, 0.18074469825032713, 0.14830274303034907, 0.22152363349303383, 0.21038298874883454]"
20,"[0.164006815520519, 0.17697951916588062, 0.15362764417032093, 0.16053239052250345, 0.1960914198788678, 0.13521470158270643, 0.15289560780663125, 0.1438415254962483, 0.2001185640769214, 0.19754547903511166]"
21,"[0.19390892782588043, 0.15453714760810544, 0.19860144520940215, 0.1404570576481855, 0.19533424428268376, 0.16233658791452465, 0.16640727658089527, 0.1478501784408861, 0.17886378072133546, 0.1788326615994249]"
22,"[0.16089836201763508, 0.13963424597913232, 0.14047909225429844, 0.18864481608923667, 0.13677954301431983, 0.19599271760515424, 0.14586196313473987, 0.13978661410863968, 0.21557127804973664, 0.23001893954258024]"
23,"[0.18136150954071883, 0.21908156506019694, 0.13812260501517903, 0.21589446438745796, 0.1429448277015254, 0.14425980181710663, 0.17748044743596847, 0.09844340616818392, 0.1933311485192466, 0.20284613588719724]"
24,"[0.15360584942200128, 0.15457065914017198, 0.2065849089681815, 0.21126088133264165, 0.1442196026560958, 0.15024889058976254, 0.12227818705176718, 0.1983556150151825, 0.17730868675001943, 0.173232093302771]"
25,"[0.08306839538298483, 0.17303867422045538, 0.12682097197220743, 0.17612620111107002, 0.1990133890399518, 0.21394958425787247, 0.1468709881579382, 0.21788960222952802, 0.20265138909549463, 0.1635663959677126]"
