,r2
0,"[0.20319657535919866, 0.16287259871939674, 0.1728854984160213, 0.16640717654460524, 0.0976420086328863, 0.1006935805142315, 0.18711246279332916, 0.15507510493094823, 0.20057012907552385, 0.11098971159904036]"
1,"[0.18520857453148365, 0.1484980652133019, 0.1691752104344888, 0.20098723513046668, 0.14360984675683952, 0.15432705695872018, 0.1413763931740757, 0.16819823255773525, 0.07929006662573457, 0.1644071045260984]"
2,"[0.057201929439818056, 0.18476217866429256, 0.1895813934771795, 0.16594360624867488, 0.09762044992347652, 0.23261084846074787, 0.18627213867621661, 0.16385899877961962, 0.10177421229731254, 0.17358201190523215]"
3,"[0.08863153504429522, 0.1162188032730288, 0.1854331428460081, 0.1617426908337266, 0.08911925727042602, 0.14268776084311885, 0.13668355512174513, 0.19760217534833946, 0.18224998727641128, 0.24026347288578875]"
4,"[0.14263230473896904, 0.20098234950848504, 0.10830326560485837, 0.10346752542937787, 0.19220820685311513, 0.1407603170843661, 0.14683747422843074, 0.16309684154288218, 0.1861968047306065, 0.17499248449060267]"
5,"[0.1951366705194405, 0.17060456321353934, 0.13112348283749453, 0.19021808466759405, 0.11656946345523633, 0.14065083181152904, 0.09999934003794131, 0.13033499178384755, 0.1908384980080754, 0.1922509656339344]"
6,"[0.16325004580429048, 0.15719814513085206, 0.15469426166839562, 0.1647497089699873, 0.16929556448695793, 0.13168968336576292, 0.18149804138649084, 0.07546667903207471, 0.19152525368068551, 0.16512651262366485]"
7,"[0.1553862349955255, 0.2027748357601149, 0.07584015441308178, 0.11321680320367522, 0.16978062310090436, 0.13490146667246294, 0.1357943794089551, 0.15899565505462687, 0.18392270549542322, 0.2276917915174137]"
8,"[0.13509567091609864, 0.08390359517558865, 0.13300426444462177, 0.1302792218294755, 0.1798433820433406, 0.22719160993337284, 0.1363073321634074, 0.13083273897500536, 0.2319961266954894, 0.1623009052799408]"
9,"[0.20425806863286478, 0.17325339645736626, 0.18689401689203056, 0.20360686420615826, 0.18541833128664165, 0.12451718441473003, 0.14145588268440323, 0.09120829910242845, 0.11492923374294262, 0.13237193679164816]"
10,"[0.17559376730908882, 0.12899899327917597, 0.19730454848458012, 0.1414327830167369, 0.13825334844769677, 0.17076272316995267, 0.09823342294645254, 0.1308125180426878, 0.20648575483718212, 0.1632033708210675]"
11,"[0.1872836648548637, 0.15216345879868542, 0.16710908568567806, 0.0870796125283787, 0.19021548100468, 0.08065054266078464, 0.15094818563607837, 0.14256601972481786, 0.1691117254230904, 0.22787744976884317]"
12,"[0.22524737637617442, 0.14795489114209204, 0.13937755854835954, 0.13453332588349842, 0.11116285617160526, 0.18220900312928612, 0.1309640489881796, 0.14088824606785266, 0.20731019827143238, 0.13707595868236655]"
13,"[0.1369668090345213, 0.1550894653207291, 0.14539621806018566, 0.16122106310833095, 0.15397652498386072, 0.19100567032748683, 0.14522332872020272, 0.12293793409703357, 0.16406865738847598, 0.18238195140090252]"
14,"[0.17300397672502144, 0.17731428722906906, 0.16614248060734227, 0.14369898036879913, 0.16332536654027707, 0.14912217470684863, 0.21217000001895714, 0.1663083053334019, 0.10977444508775347, 0.08952392228746942]"
15,"[0.207004050418943, 0.201321278167371, 0.1254451234624706, 0.1526816507553368, 0.17373417251705547, 0.15662020099075935, 0.12019100031859331, 0.11928578559203873, 0.13565451009556517, 0.15962922672319269]"
16,"[0.16175519960904838, 0.21230017039191462, 0.13263835009050073, 0.16875658579574382, 0.19314085794174796, 0.1734029955206008, 0.09060135762475974, 0.17889601462158222, 0.10435606738602987, 0.14084379418841964]"
17,"[0.17524811812920082, 0.16972907267828274, 0.13275844557343197, 0.1642956164815399, 0.13348002656719593, 0.12765631992691295, 0.1647810893791415, 0.15840627396285312, 0.15939702972557324, 0.16878283382688974]"
18,"[0.11589902917692818, 0.1377110790672501, 0.14493594572952018, 0.16833361544053882, 0.17608854207851088, 0.2150093462878443, 0.12710789967917724, 0.1225861546696645, 0.13530417738955103, 0.20727136910325383]"
