,r2
0,"[0.18717394057428038, 0.15204713045993323, 0.14446227142886425, 0.11927295336164812, 0.18231896120659907, 0.1191579752736579, 0.14522358106850386, 0.14279770092065125, 0.15461859423902058, 0.19531696690498235]"
1,"[0.16944739260066277, 0.13662424684441654, 0.19029713250196112, 0.14508725925733268, 0.18825705221052935, 0.19719330734163099, 0.09581926961554277, 0.14977593462004657, 0.07961332980127056, 0.13144678648006847]"
2,"[0.16703978975304112, 0.1229433552325977, 0.14171576307610545, 0.17368606463004344, 0.16211756710190928, 0.11137868864492118, 0.14989059923213577, 0.19377803944950855, 0.14835956244355553, 0.15383037773693986]"
3,"[0.15887227724867314, 0.12335265906870274, 0.13378355060887082, 0.15748647001988803, 0.14037518403244897, 0.17614555419113131, 0.1356491407549809, 0.1984137287510922, 0.12990867268588224, 0.18250228073774866]"
4,"[0.1623202378225278, 0.17112912112960954, 0.20965571891781853, 0.1701097467486119, 0.12361860839145566, 0.13295362419222811, 0.11888617422744874, 0.16361852905786212, 0.1716577091596313, 0.1324481123322151]"
5,"[0.15438823462744922, 0.1480338418623378, 0.16588022019194926, 0.14234710121717242, 0.13037055239480155, 0.09120071547222586, 0.1970807584175378, 0.1618211484439499, 0.15750913913849973, 0.19080551469123785]"
6,"[0.12749495678924516, 0.16483257446303412, 0.18775786673879513, 0.08855477323182526, 0.2170886610801792, 0.13677756187761636, 0.19216931431253825, 0.11965824368999267, 0.17209001469159468, 0.13633267599706322]"
7,"[0.1440774773931841, 0.15468012276764487, 0.15714937289325015, 0.09380054144337002, 0.18256144413253128, 0.19795643891135828, 0.190075686300603, 0.17338320068626523, 0.10243132047118308, 0.14487148662135452]"
8,"[0.17544262284929946, 0.16167949900412648, 0.1768442204237477, 0.11521499227655052, 0.18219194468184075, 0.0885277284846182, 0.2234542984429554, 0.09809257887477207, 0.14840155921000364, 0.15939785683464325]"
9,"[0.183320129717075, 0.211912189900626, 0.09481337644105525, 0.10149904426831036, 0.13035789859133684, 0.14793541548360234, 0.147181747148461, 0.1669327500413662, 0.17395822676906636, 0.17325392451224597]"
10,"[0.16743883548149574, 0.14646450817415335, 0.12788211910225644, 0.1873344338811559, 0.1954340047407206, 0.09833825549961295, 0.16510636576492366, 0.18513375006101096, 0.11704375354513297, 0.15033570251182315]"
11,"[0.12209375365119068, 0.14018895633395212, 0.15385673114711362, 0.1895282447757073, 0.142709336991097, 0.1714733107492925, 0.1641522615026011, 0.09481893311002276, 0.1822488289953107, 0.1781565168332211]"
12,"[0.13836175833514008, 0.18372164423638437, 0.14898124228469045, 0.18427259833727494, 0.1030869105055634, 0.12103133958692225, 0.21448319881107114, 0.10465355573524482, 0.15612418076597834, 0.16228021827833983]"
13,"[0.15003282863673084, 0.1466142814401673, 0.1805529788908493, 0.11165067297855746, 0.16761428397425748, 0.14957685449940006, 0.15926559061627754, 0.08220173820921206, 0.20140013000965284, 0.1717818133639747]"
14,"[0.19022075659599202, 0.1909852109307707, 0.0496865178782645, 0.17178838295016663, 0.18688317471498384, 0.1636118401211808, 0.18267079064781, 0.1766952177150637, 0.095669634632639, 0.11672904566978581]"
15,"[0.19657670011435435, 0.1013085863119989, 0.10868531012330429, 0.16154364566404145, 0.1554108185570987, 0.12018137977191257, 0.16639123253926058, 0.16684128976950152, 0.1564384141764008, 0.20078021263999302]"
16,"[0.09849804387487959, 0.14442204712885665, 0.16674067014014626, 0.21178254098149218, 0.1503347192011789, 0.17194160916595214, 0.17317718216453304, 0.15821624756891783, 0.1640263984529332, 0.10927487946514636]"
17,"[0.1532959948574465, 0.1309372750382196, 0.1302182554556226, 0.151219889281765, 0.1387240175210026, 0.1782110246420846, 0.17671956856034798, 0.16212216238465216, 0.21138872972534983, 0.1071110136150415]"
18,"[0.1813085723354746, 0.1431958794613981, 0.1863411533380962, 0.15982280087316336, 0.14904893187766632, 0.131520744773033, 0.17119386706492024, 0.11846881626127626, 0.13483664324946432, 0.16046597387874384]"
