,roc_auc
0,"[0.7742242660720922, 0.749988387216648, 0.7405936454849498, 0.7606482128710564, 0.7189058204016964, 0.727002656228156, 0.7633393913975488, 0.724847383382264, 0.7770865371172935, 0.6960482781117481]"
1,"[0.7683017465626162, 0.7332775919732443, 0.7645043664065404, 0.7928491542010346, 0.7115429423551889, 0.7352276434130202, 0.7535532876648492, 0.7162845426161517, 0.7057411808565172, 0.7397944918216134]"
2,"[0.7092507432181344, 0.7497329059829059, 0.7812151616499443, 0.7200242322568621, 0.7016053870171024, 0.7755603709399318, 0.7609977165757957, 0.7400391444149308, 0.7350528915606507, 0.7544503471736801]"
3,"[0.711886845039019, 0.7043965997770345, 0.7692307692307693, 0.7632578405331097, 0.7056829302390606, 0.7445360920825761, 0.7322918122932103, 0.7592734982990821, 0.7500466004939653, 0.7824339437998042]"
4,"[0.7258221850613155, 0.762774061687105, 0.737748513563731, 0.7168553986672259, 0.7517125681532224, 0.7184398154620438, 0.7445943427000328, 0.7671722820261895, 0.7383848268791648, 0.7619646768255743]"
5,"[0.7920963396506876, 0.7088210702341137, 0.735170475659606, 0.7709352719138823, 0.6979821986113053, 0.7351227923015984, 0.7149098280441772, 0.7405051493545831, 0.7723099864858568, 0.7674169346195071]"
6,"[0.764945652173913, 0.7557599405425491, 0.7355420847268673, 0.7551027540891933, 0.7279929167249173, 0.7331772216785498, 0.7683139941283379, 0.6832098420243256, 0.7730089938953353, 0.738955682930239]"
7,"[0.7491754923820141, 0.7959169453734671, 0.6972198996655519, 0.7240202246143809, 0.7822475418239433, 0.7323384127871756, 0.7210261428771144, 0.726245398201221, 0.7246959317768769, 0.7942937695139568]"
8,"[0.7257292827945001, 0.7070675399479748, 0.7390375325157934, 0.7317792068595927, 0.7522018733398574, 0.787664849247402, 0.7280977678363391, 0.7569201733538375, 0.7820028892306258, 0.7305908942634791]"
9,"[0.784745447788926, 0.7286557041991824, 0.7879970271274619, 0.7727526911785264, 0.7720769840160306, 0.7006733771377976, 0.7479495782655297, 0.7036907591220467, 0.7032014539354118, 0.7397711915746308]"
10,"[0.7477935711631363, 0.7427652359717577, 0.7553651059085842, 0.7201057831213011, 0.735181042919055, 0.7587958432359384, 0.7057528309800084, 0.7395614893517872, 0.7832028519502306, 0.7424740202246143]"
11,"[0.7941750278706801, 0.732081475287997, 0.7285628019323671, 0.6939862062537864, 0.7754671699520016, 0.6939978563772777, 0.7269444056106996, 0.7238221725150287, 0.7561396150799198, 0.7963441912484273]"
12,"[0.8035697696023782, 0.7358788554440727, 0.7344620958751392, 0.7294258819143482, 0.7173680041008436, 0.7611025676872176, 0.7180320611398482, 0.7403653478726875, 0.7557551610047066, 0.7282841698122]"
13,"[0.736517558528428, 0.7433342623560013, 0.7353562801932368, 0.7403303975022135, 0.7446875436879631, 0.7619996271960483, 0.7415536604688009, 0.7435691318327975, 0.74136725849294, 0.7532503844540753]"
14,"[0.7566308992939427, 0.7713559085841695, 0.7506038647342995, 0.7452583997390372, 0.7374178666293862, 0.7362761545272379, 0.7758865743976886, 0.7240318747378722, 0.7088401137052053, 0.7068712428351741]"
15,"[0.7695559271646228, 0.7907724823485693, 0.7357511148272018, 0.7452234493685633, 0.7573395777995245, 0.7387459807073956, 0.6995316650356493, 0.6928328440281468, 0.7239736241204158, 0.7754555198285101]"
16,"[0.746760033444816, 0.8054626532887402, 0.744193608324043, 0.7313947527843796, 0.7681858427699334, 0.754333845938767, 0.6653152523416749, 0.746912717274803, 0.7346101868679809, 0.7371965142830514]"
17,"[0.7432297473058344, 0.7568515421776292, 0.7545754366406541, 0.7435924320797801, 0.7362645044037466, 0.7344936856330677, 0.7359499510694814, 0.7312899016729577, 0.7482408313528124, 0.751013560743744]"
18,"[0.7403730026012635, 0.744727796358231, 0.7395484949832776, 0.7611375180576915, 0.7430565263991799, 0.7555687590288457, 0.7135933640896593, 0.737522717740808, 0.7227387110303369, 0.7674751852369635]"
19,"[0.7225473801560758, 0.7588721664808621, 0.7446813452248234, 0.7429982757817233, 0.7417167621976793, 0.7383032760147258, 0.745176848874598, 0.7583880889137425, 0.721270795470432, 0.7494407940724173]"
20,"[0.752554812337421, 0.7691378669639539, 0.7784280936454848, 0.8020877021296426, 0.6977724963884617, 0.7445011417121021, 0.7212824455939233, 0.6965841837923483, 0.742730322941423, 0.7346684374854374]"
21,"[0.7475032515793384, 0.715916480862133, 0.7389097918989223, 0.7359499510694814, 0.7575958805163335, 0.7701780138869472, 0.7407731021948833, 0.7200824828743185, 0.7315229041427839, 0.7863483852928841]"
22,"[0.7184364548494986, 0.7648411371237458, 0.7362504645113341, 0.7317442564891189, 0.7470874691271727, 0.7248007828882985, 0.7876182487534367, 0.7338529288410457, 0.7662985227643413, 0.7229134628827067]"
23,"[0.7504180602006689, 0.7547728539576365, 0.7536231884057971, 0.7058460319679388, 0.7682673936343726, 0.7503611538282304, 0.7491378908616431, 0.6982618015750968, 0.7467729157929073, 0.7630714385572487]"
24,"[0.7403962281679672, 0.7603934410999629, 0.7268557227796358, 0.7236823710331329, 0.729449182161331, 0.7470758190036815, 0.7676382869658418, 0.7417517125681532, 0.7634558926324619, 0.7404352486136353]"
25,"[0.7438684503901896, 0.7600218320327017, 0.7555741360089187, 0.7725662892026655, 0.7017684887459807, 0.6934852509436601, 0.7297870357425789, 0.7787758050235333, 0.7458758562840767, 0.754263945197819]"
26,"[0.73088535860275, 0.6923541434411001, 0.698950204384987, 0.7372314646535254, 0.7679761405470897, 0.8113612004287245, 0.7309520480917098, 0.7589938953352906, 0.7701197632694906, 0.7527727293909314]"
27,"[0.7493148457822372, 0.7270531400966184, 0.7277382943143813, 0.6965259331748916, 0.7752108672351927, 0.7563493173027633, 0.7490097395032387, 0.7259541451139383, 0.758259937555338, 0.7718789319166783]"
28,"[0.7514051467855815, 0.7297124674842066, 0.7122352285395763, 0.7432662286220235, 0.7530406822312316, 0.7740342047625705, 0.7205251875669882, 0.7477398760426861, 0.7390139335476956, 0.7596113518803298]"
29,"[0.753089000371609, 0.7776500371609067, 0.7300260126347082, 0.7509087096323221, 0.7210494431240971, 0.683524395358591, 0.742310918495736, 0.7804417726827905, 0.749848548394613, 0.7420196654084534]"
