,roc_auc
0,"[0.7343610214597136, 0.7180735202339724, 0.7245572461960589, 0.700738633756939, 0.7383395017022417]"
1,"[0.7163440704896721, 0.7347650696028832, 0.7558994690181576, 0.7038275193798449, 0.7021339950372208]"
2,"[0.7095065457023998, 0.7224732123849847, 0.7160432344695294, 0.7407036936570369, 0.7241107382550336]"
3,"[0.7117573371510381, 0.721443135346795, 0.7278596108383342, 0.7307545787545787, 0.7245475737863118]"
4,"[0.7329794599584583, 0.7391662930905664, 0.6991533201780552, 0.7189785326728002, 0.7303794449909087]"
5,"[0.7174800808517641, 0.7194642418284592, 0.7034335962035034, 0.7533105409046932, 0.7298902772684963]"
6,"[0.7191200892153654, 0.716812831756289, 0.7343658224786649, 0.7177301162770805, 0.7346972128994601]"
7,"[0.7053582994759465, 0.7028759653611022, 0.7696820567883561, 0.7301669379266693, 0.7134826389868277]"
8,"[0.733591810708023, 0.7218870203583826, 0.714334981383141, 0.7225930420711976, 0.7252490633393591]"
9,"[0.7686802790578895, 0.6895270072992701, 0.7092293598992329, 0.7270461460595468, 0.7236161800486617]"
10,"[0.7282564507257814, 0.7182173443086389, 0.7229388526279629, 0.738754718300014, 0.7132509043971534]"
11,"[0.7179728755205061, 0.7224405464665205, 0.7231740570398717, 0.7281044457247107, 0.7282153801254925]"
12,"[0.7198725641465227, 0.7217201743955608, 0.7068810132748751, 0.7331529394321299, 0.7317894673812162]"
13,"[0.7174244779969826, 0.7279861094789292, 0.7223623443780305, 0.712906989981785, 0.739424535199183]"
14,"[0.738312261943004, 0.7034339229968781, 0.7299353028741555, 0.7357402478463696, 0.7052802891071219]"
15,"[0.7214150014072614, 0.7232954157272664, 0.7156556200461837, 0.7232116254883773, 0.7388292564757724]"
16,"[0.7128077384632169, 0.7470800412229475, 0.7084315182188584, 0.7225843818889959, 0.7269737398809691]"
17,"[0.7176618614925646, 0.7108232829398109, 0.7259655894878276, 0.7357727772145906, 0.7298505749209975]"
18,"[0.7417674386827902, 0.7302234559812408, 0.7071339025947917, 0.7227164175693588, 0.7170975554975506]"
19,"[0.7546878483835004, 0.689068594980496, 0.6850450034618049, 0.7262671646908101, 0.75189264571949]"
20,"[0.7347697021319874, 0.7064493332869936, 0.7213622104247105, 0.7008095224663639, 0.754835039817975]"
21,"[0.7063091482649843, 0.7330359771536241, 0.7403511259855919, 0.7070428080902832, 0.729820308457885]"
22,"[0.7015299270072992, 0.7173507569103001, 0.7206526766100126, 0.7232860949612403, 0.7460771639518514]"
23,"[0.7538530465949821, 0.7304863368243651, 0.7038156726105076, 0.7043377654576208, 0.7316823247674311]"
24,"[0.7235672154238929, 0.7558689946912411, 0.7182045263031178, 0.7196221339973691, 0.7094458051777349]"
25,"[0.6927463612502982, 0.7032262773722628, 0.7593373181771067, 0.7299361781288458, 0.731368540006524]"
26,"[0.7238505158160825, 0.7187471585742863, 0.7459912410772785, 0.7209322340734937, 0.7134473568925235]"
27,"[0.7094587963985182, 0.7507632620220658, 0.7010919708029196, 0.7330225933838285, 0.7191527581576239]"
28,"[0.7341606385632327, 0.7254970549073593, 0.722187425435457, 0.7264977476827953, 0.7108338129370935]"
29,"[0.7600777247836071, 0.7168256929000166, 0.7201481088098187, 0.7040811653930913, 0.7203819140834344]"
30,"[0.7554194519508842, 0.7077854589079333, 0.7026500191825957, 0.738201653638182, 0.7186105418943535]"
31,"[0.7400647056124089, 0.7333719767230406, 0.7115660328577808, 0.7052154127121943, 0.7267970232015175]"
32,"[0.7074278224437969, 0.7623293303825176, 0.6929637654989768, 0.7373200405351088, 0.7200419463087249]"
33,"[0.7032974227724542, 0.7567562230597368, 0.7205558193163321, 0.7159897888141099, 0.719167237247518]"
34,"[0.7379137529137529, 0.7159579037800686, 0.712502345435782, 0.7308725300406355, 0.7203195326239232]"
35,"[0.727655135280657, 0.7274796037296037, 0.7461296103595791, 0.7069145130362611, 0.709278233151184]"
36,"[0.7324929971988796, 0.7190851408669265, 0.7218390152589482, 0.7170421867399028, 0.7299240217282555]"
37,"[0.7291921007415446, 0.7147766423357664, 0.7322961899855254, 0.7280847134926824, 0.7097295325446871]"
38,"[0.7237062606951081, 0.7246574795514437, 0.7432275541795664, 0.6926829268292682, 0.730036565227648]"
39,"[0.6952912169385151, 0.7690468026744386, 0.6978797281323877, 0.7189866168314445, 0.7436466064562283]"
40,"[0.7486561475457314, 0.7374306010552086, 0.7060687170394618, 0.6946357006384267, 0.721612757982866]"
41,"[0.7380781580925053, 0.7388168288018624, 0.7042047521403166, 0.7172024476428509, 0.727074807271343]"
42,"[0.7505185369553881, 0.7282130407451856, 0.7345250993138317, 0.7008147081676493, 0.7064768121948972]"
43,"[0.7036116215664373, 0.6988690314704287, 0.7446696438795375, 0.7310375794418348, 0.7397018579864612]"
