,imv
0,"[0.006001438075372339, 0.006429785621300887, 0.006445715486697961, 0.005836985386752429, 0.006379037308845499, 0.006647935676761818, 0.0063130823988995, 0.006559477791230624, 0.006559898013564057, 0.006350889409730775]"
1,"[0.006572718394338071, 0.006094453510435624, 0.006296485748795403, 0.006049577651309335, 0.006221240764943533, 0.0067450740383493205, 0.006437094279155702, 0.005879000792705144, 0.006512517064059043, 0.0066925465195628985]"
2,"[0.006080523686954961, 0.0063874171528236125, 0.0067742438878200485, 0.006404741339783443, 0.006335999573460009, 0.006705677510327359, 0.0062677675023204, 0.0055623193902359725, 0.00635661691427613, 0.006612796683265557]"
3,"[0.006384599405882827, 0.006037819095438119, 0.00623005556231332, 0.005963276270282374, 0.006090509044281606, 0.006966296837662512, 0.006350311142618955, 0.006300702362632487, 0.006794606080802557, 0.006374027174064963]"
4,"[0.006095311326560004, 0.006388351994494934, 0.0062176137024195595, 0.006445748283544682, 0.006603787763162263, 0.006187479794507239, 0.006366661579474936, 0.006380764247946285, 0.006441445077735299, 0.006382676406030605]"
5,"[0.006185356189611429, 0.006684534561025482, 0.006406995953712946, 0.006298230975812403, 0.006513517664340968, 0.0062718032326574665, 0.00601592655448059, 0.006348471336411207, 0.00630763193162826, 0.006445271251951637]"
6,"[0.006182028845518487, 0.006682001725349093, 0.006359908012419139, 0.006736137681780024, 0.006479856097542208, 0.0059099382149950235, 0.006632170206809897, 0.006399610494466151, 0.0057776761600352045, 0.006326749755470496]"
7,"[0.0059811269459764185, 0.006494689749123443, 0.00703414991053764, 0.005947730947925516, 0.006812409697636914, 0.006340102306163029, 0.0067957541250960075, 0.0062120999972519065, 0.00592722314982205, 0.005947077970722177]"
8,"[0.006304745755254234, 0.0062140468529286565, 0.0061154306545544, 0.006339681565400084, 0.006197517439171016, 0.006432320527944835, 0.006349329525560829, 0.00658029872596718, 0.0067329853066170845, 0.006234165386948273]"
9,"[0.006424460806284888, 0.006137444639546684, 0.00665993055779928, 0.0058586029036953955, 0.005985271552505832, 0.007193869324318625, 0.006256767583915574, 0.005944197939846146, 0.005907168284440456, 0.007094113410032115]"
10,"[0.0059028191470267555, 0.006259763661780328, 0.006471801792290958, 0.006197312254572903, 0.006163270694588379, 0.006640201910704298, 0.006455469029490164, 0.006223159036776938, 0.006677931989641944, 0.0064865421015101584]"
11,"[0.0061384162049540145, 0.005783239824574759, 0.006494599400324614, 0.00625158193698219, 0.006018604322651888, 0.005781362584878844, 0.006443132442909831, 0.006813795275532545, 0.00686173192795048, 0.006882055483725973]"
12,"[0.006394212704468813, 0.006279725608926094, 0.006463481013246177, 0.006487920644990421, 0.006272092440652405, 0.006690793695912704, 0.006370894660124241, 0.006611897373038753, 0.005996146689160607, 0.0059529376619996115]"
13,"[0.006549265565525009, 0.006014830598946742, 0.0060152160873516, 0.007033927871404994, 0.006344966449076667, 0.00594784123969688, 0.006359646948806035, 0.006619864359011937, 0.006565404373101423, 0.006016794670911468]"
14,"[0.006685117345837849, 0.006340917837962317, 0.006162439926976491, 0.006253926974059322, 0.006235738147977743, 0.0064386202979353725, 0.006369925128970844, 0.00631649395205394, 0.0067598441386786485, 0.00594622142996368]"
15,"[0.006639161218602995, 0.0063769262035507975, 0.006745404988346478, 0.00643600711729251, 0.005875404316379169, 0.006276313968667024, 0.005854333007523986, 0.006379991487767699, 0.006364171766856337, 0.006544477236793383]"
16,"[0.006119474749944522, 0.006124853635957618, 0.005942894800862544, 0.006450473738299521, 0.007054918493938113, 0.006250875330937533, 0.006149821544700698, 0.006736419306280246, 0.006084285816293955, 0.006555996596396836]"
17,"[0.006760392166610142, 0.006296664925151353, 0.006285878581948206, 0.0063703617633882785, 0.006222192250687948, 0.006374949125739257, 0.0063204228150155585, 0.006423320401251818, 0.0059372868101149915, 0.006528585272890765]"
18,"[0.0065417801542401914, 0.00581804250257039, 0.006813728412433258, 0.006709454858819444, 0.005817025863477148, 0.0068681372469287585, 0.0059897440586904474, 0.006329555492572654, 0.005974719829513079, 0.006615099280598382]"
19,"[0.006215176968643604, 0.006018836013808189, 0.006513285410027907, 0.00593556206193707, 0.0070257593526638846, 0.006208385282334501, 0.006508597566703609, 0.006404141196700984, 0.006574400451925992, 0.006110683631308054]"
20,"[0.006061080814928214, 0.006105241665501258, 0.006747427686783404, 0.006584315523910835, 0.006658433556587885, 0.005702831229225875, 0.006656900160777405, 0.006218749936779394, 0.006587842611225081, 0.00617849962495214]"
21,"[0.006828999242826879, 0.006763659156955558, 0.006390770320339618, 0.005789606042834899, 0.006172899198262127, 0.006227793333066579, 0.005907001017649796, 0.006307483786788335, 0.00645812344262256, 0.006676677641876867]"
22,"[0.007105982283960202, 0.006041422473120747, 0.006390830962974622, 0.006245925610731833, 0.006606956945062891, 0.006203377440524792, 0.006007461090933906, 0.006073815981864655, 0.006458229990230816, 0.006327027483788282]"
23,"[0.006362967136616486, 0.00583193548514193, 0.0062128472756523565, 0.006239034254608165, 0.005816602666286383, 0.006429393493010128, 0.006786966308717422, 0.00620370839922286, 0.0070348052092201975, 0.006539633032338605]"
24,"[0.0064481927301482285, 0.006054470376215664, 0.006416674336756461, 0.006530716867276704, 0.006293742257603743, 0.006480671997671192, 0.006182994101899808, 0.006348185498478244, 0.00617852427551531, 0.006547560094908482]"
25,"[0.006664663756054424, 0.005943712223803025, 0.006282610638673317, 0.005840187364205205, 0.006197429890284549, 0.006509474878436542, 0.006853989858005048, 0.006635523639487665, 0.006013989134008625, 0.0065325525394833665]"
26,"[0.006528897194888495, 0.006590982527292687, 0.006363649451324509, 0.006528152874242384, 0.006029072650430843, 0.006223950963222651, 0.006230669434659393, 0.006037517527214155, 0.0065097624304621595, 0.006434741620742492]"
27,"[0.006315445972479614, 0.006337473410464025, 0.006071786141045584, 0.006055490509896871, 0.0064960091097063044, 0.006202564301516054, 0.0060010764793580395, 0.0070297470291728085, 0.006589513709794672, 0.006413563429975939]"
28,"[0.006314603220168251, 0.006848260302600542, 0.006190899406700176, 0.006387958163067761, 0.006285997029532684, 0.00639543001634208, 0.006369001446809735, 0.006598190795767264, 0.0060505799553520825, 0.006058886172937312]"
29,"[0.006989903852614056, 0.006338691553411443, 0.006486252588922073, 0.006030603158588995, 0.006345069591042681, 0.006346763450560611, 0.006388259136323048, 0.005795389248627351, 0.0062504311142258535, 0.006529663251251861]"
30,"[0.006084472357144992, 0.006462486278224997, 0.006259711220735928, 0.00637901093260814, 0.0060559639619483735, 0.0061120852444562345, 0.006551668796091063, 0.00627716477028724, 0.006156427440289896, 0.007145152428138729]"
31,"[0.005960035280444422, 0.006197111472959789, 0.006133087508593147, 0.006383485776805487, 0.006556053136024138, 0.00699419622119839, 0.006802621215319019, 0.005938677186378011, 0.006199992695044655, 0.006343506168014047]"
32,"[0.006649612697692273, 0.006464630332232762, 0.006365488301659754, 0.006711343257865559, 0.006236457424214115, 0.006379050378441277, 0.005939563233350043, 0.006275855447487907, 0.006060901124424637, 0.006396488782605371]"
33,"[0.006066410958369506, 0.00547900585384661, 0.006292386178688024, 0.006433267400696763, 0.006303550929484078, 0.006366658043188452, 0.00631793158897814, 0.007262901780962704, 0.006962248243819218, 0.005998263846816378]"
