,imv
0,"[0.004740950170790519, 0.005460297871748009, 0.005646141766112777, 0.005214659679483207, 0.005198181504849691, 0.005150709588814212, 0.005199020790295951, 0.005007730485254266, 0.004679312106877954, 0.005983936949041785]"
1,"[0.005915972396791475, 0.004861306743077886, 0.005407113832223962, 0.004974772652278355, 0.00503448503859967, 0.005329295629149755, 0.005235628271470077, 0.004738781204056881, 0.005509095797319749, 0.0052435124699190495]"
2,"[0.004851303221491188, 0.005109272823885625, 0.00492213490811647, 0.005371012493387725, 0.005535136067652053, 0.005592829051870181, 0.005388197207453677, 0.004815619065010136, 0.0052580934897971275, 0.005437598237457136]"
3,"[0.0051132473066315375, 0.00551642355582108, 0.005837271156176066, 0.005191665251106184, 0.004849031266027459, 0.005552823179343418, 0.0049095636635459895, 0.005069051002642277, 0.005002811237141937, 0.00525356859001486]"
4,"[0.005237435322389259, 0.005121771865357051, 0.00482249626443504, 0.0057752474145539474, 0.004646064990046071, 0.005424990651075134, 0.0053143912986069585, 0.005670112966962503, 0.005287781376140343, 0.004963904894223804]"
5,"[0.005779293487831604, 0.005216436816919346, 0.00465005386705238, 0.005052916467651577, 0.0049474977219969235, 0.005305137814842646, 0.005399656862702216, 0.005907292195589372, 0.004711354223231846, 0.005318266905816863]"
6,"[0.0054657291811996255, 0.004590326924694647, 0.005323061847861042, 0.004985533604154088, 0.005437112185635169, 0.005786482726115363, 0.005200882072395106, 0.004844038882128667, 0.005436899651970994, 0.005190258242721202]"
7,"[0.004821961854211265, 0.004929490717690443, 0.005178371729341503, 0.0057368606668337626, 0.005125888493849747, 0.005060379484783584, 0.005646847543954435, 0.004743090076657216, 0.005074183578653659, 0.0059248106088939274]"
8,"[0.005274810482045245, 0.006075343630120092, 0.0054496475631246296, 0.005143364057716261, 0.005609912638614421, 0.005084252350143098, 0.004982344325779406, 0.004962971958501872, 0.00475536372240428, 0.0049250745028280776]"
9,"[0.00544357232526576, 0.005094636728127587, 0.006354086585517448, 0.004721823006538142, 0.005039138544940989, 0.005075525882775532, 0.004429166467658433, 0.0048848330694823625, 0.005615789960326776, 0.005605712282929321]"
10,"[0.004845747366084677, 0.005049937847294707, 0.0055135309990709345, 0.005572819753168935, 0.005231084425126135, 0.005547606623914169, 0.004998337338148993, 0.00541666701129479, 0.005302393737869339, 0.004803330999184585]"
11,"[0.005808571746719195, 0.005180593714506139, 0.005315713695845503, 0.005857790685335815, 0.004635646832929883, 0.005534481911711934, 0.005540657014688111, 0.004933004262519229, 0.004724885312827597, 0.0047362975800716006]"
12,"[0.005204679972030232, 0.0056200236642750985, 0.005438714117601215, 0.005016556633671786, 0.005131589637109551, 0.005307433743676208, 0.005653179605469288, 0.005037124559511184, 0.005075136823542329, 0.004776179389496364]"
13,"[0.005353074592472772, 0.005236207351981116, 0.005014048111656988, 0.006203533208238808, 0.0050502275797296315, 0.0051207085648571115, 0.004698785238699021, 0.005339623826997265, 0.005168428571764137, 0.005084246216862078]"
14,"[0.005573104530874281, 0.005759676008280074, 0.0049031245909904545, 0.0044967933537543815, 0.005044267657594311, 0.005660296625333111, 0.004747308901153914, 0.005567431367969655, 0.006107389455969854, 0.004390430313674871]"
15,"[0.004572974639173894, 0.005423709290472097, 0.005800575832726805, 0.0049245814099237424, 0.0049622059614609455, 0.005515355621578076, 0.005442954376111923, 0.0049133366178475005, 0.005108585917526254, 0.005584304186143863]"
16,"[0.005524643534424929, 0.005774740350848717, 0.005012803146345941, 0.004517516674380798, 0.00571174844927522, 0.004971732465758416, 0.005384009220367513, 0.00519795748766852, 0.005158316333655929, 0.005020449623367199]"
17,"[0.005039620715587935, 0.005700681186968863, 0.005221200164428744, 0.004961860486271764, 0.0053995617269537366, 0.005090267960764928, 0.004839624725559985, 0.005167907731623351, 0.005476254422958404, 0.005399747773075656]"
18,"[0.005045786111199464, 0.005119450845414707, 0.00537603684507152, 0.0051172559329243205, 0.005494843195443418, 0.005551635912070491, 0.005207077335387962, 0.005025965339734129, 0.005468135778701637, 0.004861246302058889]"
19,"[0.005806214566065838, 0.005376113034385065, 0.004763267728222423, 0.004984193159563008, 0.004982946864570304, 0.004851654336168579, 0.005174517934099115, 0.005734551838617985, 0.005224828856569222, 0.005376972611855097]"
20,"[0.0054354025740525605, 0.005894105197104077, 0.0047413308451122824, 0.00535276194040522, 0.005259355593337247, 0.0047977112983459995, 0.005330881142107098, 0.0045750290059449255, 0.0057534049573018655, 0.005167628640094826]"
21,"[0.00536553544861242, 0.0051249526626872925, 0.004904123275244081, 0.005826985578983732, 0.005153366072303386, 0.005041160735677184, 0.0054829793984690605, 0.004940167266407868, 0.00536453025007066, 0.005062894727271522]"
22,"[0.005438091554217537, 0.005441663522739452, 0.005296040739099604, 0.004967986551314573, 0.004740510801156543, 0.004979713476499533, 0.0052445725104174196, 0.004784674488646121, 0.005696891508905494, 0.005699112955916761]"
23,"[0.0054998230807279894, 0.0053288611105872016, 0.0044930558350393624, 0.005258122942680528, 0.004965679480011706, 0.005589141997998999, 0.005418370819806851, 0.005416029634930992, 0.004984697363293958, 0.0053171007064665215]"
24,"[0.005502748368026309, 0.005664337797556222, 0.0053015267610004935, 0.005102820799738697, 0.005257401468129028, 0.005141574307041021, 0.005087818275584711, 0.005079476563092615, 0.004928321208259782, 0.00520550312301614]"
25,"[0.005862869592649557, 0.004448115431079809, 0.005558853403706954, 0.005032566647875453, 0.004938296636871981, 0.005103986063576553, 0.005277460029447947, 0.005465328511164222, 0.005508665166152756, 0.005086409274168573]"
26,"[0.0052456280676417225, 0.005105887659329444, 0.005524538535617313, 0.005507464907499026, 0.005536742261040444, 0.004855820371409743, 0.005014430148716875, 0.005409993625126944, 0.004786521529819799, 0.005279476323477181]"
27,"[0.005124245351516608, 0.0045785902184784875, 0.00561899946328072, 0.0051609014781923085, 0.005593665136424147, 0.0056466444523985086, 0.004963025212024785, 0.005544811283218647, 0.005575027863576184, 0.00447949293347498]"
28,"[0.005182836693465488, 0.00501952019443544, 0.004892979755339225, 0.004913649431672303, 0.004831292785197346, 0.005426137751681638, 0.005132734263738526, 0.005410204827787192, 0.005806416891248589, 0.0056601264626396745]"
29,"[0.005410668089121914, 0.0050283489263567285, 0.004968805727638077, 0.005255281587032514, 0.005208976028674008, 0.0053682691162031, 0.005458192643948118, 0.005414312593856489, 0.005850999163858252, 0.0042959691449693475]"
30,"[0.004946825542431629, 0.004703890739871398, 0.005857089775179724, 0.005876755505247431, 0.005323637589382993, 0.005012615175469115, 0.0047085346663611185, 0.005775088186756466, 0.005364404607417776, 0.004702957763643276]"
31,"[0.004551510738371882, 0.005198625825677461, 0.005796708494866127, 0.005304460845153935, 0.004862925692979808, 0.005808095174163454, 0.005370409593551621, 0.004721129031895498, 0.005261250896070141, 0.005392187547302225]"
32,"[0.005357490403662584, 0.004978064742730424, 0.005064792826528562, 0.005317777156867758, 0.004977075674399514, 0.0059480121756695144, 0.005143112096104013, 0.005138907865806822, 0.005012694664889179, 0.005328752030353773]"
33,"[0.005096415754829987, 0.0051456048446731776, 0.005261457338471976, 0.005502625184837741, 0.004610202370754718, 0.005802661034488983, 0.00502868423723952, 0.005294730761534625, 0.00552598058002409, 0.00501097974784013]"
34,"[0.0052528162876610595, 0.0050058452858448114, 0.005189262647098786, 0.005300435001596403, 0.005866362489757409, 0.005158655446857332, 0.005039642707378198, 0.005147617950178647, 0.004985448077105995, 0.005330204084484893]"
35,"[0.004845636398771686, 0.005134386690368202, 0.005287013491026884, 0.005496681075391136, 0.005148216762441253, 0.005583279779115575, 0.004847262987065897, 0.005774121106290814, 0.004818165609210161, 0.0053070253386214945]"
36,"[0.005624097669035832, 0.00525816006074168, 0.005472477452782704, 0.005505342237600218, 0.004917800210044554, 0.005277395656674186, 0.005322730858015821, 0.004595558831784164, 0.005528097467278145, 0.004752624483595565]"
37,"[0.004989379667218739, 0.004857874871061426, 0.0052097865757765715, 0.005483824320526819, 0.005743043997813573, 0.005030570480820942, 0.004899757006421513, 0.005943999530510646, 0.005049669164354693, 0.005062471959340812]"
38,"[0.005115660850188377, 0.005343870482646307, 0.005383349003741112, 0.00503166428947342, 0.005192483602193233, 0.0050840189667448014, 0.005162109011394867, 0.005188371963132305, 0.005692705178486635, 0.005096674936825396]"
39,"[0.004910035135930798, 0.005148311455239995, 0.005113562490482438, 0.005769633735551019, 0.004945719138867509, 0.005557717469345384, 0.005254836465300754, 0.004944321109000809, 0.00549785957638346, 0.0051141684704739026]"
40,"[0.005403953531417614, 0.004950537948477563, 0.0051409396958285395, 0.005289481814022302, 0.0050508122764937255, 0.005466283552630932, 0.005725423139007872, 0.0050315912041262525, 0.00495593148706125, 0.005260466675656446]"
41,"[0.004781056294710521, 0.0058594459580738395, 0.004883828795814024, 0.005561225364616008, 0.004932910240446036, 0.005339081053963674, 0.005587794233512527, 0.0050741003405914645, 0.004705201840912329, 0.005563843705762835]"
42,"[0.005528911467031782, 0.005226709064202471, 0.005287262822582828, 0.004877881138746288, 0.00523566775205988, 0.005826385782040988, 0.004466728617414565, 0.004919985848098069, 0.00557725064862629, 0.005318898119092057]"
43,"[0.005319501950033303, 0.004822428937874391, 0.004794992293528728, 0.005316540602022699, 0.005358522916865299, 0.005230929558607233, 0.005033987005945646, 0.005046069638142547, 0.005417932097209545, 0.005938997954374809]"
44,"[0.005403322497620236, 0.005211592349066343, 0.005451031413687286, 0.004919798499352647, 0.005244027081791299, 0.005250842788402107, 0.004956490045906109, 0.005294948811669066, 0.00522207329249405, 0.0053139726362555414]"
45,"[0.005214292471798054, 0.005415021581878552, 0.005959901066095065, 0.00479552670104851, 0.004986652479177715, 0.004864809285771767, 0.004900716637359038, 0.005629079019335842, 0.005423784746875612, 0.0051018298469747226]"
46,"[0.005350400987240437, 0.005104557316329888, 0.005316686178348103, 0.004456145045081368, 0.005921974315178415, 0.0051273775483760145, 0.005110570415127643, 0.004817165255308076, 0.005541424911087245, 0.005503992737948104]"
47,"[0.005092710364030958, 0.0054952429397283125, 0.004777055265913738, 0.004952933928722462, 0.004947929889620337, 0.00521025542649601, 0.00634566152831699, 0.005560587131096292, 0.0047578848433721555, 0.005140655622413915]"
48,"[0.0051741534573129765, 0.005306357791639494, 0.005500517563904206, 0.005014013623685019, 0.004854724201486247, 0.00516612311056423, 0.004705491566231369, 0.006289607525934241, 0.005103989202195695, 0.005179965843898097]"
