,imv
0,"[0.005006601288328662, 0.005039797248411426, 0.005467306162916405, 0.005284548457377895, 0.0053407767568935125]"
1,"[0.005132993743211571, 0.004998179020400477, 0.0052650228770332146, 0.0050899602381973864, 0.005646490858394161]"
2,"[0.0051981323919916165, 0.005453391917277929, 0.005445974202207694, 0.004822757799022261, 0.005199371211017782]"
3,"[0.005148702706208808, 0.0049640072133542365, 0.005317408005467445, 0.0052850160077019285, 0.0054191815438708905]"
4,"[0.005183079127703164, 0.005125759661068384, 0.005333383529635986, 0.0051931272911427614, 0.005306543945038894]"
5,"[0.005374832770782802, 0.00525643477329116, 0.0052367815607714426, 0.004922402652836947, 0.005338336169535725]"
6,"[0.0052905187866464035, 0.005337738517328968, 0.005044031806976919, 0.0053202119741313685, 0.005118852999036479]"
7,"[0.005122058880722106, 0.005398118327755675, 0.005422948353320972, 0.005372099038211532, 0.004813314368356941]"
8,"[0.005000306924527668, 0.005067650474576801, 0.005270798089556431, 0.005452797050538278, 0.005347448683232972]"
9,"[0.005245288234735987, 0.005145050157507079, 0.005318409406610146, 0.005104857635444887, 0.005310501956365009]"
10,"[0.00488099147101091, 0.005207639146477899, 0.005214617047518417, 0.005309463467397203, 0.005505264622755342]"
11,"[0.004926119080346268, 0.0051095125257323085, 0.004977259377512871, 0.005552236077609608, 0.005545831759131469]"
12,"[0.005280856104325246, 0.005328466113893319, 0.005410783962901358, 0.005295822441945764, 0.004816158574683139]"
13,"[0.004966211187080137, 0.005389250827866402, 0.00516487693106417, 0.005399223346577972, 0.0052099475934802505]"
14,"[0.005269058916372717, 0.005159652007793071, 0.005256580200621133, 0.0052314808238568536, 0.005212498706897311]"
15,"[0.005415415912455288, 0.005439363571817719, 0.005015411325443723, 0.005140058198129331, 0.005125775746446805]"
16,"[0.004952689677451773, 0.005215135916728511, 0.005595503853502187, 0.005291335348723615, 0.005057210217177888]"
17,"[0.005310117565409545, 0.005213288233279823, 0.005168001238568573, 0.005172892946475624, 0.005273266773652052]"
18,"[0.005031201455935702, 0.005496291399660486, 0.0053525847931736705, 0.005113388087552294, 0.005144511943223517]"
19,"[0.005057787131089829, 0.005050148553658269, 0.005507671128081402, 0.005218821399719352, 0.005313852279532334]"
20,"[0.004956973589293514, 0.005327401403611836, 0.005203858162139716, 0.005282618482953758, 0.005370289901273473]"
21,"[0.005679861773768295, 0.004859575141718263, 0.004994348166478098, 0.0050201230043062295, 0.005572752464128491]"
22,"[0.0054053263837596935, 0.005245488324341024, 0.00519160481145087, 0.004966214700844253, 0.005313630767474013]"
23,"[0.00480125782950573, 0.005376206746812232, 0.005025325154698969, 0.005266364940963186, 0.005661249650973697]"
24,"[0.005001785752928007, 0.005504142002817152, 0.00528940468134032, 0.005077705319085319, 0.005268253814690818]"
25,"[0.0051034706106173056, 0.004846547425577349, 0.005388407613227776, 0.005601649254351502, 0.005196970227856867]"
26,"[0.005407886900446392, 0.005350913955415417, 0.005020864204055465, 0.005070731103443024, 0.005264273587006666]"
27,"[0.005103125970245661, 0.004897495959769247, 0.00533388278611787, 0.005335555865155883, 0.005470888785518727]"
28,"[0.005468075100361727, 0.005276785492247134, 0.004973599946525579, 0.005288498574491046, 0.0051264585667356545]"
29,"[0.00543281776193981, 0.00522662292485036, 0.00496893011377402, 0.005186308129468931, 0.005330619544055442]"
30,"[0.005080559529795648, 0.005062862759056856, 0.005130187720262962, 0.005378944250939165, 0.0054908943869544325]"
31,"[0.004820352156717749, 0.0051549907994793654, 0.005727475561949355, 0.005214717787050622, 0.005216151043338137]"
32,"[0.00542142452407653, 0.00527867732237867, 0.005158722728341583, 0.004984528983127285, 0.005284555236200181]"
33,"[0.004940328427385897, 0.005111031055137948, 0.005213660668273234, 0.005577953245157257, 0.00527031975976616]"
34,"[0.005690065759351656, 0.005208189050137456, 0.005172401406262304, 0.005012573521891322, 0.005054439158288119]"
35,"[0.0049943232934931405, 0.005226845419061584, 0.005221351122996022, 0.005268063328634331, 0.005425847430192999]"
36,"[0.005356515207093316, 0.004885777032148818, 0.005472798820963512, 0.005331881870654324, 0.0050975911570318375]"
37,"[0.0051527103518651755, 0.00535302334334535, 0.005298312474819422, 0.0053589075174386176, 0.004980470809286576]"
38,"[0.004958654104768295, 0.005239287698752193, 0.00494604516282017, 0.00534185981190511, 0.0056348347219505115]"
39,"[0.00527443492459653, 0.005165372953994661, 0.005453798900654875, 0.005273219197626604, 0.004971940195232106]"
40,"[0.005644435835504566, 0.004945770218488779, 0.005172005277847622, 0.005230680165561736, 0.005132208200830466]"
41,"[0.005281713084064353, 0.0053079871625355355, 0.005357157593413594, 0.0052724412568412905, 0.004910542675491172]"
42,"[0.005189615504963593, 0.004849490468800688, 0.005233712381201672, 0.005418881075294934, 0.005435885480015701]"
43,"[0.0051711978316696505, 0.005368141847960153, 0.005525619329496764, 0.004643202882676088, 0.005420141208551405]"
44,"[0.004589628654181012, 0.005377502712980333, 0.005737156093465747, 0.005160627029819019, 0.005260260195618833]"
45,"[0.005163701641791439, 0.005328634229162695, 0.005220620291078004, 0.005164689817265206, 0.005252250916809473]"
46,"[0.005220762743343583, 0.005060890075745206, 0.005190898554581664, 0.005263682125429339, 0.005395953713757453]"
47,"[0.0051805371950415504, 0.005027553241257804, 0.005242912866997741, 0.0051865545297993644, 0.005487840592108239]"
48,"[0.005069837072948207, 0.005532389724440309, 0.005341778843285658, 0.005280816105989544, 0.004911670503639698]"
49,"[0.005533598232070205, 0.0053240971176864065, 0.005264833399782351, 0.004973326791089256, 0.00504469022757316]"
50,"[0.005349177906436886, 0.005625009091807323, 0.005037908693715741, 0.004897169323114342, 0.005221702005679335]"
51,"[0.005101507707827117, 0.005321138704877038, 0.005215648218234304, 0.005143284674841695, 0.005338596257630708]"
52,"[0.005562938002693354, 0.005146329054565568, 0.0052543252392739746, 0.004788863111720305, 0.005364682898211516]"
53,"[0.005222146842923612, 0.0051622852890161, 0.005206137755585058, 0.005217123491707384, 0.0053217582504122085]"
54,"[0.005165390425692354, 0.005279663366952237, 0.005073076823887902, 0.0050949088338539, 0.005523558723794757]"
55,"[0.0049654328480015966, 0.005244017946690681, 0.005286864919888834, 0.00486716592608119, 0.005773156202477591]"
56,"[0.005031626956949636, 0.005295323811766166, 0.005231700880288037, 0.004978028983599513, 0.005590309899649776]"
57,"[0.0054751156775777465, 0.005305986388374687, 0.005412800534089418, 0.004930381577702911, 0.0050164913994248375]"
58,"[0.0055737309696006175, 0.005449335593374366, 0.004745438621452132, 0.005436243400044984, 0.0049051393088492485]"
59,"[0.005435657373271419, 0.005450672792532571, 0.004865053814548402, 0.0052514640304004495, 0.00512561637279768]"
60,"[0.005471959136924481, 0.0050520438626851655, 0.0052147857985733355, 0.0052827947228780295, 0.0051108469317592]"
61,"[0.004932664188741746, 0.005142134143163442, 0.005472215899537046, 0.00517960766299546, 0.005403789014454588]"
62,"[0.005102945888168399, 0.005596745308026529, 0.005024115998557359, 0.005356240868295386, 0.005043806449722272]"
63,"[0.004732558738583674, 0.00551212451121008, 0.005308887696791011, 0.005406003523107314, 0.005163703128786614]"
64,"[0.005308385842450007, 0.005052955407721413, 0.005456226680964274, 0.0051132329290531275, 0.0052080653114925084]"
65,"[0.005238102717732547, 0.005291663701464452, 0.005478908300771569, 0.005237834818439692, 0.004874840879674805]"
66,"[0.0054161858647694934, 0.004990910975505383, 0.005226179670062979, 0.0051569748337606585, 0.005356090179183164]"
67,"[0.005451913158263808, 0.005069324692456182, 0.005315740725964427, 0.004887722276966651, 0.005407506270392511]"
68,"[0.005279695859941798, 0.005122980070457697, 0.005188876923597153, 0.005010403986222872, 0.005538371361311551]"
69,"[0.005378961269233312, 0.005148718630029381, 0.00523691736556213, 0.0055284073698672305, 0.004833571973933901]"
70,"[0.005481450977921074, 0.005328613739782579, 0.005151818430056494, 0.0052153918058844406, 0.0049481995906357065]"
71,"[0.005432630843507232, 0.005422867476636355, 0.005214208989246567, 0.0047876623687737275, 0.005267408560309585]"
72,"[0.005092753797641529, 0.005156726425713485, 0.005503527214136566, 0.005229642578287762, 0.0051481456631098975]"
73,"[0.00516539180832224, 0.005354186689762767, 0.004730197326737627, 0.005587370042531995, 0.005291997919841186]"
74,"[0.005185836831562492, 0.00527069105603316, 0.005125664400517356, 0.0054510878775913645, 0.005097435773730584]"
75,"[0.0054281289080346335, 0.005120561708590977, 0.005125829906634287, 0.005046627893822859, 0.005406450392921603]"
76,"[0.005040736746076098, 0.005391368314918352, 0.0054769164268275135, 0.005036927768190458, 0.00517454847645559]"
77,"[0.005353268908522823, 0.005097934013693676, 0.0051980220795960356, 0.005229725641034148, 0.005251946709318793]"
78,"[0.005017540571769424, 0.005294605941125077, 0.005430279108519428, 0.004897078662830078, 0.005497681134584622]"
79,"[0.004869457189864041, 0.005640788347000343, 0.005414652754249665, 0.005175949324996461, 0.005005172598536261]"
80,"[0.00523218251362061, 0.00536793818876666, 0.0049886040334168585, 0.005277092038882371, 0.0052533279106851734]"
81,"[0.005248489919292465, 0.005331148271698978, 0.005036690564952472, 0.005457197372880451, 0.005061306020173799]"
82,"[0.005224539878845992, 0.005149595806656915, 0.005383554245952228, 0.0053388559272149385, 0.005040907390979892]"
83,"[0.00491662750652026, 0.005530023370583781, 0.0052179465780438986, 0.005292246119471983, 0.005181440207760224]"
84,"[0.0053985884402618116, 0.004893014966720755, 0.0049693705396295865, 0.005455234634965877, 0.005395336502479562]"
85,"[0.005121709575866122, 0.005430594545212641, 0.005354092031527046, 0.004850356589533995, 0.005379767190535774]"
86,"[0.0050385774212689536, 0.005319587405657009, 0.005235775268817704, 0.0056767086195682, 0.004857052407663302]"
87,"[0.005099387900721145, 0.005227409245921054, 0.005444886927275953, 0.005272075477464524, 0.005083800405169112]"
88,"[0.005394595805900253, 0.00500566775949419, 0.005440072301986998, 0.005314166201085676, 0.004964644518935093]"
89,"[0.005043416052244038, 0.005143612013826268, 0.005058362972177237, 0.005214708522637798, 0.005657709051982671]"
90,"[0.005570998704033048, 0.005425584042330969, 0.005210209470502682, 0.00517799989023222, 0.004746431382198573]"
91,"[0.005438473862386546, 0.005135785389112917, 0.00484143251477251, 0.005233439352662733, 0.005468187911447461]"
92,"[0.005111986340914498, 0.004888057658063506, 0.0053383359058675785, 0.005327083794594541, 0.005460391608881233]"
93,"[0.0054651083298945715, 0.005064985817028351, 0.0051296958674242775, 0.005252075762604013, 0.005228961696648547]"
94,"[0.005182492026562348, 0.004900036587825031, 0.005276177814100407, 0.005358112107808834, 0.005408838253380485]"
95,"[0.005298262814480471, 0.005479181781411258, 0.0051189811198910536, 0.00527905257596027, 0.004959416853858607]"
96,"[0.005023391863252734, 0.005182999349279595, 0.005344781924058364, 0.005348891721381131, 0.005244232323201052]"
97,"[0.00500515739871131, 0.005507249405693627, 0.004911026024503831, 0.005220585393027023, 0.005478019238955959]"
