,r2
0,"[0.03796737292405339, 0.03581958693884979, 0.04091091677342751, 0.03958161881211941, 0.038450376991820745]"
1,"[0.039025943515989425, 0.03643580919346756, 0.040012332111165505, 0.03651800598545629, 0.04052155852600803]"
2,"[0.038373909854503396, 0.041867740439472834, 0.04019307693573515, 0.03310536536609776, 0.03888509364020687]"
3,"[0.03632452619798676, 0.037686928814630205, 0.038675999048404464, 0.038407448519659604, 0.04157752015875904]"
4,"[0.03698547747617431, 0.038097981907528555, 0.039387152878640586, 0.03916548109381346, 0.03884421747335354]"
5,"[0.04005164879382783, 0.03763419460906503, 0.03829900985327628, 0.03633329531468277, 0.04017060005923523]"
6,"[0.03880862128770424, 0.04061307739904818, 0.03629643325888543, 0.039691989911876946, 0.03695632849251351]"
7,"[0.03662023454950014, 0.04032127603943281, 0.03984661808869416, 0.040669664115614346, 0.03495923998955597]"
8,"[0.037890641626843524, 0.03731415112422909, 0.0380249229471924, 0.03883627062954631, 0.04051104882379697]"
9,"[0.038529103099241624, 0.037348946165355223, 0.040776252629181164, 0.0357538797932756, 0.04010017146902145]"
10,"[0.03598009101767541, 0.038354572069135506, 0.03883976363421804, 0.038807004458093486, 0.04044937751937139]"
11,"[0.03624925632706877, 0.03738644709269601, 0.03516294670686726, 0.040949239269124305, 0.04249549772342098]"
12,"[0.03871050314798974, 0.03969089485533306, 0.039885947755996964, 0.03899891832710045, 0.03532320166665992]"
13,"[0.038130068565473074, 0.040852266373512136, 0.03629457358774246, 0.039826860779381135, 0.03739072232424545]"
14,"[0.04053925734421482, 0.03839711463155693, 0.03789103972568175, 0.03926781351378328, 0.036455924399480755]"
15,"[0.041323550567745504, 0.040511891894646324, 0.03512156434265479, 0.036034970382994747, 0.03941615822788136]"
16,"[0.03693204278638862, 0.03691214125952358, 0.04034778882783485, 0.03981126344234176, 0.03833856389995727]"
17,"[0.040256986031126485, 0.03862324096872949, 0.03811353364707537, 0.037804712375970495, 0.037729792643245386]"
18,"[0.03787482935718345, 0.04231374204203475, 0.03805263322020869, 0.036135624085143814, 0.038208611987359364]"
19,"[0.03658610160578013, 0.03608424865249804, 0.04043088828362629, 0.04147390193606115, 0.038126234860670905]"
20,"[0.036445483544243706, 0.04147422125577305, 0.03648707344402402, 0.03957542523010105, 0.03856047549563746]"
21,"[0.04290674502691283, 0.036445140257611475, 0.03634609987956794, 0.03632705724922425, 0.04048750339891405]"
22,"[0.042302827930134956, 0.03726485838258775, 0.03873824122058389, 0.03519746491004483, 0.03881511074158828]"
23,"[0.035478409967472646, 0.03810934657881704, 0.0364856108123901, 0.039099613821012125, 0.04313032583954213]"
24,"[0.038030073979281154, 0.03943481238294211, 0.03839186903151659, 0.038049523043355404, 0.03856391229712053]"
25,"[0.03773618629313735, 0.036122468557744924, 0.039073399470126335, 0.04183667746994679, 0.03769964546395732]"
26,"[0.04003203824812518, 0.03956215269359853, 0.03606075812044951, 0.03647165018269194, 0.040193371282230106]"
27,"[0.03847524399167279, 0.035985286536014405, 0.037751356169775985, 0.04045702983774757, 0.04002059588196294]"
28,"[0.040753321244537566, 0.03832589112009044, 0.03861827357595227, 0.03866404806571633, 0.03620336846763683]"
29,"[0.04157909756132172, 0.037708048308879416, 0.03833917247569785, 0.03537471029795236, 0.03940086537176635]"
30,"[0.038559523638743265, 0.03839766170758507, 0.03588904701659923, 0.038666449237574785, 0.04110544081474332]"
31,"[0.03550945183599208, 0.03813888249814401, 0.04314783876269812, 0.03939383041049571, 0.03653082828093657]"
32,"[0.040288831565749805, 0.03952508920764375, 0.038412165801659515, 0.03633768574624896, 0.0379702745221242]"
33,"[0.032615830250039224, 0.03804995337495165, 0.03878960748991067, 0.042984192300768664, 0.03987436938993394]"
34,"[0.043540165038043255, 0.03538369704823685, 0.03929815694708294, 0.03563944592851587, 0.038601058647429465]"
35,"[0.035366708966865446, 0.03887982128556067, 0.038876095621873, 0.037859257483881525, 0.041518001271713456]"
36,"[0.03874578873635026, 0.0372488167499746, 0.041267921605122826, 0.03776753943453892, 0.03743605172123998]"
37,"[0.03675973594787907, 0.03995032628088713, 0.03818883402528228, 0.040113984397649016, 0.03754629840452539]"
38,"[0.034277192010456536, 0.04060639957656986, 0.034895097350293836, 0.04109242801992241, 0.041433139370582905]"
39,"[0.03946296082179823, 0.037678121461553915, 0.04119061620107656, 0.036983582565849216, 0.03713784642664497]"
40,"[0.04406185991658884, 0.03636465085155405, 0.03627130165957004, 0.03869610900005771, 0.03701594435449085]"
41,"[0.03791984935979631, 0.03957782043151459, 0.03882517288448517, 0.03959513108940993, 0.03669680362830052]"
42,"[0.03878979545541528, 0.03574482721297656, 0.03693433856137118, 0.03989278721096379, 0.04114198714995654]"
43,"[0.03806019219682344, 0.038817859297515356, 0.04094404367811799, 0.03484994831141097, 0.03994217426387381]"
44,"[0.03274558611573053, 0.04052947533347817, 0.0436645173727237, 0.03722914281126266, 0.038298691090050574]"
45,"[0.03817549185098701, 0.04033156823663275, 0.03745157051841952, 0.03772207459073473, 0.03883049450216869]"
46,"[0.04012241061174282, 0.03712467759142135, 0.036466879338026614, 0.038775656105899836, 0.0401031804058708]"
47,"[0.03924632443357612, 0.037169991425520466, 0.03980965999655761, 0.03656701667330908, 0.03959210252612555]"
48,"[0.03787186109758489, 0.04055740550728604, 0.04052826540171739, 0.03802168775031889, 0.035494539301043515]"
49,"[0.04140352101510225, 0.04008122502224065, 0.038621139542562744, 0.036909287817420866, 0.03563861446459449]"
50,"[0.038673074473616564, 0.042642167086526905, 0.03750543709698606, 0.03596363759906107, 0.03773700357716492]"
51,"[0.03626847800613353, 0.041052127666206584, 0.03739809870993971, 0.03817418109574955, 0.03955929320606433]"
52,"[0.040435672341797346, 0.03785324421598402, 0.03824820827959896, 0.0361580821031805, 0.03972643326841996]"
53,"[0.03970472595848551, 0.036910965715756916, 0.038937863242200166, 0.037642865673217396, 0.03933321148923585]"
54,"[0.03985649658118995, 0.039708327937161725, 0.03651865818869049, 0.03563532034026029, 0.04080841737631713]"
55,"[0.03709855658806527, 0.03730034606464916, 0.0398464960616135, 0.035366890299155185, 0.04281740396012346]"
56,"[0.03752098576680607, 0.03955486719399193, 0.039706948701123235, 0.03538100563113378, 0.040340628642156484]"
57,"[0.04039938309934432, 0.039219463894361484, 0.041144389560266004, 0.03643940001763246, 0.035457453179089105]"
58,"[0.041101965728267076, 0.04108721603614929, 0.03409022107146664, 0.04110940155452025, 0.03492637255179509]"
59,"[0.039101203043138355, 0.04303693223053051, 0.034440946226850566, 0.03781172208345407, 0.03814060811146547]"
60,"[0.04094036249702804, 0.03750669502614734, 0.03891875052631899, 0.038692705181574194, 0.03642512415803656]"
61,"[0.035868950650735476, 0.037825948128043074, 0.04012054820456623, 0.03873685226563728, 0.0400677992725732]"
62,"[0.03511354986745385, 0.042923325568798076, 0.03758070961037885, 0.0402680481811134, 0.036437286693196236]"
63,"[0.033563983966987676, 0.040620519358757656, 0.039321620481332475, 0.042534700705886164, 0.036338666622251936]"
64,"[0.041523491764714704, 0.03602095652438875, 0.03898705756525522, 0.03796582261268633, 0.0378872844295709]"
65,"[0.038553529353018146, 0.03759619839831796, 0.04115970410421055, 0.03862125322204779, 0.036422777667544426]"
66,"[0.03965239501135842, 0.03738748672152281, 0.03626892992474695, 0.038474734012475476, 0.040971317542222274]"
67,"[0.04127744441500103, 0.037662680340654564, 0.03730549864175514, 0.034392032265175954, 0.0418046416377017]"
68,"[0.03884092845008258, 0.038789798107828344, 0.036531402914954936, 0.03506661943702172, 0.04336310410654898]"
69,"[0.03911924488969676, 0.03735368816463691, 0.03900988280501427, 0.042133942547840975, 0.03480364373040734]"
70,"[0.039234107291009845, 0.03885536127554923, 0.039096737729401476, 0.039405999158317995, 0.03591546490731978]"
71,"[0.04108545592610935, 0.038463180028324384, 0.0395060448773733, 0.03528128498036465, 0.038092988656902915]"
72,"[0.037880080709746466, 0.036604281800555416, 0.038819063573887536, 0.03980661141208519, 0.03938122675904021]"
73,"[0.03780995512583696, 0.03914826397180371, 0.03373277324392443, 0.04179453100432817, 0.04001038670966717]"
74,"[0.039013777825748996, 0.03890188614504719, 0.03609465960277003, 0.040280548163917906, 0.03818516870072752]"
75,"[0.0397054463215909, 0.03626984975943348, 0.038746704633826456, 0.03848060885085003, 0.03929696830860685]"
76,"[0.03647963925397224, 0.03856872610850137, 0.04119649073199039, 0.03785472843142812, 0.03808608376967071]"
77,"[0.0381584220528024, 0.03778068796561207, 0.038070187641824904, 0.03720152697124357, 0.0413241728061533]"
78,"[0.036101656312790276, 0.04179653931702365, 0.03920401024507314, 0.034325149111821385, 0.04105077874106122]"
79,"[0.035335290606854364, 0.040553866674644, 0.041861348144496824, 0.038300811316829164, 0.03622290833232111]"
80,"[0.03846288941361131, 0.03780791066388822, 0.03850357944728611, 0.03888445356589065, 0.038782385344264036]"
81,"[0.03789691459467759, 0.039779318569582944, 0.03748364888805367, 0.040785049521200434, 0.03660823126817059]"
82,"[0.03806069414959634, 0.037654391714491586, 0.040205433048343786, 0.0401734845012357, 0.03650091729592664]"
83,"[0.03655443068150355, 0.04254861043234137, 0.03774052735410549, 0.03862265854390334, 0.037221084433109675]"
84,"[0.0401894985553376, 0.03577150412487051, 0.034587719085626634, 0.03989914370637038, 0.041811472704244235]"
85,"[0.03721091844516089, 0.04204945540492566, 0.03845278704552302, 0.034594283048567154, 0.04019720893240486]"
86,"[0.03773564799256113, 0.0390115544318389, 0.0377648392574399, 0.04315969812327558, 0.03479801757809187]"
87,"[0.037534540416135576, 0.03814765033878409, 0.04110538554077703, 0.03735526134061595, 0.038290411839905]"
88,"[0.041231824564286756, 0.03472515308976665, 0.04106699677546466, 0.03936512504359391, 0.03554337172903843]"
89,"[0.03988401434858457, 0.0354135356603702, 0.036808887809505975, 0.038673404163651504, 0.04162722260839846]"
90,"[0.04357854887731216, 0.04041072618909092, 0.03631574994929199, 0.03830442459904848, 0.033872008645555396]"
91,"[0.04093926661502745, 0.03898465352787406, 0.03631926227553739, 0.0367502202694967, 0.03939851364409297]"
92,"[0.036080878719123244, 0.03582664225560939, 0.04020393168068337, 0.03954495415665149, 0.04067768759157464]"
93,"[0.040088548200018836, 0.03794133504200814, 0.036887284570705337, 0.0386243746086421, 0.039103736891825]"
94,"[0.03793757873777914, 0.03567824564710964, 0.0397227467547806, 0.039590702778997455, 0.0396190079195744]"
95,"[0.039561403504663195, 0.041242392380923976, 0.03678570760710853, 0.03837924824834771, 0.036545738066461]"
96,"[0.03937296279017777, 0.03567648210619401, 0.038917900145420625, 0.03975219439266908, 0.03909759627701492]"
97,"[0.037104356650642156, 0.04214101287225547, 0.034023038940107386, 0.03935529639226987, 0.039831082744348656]"
98,"[0.03900654657389491, 0.038991079164403364, 0.03734563754851372, 0.0407437924747458, 0.03650213189994622]"
99,"[0.03500396358730895, 0.03986368386167505, 0.0419729832685557, 0.03535483819294771, 0.04038697613500197]"
100,"[0.036793527414688776, 0.039276562891014666, 0.04158199185134959, 0.03653188436103083, 0.03828118614588982]"
101,"[0.03738534224091872, 0.039812592758932674, 0.03372884034892054, 0.04153950219208047, 0.03994842845878399]"
102,"[0.035804419742979876, 0.040015248788469626, 0.03624710971954981, 0.040389462099423956, 0.03991423177664166]"
103,"[0.03726656378167548, 0.038294867405479494, 0.03934609929650179, 0.03921746461484188, 0.03838018150698086]"
104,"[0.040242877338403704, 0.03774641636851628, 0.03772179143085719, 0.036395944757581566, 0.040464376806761404]"
105,"[0.040814134753210385, 0.03730394802691506, 0.03977250006457833, 0.03253359495612107, 0.04185941831794193]"
106,"[0.03766480672808392, 0.036190509145056615, 0.03551814241245943, 0.03963061612363561, 0.04330712006898885]"
107,"[0.03962808970519416, 0.03728111014030833, 0.03715139169218584, 0.0367649357355575, 0.04185369680022266]"
108,"[0.03770006992909258, 0.040281552874064874, 0.03752462883014962, 0.0401541173148503, 0.0368145889716992]"
109,"[0.03922282573092073, 0.03907360732647025, 0.03722351739457941, 0.040808915972323945, 0.036053084796834334]"
110,"[0.0375547132867583, 0.039152357222353995, 0.037471809905585296, 0.03869399210141666, 0.03949260829715984]"
111,"[0.03839613983080192, 0.03973281549186747, 0.03785515758676994, 0.03843253574792094, 0.03797562375259156]"
112,"[0.03894689192771228, 0.03727272197974718, 0.03754417480768213, 0.041166119659907685, 0.03768350588060221]"
113,"[0.039628215559911695, 0.03769766338672753, 0.042642078808344364, 0.038198364509893334, 0.034395936405611116]"
114,"[0.0376153015765025, 0.04106838606801755, 0.03723896043061958, 0.03518975753975384, 0.04146792689601031]"
115,"[0.03774590580712922, 0.03744620329863402, 0.03841082468762902, 0.03777966158382051, 0.041206944892901776]"
116,"[0.03739994537488922, 0.04077081009289196, 0.03825083914277205, 0.03822937649082814, 0.03780409140346297]"
117,"[0.04131105136089708, 0.03821081834166651, 0.038268805857816224, 0.03783605878308338, 0.03698387272801551]"
118,"[0.040035245428674204, 0.03906510387606177, 0.03745824535854425, 0.040604164629206685, 0.0352023717176162]"
119,"[0.0369690197151602, 0.03820516492813386, 0.03795114871716332, 0.04224199443948884, 0.037085531361914836]"
120,"[0.03834082783910553, 0.039916063031418036, 0.0405672055606211, 0.037469198043989405, 0.03625832893117076]"
121,"[0.03902092912404054, 0.03513789876489515, 0.04213813454771398, 0.036760907339668636, 0.039436202695487754]"
122,"[0.038867410749027664, 0.03616563641496928, 0.03643998271612037, 0.03826598272045345, 0.04272170696195465]"
123,"[0.03405716901814293, 0.043653218069381716, 0.03699908823963172, 0.03949940949616504, 0.038297252549194916]"
124,"[0.04009948097261329, 0.040372227778956216, 0.040461696215689624, 0.03699194491183211, 0.034237001029296166]"
125,"[0.040142771497510776, 0.0381132526993212, 0.03565128769840642, 0.03875251534546742, 0.03993909623288738]"
126,"[0.037685051784484, 0.03852261859634776, 0.035395747447711234, 0.03997252349282354, 0.040926279520454245]"
127,"[0.03684193370188649, 0.03691314896195608, 0.04072919384143714, 0.03799415548382967, 0.04025782521354304]"
128,"[0.038111600183769356, 0.040494804455137756, 0.041934369463267784, 0.03744705440624707, 0.034604277726469124]"
129,"[0.03998485272776764, 0.03915457198345529, 0.038038291169313676, 0.03904693716142127, 0.03637359137796081]"
130,"[0.03666197566697982, 0.03868653379740361, 0.0383037924037245, 0.04184834787544489, 0.03703793189967708]"
131,"[0.04109813951701824, 0.03991943926215924, 0.03513043509587821, 0.03704367614317583, 0.039218281202128]"
132,"[0.037957083046437634, 0.03786347759557285, 0.039027165873411374, 0.03753676252339744, 0.040277566645816276]"
133,"[0.04344461376494024, 0.037813836060288986, 0.037103444443635336, 0.0364682832666402, 0.03769237060194497]"
134,"[0.03624367219386626, 0.039137362033707546, 0.03691582307140018, 0.038402916206734194, 0.04183850295882152]"
135,"[0.040585176369145715, 0.0387316714308914, 0.03914049183060908, 0.033398383770641416, 0.04054040988423058]"
136,"[0.038327126271467726, 0.04010672526062753, 0.03713559355530782, 0.03752588212594077, 0.03949104199797793]"
137,"[0.034923176752960305, 0.037610392194452835, 0.04150442083670869, 0.035647993032291936, 0.04247106872991746]"
138,"[0.03805938482029658, 0.038389346958352055, 0.0389795766479718, 0.03946417835044069, 0.03749307384877021]"
139,"[0.044064114371983654, 0.03546364099417043, 0.03706101324940858, 0.041528339069001996, 0.034127111801337984]"
140,"[0.042492510871699474, 0.03524686715705283, 0.03669820292795167, 0.03655177652776098, 0.041638288149449476]"
141,"[0.03929528956326922, 0.040488955139207805, 0.03962018369229059, 0.039390713964985835, 0.0336021341810816]"
142,"[0.03911594081047387, 0.04052209327364442, 0.036343622142888, 0.03776669348753725, 0.03871402533384838]"
143,"[0.03752913770064581, 0.03842819167047229, 0.041739948861343246, 0.03856178387246789, 0.036224479664586084]"
144,"[0.039723309788437744, 0.03879396585476347, 0.03602025738889003, 0.0369831344171333, 0.04078773373365463]"
145,"[0.03713546635017273, 0.039937459270525166, 0.04137604575169651, 0.03351852475999895, 0.04042929550819652]"
146,"[0.03868724893410869, 0.03762943183627432, 0.04023671123385697, 0.039815068985937785, 0.03637783735354294]"
147,"[0.034830798653894934, 0.037054067812884894, 0.04003261237598499, 0.040857802667266574, 0.03982638325452248]"
148,"[0.03692298872513777, 0.04238050199630239, 0.040948470852885666, 0.0374037685226819, 0.03479745862265071]"
149,"[0.038688135266119694, 0.038956861312013924, 0.03607563883603948, 0.040804013415440266, 0.037917712246808954]"
150,"[0.03797047287462885, 0.039849609507418116, 0.041319078378950436, 0.040159882247928436, 0.03314615559363521]"
151,"[0.03780833623914848, 0.03508612409604395, 0.03609175173755963, 0.04175015646885105, 0.041490184892033044]"
152,"[0.03849301363490676, 0.036123025035756484, 0.03806479965968623, 0.03963565964701721, 0.04012884507499759]"
153,"[0.03869242978580667, 0.03941306414524115, 0.03925237422053718, 0.039906117779618167, 0.03508069525178259]"
154,"[0.04092143794401992, 0.038745300831691476, 0.0330706943004927, 0.041833224714935335, 0.03780805973490464]"
155,"[0.0394633015276632, 0.03599084528279717, 0.039977354777914975, 0.03555150452671474, 0.041464651379614303]"
156,"[0.03965006541176874, 0.042090907497747354, 0.036469086521648375, 0.03789314177980896, 0.036167303265811745]"
157,"[0.03848083113690959, 0.03898462609473252, 0.038778548730029616, 0.04051963992382879, 0.035652350876687944]"
158,"[0.03642384171854829, 0.03954753945237033, 0.040758012103331076, 0.03848249799809089, 0.037275133035078234]"
159,"[0.03590448092221055, 0.04439223793287961, 0.03827837141723489, 0.03469475673628475, 0.03899244742163688]"
160,"[0.037459807026414604, 0.03890203814941773, 0.03984099048405754, 0.03326135218825155, 0.0428347635597196]"
161,"[0.04089803003506054, 0.03824535827442621, 0.0371222747711869, 0.03798661150305893, 0.038339887512494175]"
162,"[0.0402423734362769, 0.03729467389469332, 0.03670879393726756, 0.034511157923818314, 0.04353753490430601]"
163,"[0.03769983623279105, 0.03701028280741203, 0.039425136206043376, 0.041098579182485606, 0.037358089755765045]"
