,r2
0,"[0.036409601266732095, 0.04185438028377564, 0.03884486302801915, 0.036699950283920924, 0.038533540800022914]"
1,"[0.04058184334101311, 0.038149651557063624, 0.040337766429994426, 0.03587425553308832, 0.037447174356735724]"
2,"[0.03400697546918552, 0.03845201616281557, 0.04073266565013922, 0.039744170414216295, 0.03943165961630335]"
3,"[0.03946270051881973, 0.03977721508334853, 0.038368299256978045, 0.03803441099024418, 0.03703682711224132]"
4,"[0.03826580744940733, 0.0387298439489161, 0.036490546175107275, 0.041238826171790866, 0.03773122484710012]"
5,"[0.0420835532215994, 0.03408971922581894, 0.039235615674512614, 0.04132675015848486, 0.03524490973448724]"
6,"[0.03605056374888638, 0.03877258699866182, 0.04112803003420007, 0.03815842999213759, 0.03823574773484306]"
7,"[0.034787766504738804, 0.03995679664291063, 0.03792243189066946, 0.038166642785782634, 0.04164368343693425]"
8,"[0.04308952939065214, 0.03910053974722982, 0.03883486831596206, 0.036632236814282626, 0.0347653109937659]"
9,"[0.038615984474232645, 0.04144816532874629, 0.03610178080012194, 0.035358870658156016, 0.040505078565373887]"
10,"[0.03461773796428591, 0.04176200337797331, 0.0404821332134182, 0.04109480821767075, 0.034485151251047785]"
11,"[0.038379003276161394, 0.04167318782827545, 0.038826163756688126, 0.03846695548890566, 0.03525121801874298]"
12,"[0.040332423012069185, 0.04093530467286255, 0.03614357544990121, 0.039723430149016914, 0.035163861959646936]"
13,"[0.03861068115682775, 0.04223842572613945, 0.036902492493817385, 0.03703322459654412, 0.03756631796665544]"
14,"[0.0408358142963301, 0.03196584063269425, 0.041136363394546294, 0.03879854388005999, 0.039423408083792855]"
15,"[0.03553607738744313, 0.040025707947455524, 0.03987835190061528, 0.037546312501994805, 0.039283207239389606]"
16,"[0.04143095138273689, 0.03307725916221704, 0.04013145895627723, 0.04026642415527948, 0.03721039135052839]"
17,"[0.03938713369035052, 0.0369651041023471, 0.038921124287086495, 0.03762958313022724, 0.03956015188401929]"
18,"[0.038123530902645086, 0.03876966196033094, 0.04136422595280542, 0.03727343549277906, 0.037073473758509334]"
19,"[0.04278713321109118, 0.035609793665999256, 0.03384275792689906, 0.03981299000132754, 0.04006186457513006]"
20,"[0.04149707220046672, 0.03544718935847058, 0.03814679692039691, 0.03682695082936738, 0.04046382418727956]"
21,"[0.04078430012884926, 0.03977864723549851, 0.03543632014775522, 0.037862315501779986, 0.038792058412101316]"
22,"[0.04028408925108573, 0.03730182349606459, 0.03501049379952126, 0.03696693994822531, 0.042673872986385364]"
23,"[0.03983772783891948, 0.03569853219534791, 0.04099721250647259, 0.04045998015213648, 0.03553493735182267]"
24,"[0.04192132215606115, 0.038421137753457346, 0.03878758223772094, 0.03714103001266489, 0.036207323672047376]"
25,"[0.03600800681317051, 0.03972653158817163, 0.03768689066679898, 0.041544422854430274, 0.03751042154954476]"
26,"[0.035146806832019206, 0.0410208089316888, 0.03817750128375963, 0.03913464420645252, 0.03886934235216777]"
27,"[0.03656801432942247, 0.0393386493982113, 0.04156903168205239, 0.03866833832751815, 0.036378505977544995]"
28,"[0.038667761379490795, 0.0354789539709367, 0.03778010193742365, 0.039333561456008526, 0.04107532016142168]"
29,"[0.038900818011554095, 0.03907004907787526, 0.038236199020470374, 0.039352044403283215, 0.03700674769713297]"
30,"[0.03756550388624169, 0.04388103953714584, 0.03720273087514436, 0.038986915930133814, 0.034163418834110226]"
31,"[0.0343912797186805, 0.04234824139241533, 0.03862273714337183, 0.03893474633841687, 0.03788704539705645]"
32,"[0.03706920548652781, 0.03874870729743907, 0.04103314734423158, 0.03751815086564836, 0.03799891235711783]"
33,"[0.03778707200711484, 0.04179347395710753, 0.038140208456090785, 0.03744435149712111, 0.037091306046017514]"
34,"[0.03867818250356081, 0.03905476703245969, 0.041911115155910394, 0.03504238293192219, 0.037944227220007454]"
35,"[0.03705214938099022, 0.04118776008284353, 0.03935653310742704, 0.03905675304144851, 0.03595723782095084]"
36,"[0.04173930775458601, 0.0399790736998904, 0.0367855154780522, 0.03644816137818119, 0.037349922738221686]"
37,"[0.03430450664658635, 0.04157853169529169, 0.03928854860062492, 0.04096184823549809, 0.036324248801146486]"
38,"[0.03794042070673831, 0.037197851531986625, 0.037904115423574636, 0.04038229977703034, 0.03877183288778652]"
39,"[0.035141518850195896, 0.04108278162598278, 0.039525590556533596, 0.03896083737771494, 0.03782885172543771]"
40,"[0.03939295590586189, 0.03850918030532091, 0.03893267560939062, 0.038731602943801735, 0.03709750579821203]"
41,"[0.03955154050496534, 0.03571994335729589, 0.039670332395642216, 0.03825148309746518, 0.03919898559092194]"
42,"[0.040833057185649335, 0.03765239323205882, 0.04001183165784494, 0.03454334051821373, 0.03943511637873709]"
43,"[0.0372984095968949, 0.03508562040004071, 0.039983136374750705, 0.037018493617479775, 0.04271993973302013]"
44,"[0.039115308164228924, 0.0398713262128344, 0.039202917250299674, 0.03592431500920645, 0.038322554906518036]"
45,"[0.040962979562687796, 0.03856415249121492, 0.036599486221994826, 0.038017254259707145, 0.038116424281561145]"
46,"[0.04045941179533141, 0.035253850277853216, 0.0396583935842586, 0.03758447806227594, 0.03913423661155657]"
47,"[0.039222134918301066, 0.03388395781044862, 0.03848451702810629, 0.043961535503000304, 0.03669223755642925]"
48,"[0.038351306851890477, 0.03975885967926429, 0.0352831698778272, 0.04264171138961437, 0.03655443449195073]"
49,"[0.04128766019467389, 0.037325136597980535, 0.03701528669286558, 0.037786006163499586, 0.0390121433589844]"
50,"[0.04008386440066192, 0.037711494964086434, 0.03675324041641115, 0.03751322758627573, 0.040225438143412506]"
51,"[0.037832481159371656, 0.03922417729416927, 0.037542731269376683, 0.04038488949486374, 0.037484084090819714]"
52,"[0.036317003476441956, 0.03794783009351177, 0.04067069599966189, 0.04221154188383969, 0.03517513979052955]"
53,"[0.03777068178164655, 0.03645546036425773, 0.03758823099340891, 0.040893441165550826, 0.039637627424193744]"
54,"[0.03828255118103696, 0.04121168603556136, 0.037611236448993224, 0.03738019249800795, 0.03787394134332378]"
55,"[0.03798216800076826, 0.03700195566020814, 0.039898921891496464, 0.039511242327221585, 0.037880429545429806]"
56,"[0.03803198397240737, 0.03798401022158371, 0.03923409978877801, 0.039267063051502404, 0.03784913094808251]"
57,"[0.03354435253359256, 0.04111745620606455, 0.04137994088667363, 0.0377766895661944, 0.03870820325634261]"
58,"[0.042380574676151306, 0.038145738235919935, 0.0397389768794878, 0.03637971454200428, 0.035584331352316645]"
59,"[0.03899171384567646, 0.03260345483897653, 0.045709570756147455, 0.03980719709162761, 0.03519960414809631]"
60,"[0.039016937269805374, 0.038314527311648305, 0.03913233394956195, 0.03648448604957166, 0.03958656817779416]"
61,"[0.03807271985944072, 0.03931419342675435, 0.03767968026993329, 0.039470879672426795, 0.03794228534411803]"
62,"[0.03775939362096925, 0.041302229336731, 0.0362667562810034, 0.038785213748060876, 0.03826695976174965]"
63,"[0.0398333720820766, 0.04008211151036534, 0.03590511950246167, 0.038347131228922415, 0.038250496501850084]"
64,"[0.03852990549998925, 0.03457527056609355, 0.03848698283778884, 0.04109437241948677, 0.039660400718143696]"
65,"[0.03677253339032083, 0.03630595840557416, 0.0406481297536585, 0.041980165715308826, 0.03641003938694021]"
66,"[0.03632492783530206, 0.03767585947648611, 0.04055156830170714, 0.04372648585347216, 0.03356388797639076]"
67,"[0.03452748295570862, 0.040771007714523466, 0.03812608195333034, 0.04188798324096854, 0.03727613646104322]"
68,"[0.03639117461032215, 0.03952067313189378, 0.04135003135074122, 0.03586402748217998, 0.03893060525939651]"
69,"[0.03829653927233512, 0.03929024238590384, 0.03941347788301619, 0.03899169959648863, 0.036598373424719055]"
70,"[0.03716749131183972, 0.037205077720628976, 0.03992859689250261, 0.03895375857703476, 0.039463195473200874]"
71,"[0.04241552131101556, 0.04054458313374154, 0.035260959640501466, 0.03865270716871738, 0.03534595565909304]"
72,"[0.042484443156261764, 0.03722698519982215, 0.036059495896030413, 0.0396863640441375, 0.03675804358102941]"
73,"[0.04006008049820409, 0.039873802927331226, 0.03646668288741961, 0.03684972099824679, 0.039032367422165426]"
74,"[0.0383986919615823, 0.035616401955395394, 0.03522255115059336, 0.04063036732727987, 0.04241559561393604]"
75,"[0.03638082883615379, 0.03659496220918668, 0.03759650033269135, 0.04079056995595709, 0.04100455172475792]"
76,"[0.04134999358057412, 0.03827444916826084, 0.03875479492433398, 0.03371946409642157, 0.04010140378144467]"
77,"[0.042534969847020876, 0.03565477149670404, 0.03541936917687172, 0.03377163257862614, 0.04444854380523888]"
78,"[0.039209689602156095, 0.0436151511318984, 0.03647354550925386, 0.03774112233792504, 0.03531444013559326]"
79,"[0.03669822548834578, 0.03808120687343186, 0.03732581246859079, 0.04002776132630914, 0.04004748426489313]"
80,"[0.038599392924102305, 0.04182068870669142, 0.03862489114526335, 0.03800509201265323, 0.035542587457646824]"
81,"[0.039402933964855835, 0.03854077165616532, 0.03597839774880307, 0.040873892229148834, 0.03762089123284684]"
82,"[0.03966232487416288, 0.039974073853612735, 0.03655987132854421, 0.03850646514476597, 0.03759278201707239]"
83,"[0.041557394245912205, 0.03881226242175029, 0.03596214184965463, 0.038345060228340055, 0.03774640205139135]"
84,"[0.03836276117057891, 0.03444871264185223, 0.039414053706430474, 0.036879003688346734, 0.04319548504876369]"
85,"[0.03991255391887394, 0.03801385960718684, 0.03986406129297149, 0.03364055856110215, 0.04091152649258112]"
86,"[0.03333692143552458, 0.039273951152095865, 0.03811998177366993, 0.03971114847010315, 0.04167912118128558]"
87,"[0.04017551040889333, 0.036721886179104324, 0.03787911514756248, 0.03432403520120586, 0.04318159992890491]"
88,"[0.03590396622296432, 0.041540806457945334, 0.03636670290893629, 0.038580211201482806, 0.040032990713694594]"
89,"[0.0372233984265814, 0.03832374633987179, 0.0405364160118209, 0.03719257460515535, 0.039066439530422326]"
90,"[0.03753080363536454, 0.04053473547068842, 0.03763227429042926, 0.04075970260641071, 0.03601630964621505]"
91,"[0.039224587813737166, 0.03678096754709037, 0.03976127822596143, 0.03633654266847308, 0.04045759457687281]"
92,"[0.036735109040172964, 0.036982586844186316, 0.040607576945214774, 0.03771880936004168, 0.04034178272935662]"
93,"[0.04034699787313245, 0.04084666484088806, 0.04008259835716155, 0.03259822605681306, 0.03825206290395866]"
94,"[0.041852750200889854, 0.0339729701261845, 0.04112201600471943, 0.03867336495232698, 0.03678058508620141]"
95,"[0.037568734740193066, 0.04160766248158265, 0.03801278456042634, 0.03712930847662743, 0.037983220486436875]"
96,"[0.03865040880494741, 0.04039896907512108, 0.03538985359658109, 0.038796518879689046, 0.03919467879667515]"
97,"[0.03686614278851996, 0.03840807837900195, 0.033448379310801246, 0.04007944312045286, 0.043221454063236964]"
98,"[0.03889505899162338, 0.041672890029492926, 0.033283657754271556, 0.03926581120416428, 0.03940299215861187]"
99,"[0.041694837144983676, 0.03519857560889339, 0.03694217090042695, 0.03548374598687376, 0.043147645399092216]"
100,"[0.0416134307339191, 0.03945516232630797, 0.034454122519324115, 0.03918682663036188, 0.03727754583981513]"
101,"[0.03757974278996978, 0.04163074210690254, 0.03678942288777842, 0.03873483926789223, 0.03767843825068118]"
102,"[0.04035185078711778, 0.042573059792128, 0.03502087960126299, 0.03914425666349686, 0.03513148206402328]"
103,"[0.04365807740358829, 0.037561515588717787, 0.034573169878822085, 0.03967576785457838, 0.03678292767243241]"
104,"[0.03925657952512618, 0.03781116892791403, 0.0386948847809474, 0.039375589490221685, 0.03722095967021233]"
105,"[0.03635419430083753, 0.04126541585988697, 0.0391721761664382, 0.03603050346943948, 0.039551181345096054]"
106,"[0.03875317057378491, 0.04050352533427293, 0.03598210691101422, 0.038303167266599214, 0.03886418615677689]"
107,"[0.037785044686692415, 0.0404142036437205, 0.03470931187617121, 0.04004747885816773, 0.03935210003925427]"
108,"[0.037972027963755095, 0.04045873873964967, 0.03819347331907863, 0.03732562136776507, 0.03854507354577219]"
109,"[0.03755447598476769, 0.03528894521853465, 0.03678922073869795, 0.04051529664146136, 0.041991624215675705]"
110,"[0.036743134072789396, 0.03916410625415434, 0.03815555737990661, 0.038203498363531097, 0.04025821572879962]"
111,"[0.035399014432404785, 0.038990720379498245, 0.03729622131731136, 0.03876287436884174, 0.041817072595727756]"
112,"[0.03636592587430687, 0.03614919269212846, 0.03954834533337115, 0.04100150898156907, 0.039357154850664156]"
113,"[0.04034979367078839, 0.03954222644155414, 0.03866981881446574, 0.03538470694900642, 0.03851082073399503]"
114,"[0.03932803893283954, 0.040040911142485314, 0.03552925661226791, 0.039732394830696016, 0.037556902694565686]"
115,"[0.035555048318093085, 0.037953620550005396, 0.039518640065520416, 0.038805240153009346, 0.04035377480675639]"
116,"[0.037986325198515525, 0.03706515389578713, 0.039279577141459576, 0.040655735495556566, 0.0371155749372547]"
117,"[0.03709528158773845, 0.040419231713076376, 0.038630152855725686, 0.037837504002039224, 0.03840108964639022]"
118,"[0.03854004118705123, 0.04011953171635352, 0.03605892420137424, 0.03846141820997184, 0.039026275061297855]"
119,"[0.03888623805096614, 0.039785077736590235, 0.03902603521703907, 0.0366752145227518, 0.038139756941933944]"
120,"[0.03703627418589084, 0.04131656783104676, 0.035154915702791945, 0.036596381492546404, 0.04215688620999469]"
121,"[0.03992578888435927, 0.041086071471611585, 0.03990014234906791, 0.03769588144748015, 0.03375254609897882]"
122,"[0.03619223171861141, 0.03541731673638593, 0.04254636624968022, 0.03871256518127819, 0.03970601937358664]"
123,"[0.03962610581666315, 0.04336962651306897, 0.03452462621434982, 0.037549356712884174, 0.03718195095913479]"
124,"[0.040463044641279255, 0.041114320223533896, 0.03240336953545131, 0.041795123363981834, 0.03641975878510262]"
125,"[0.036980719491932934, 0.04102095122914784, 0.03690920930581265, 0.037875129214279046, 0.03957740452932568]"
126,"[0.03606395941526952, 0.039460050688063464, 0.04087510525377991, 0.03971953907664394, 0.03645015358968995]"
127,"[0.04127295595262648, 0.036215876508562395, 0.03993215766224156, 0.038226524504042514, 0.03688575716191611]"
128,"[0.0395299990816349, 0.037392718722509266, 0.036704418940495476, 0.03921754909322539, 0.03965796990276882]"
129,"[0.0364663519232542, 0.04132183177193971, 0.03797393734530652, 0.03525522060281672, 0.04140628388356471]"
130,"[0.044880408399238125, 0.03346890568877947, 0.03809048466595888, 0.03423164937137735, 0.04124795941221071]"
131,"[0.03644297104007266, 0.040367650900133834, 0.04011895019077916, 0.03902561547427208, 0.03612841479289053]"
132,"[0.041580973258503184, 0.038485475145987214, 0.03894365308287984, 0.036653871640415225, 0.03663976897684029]"
133,"[0.03751322395342793, 0.03716441498647083, 0.03923423399030246, 0.04150721642572541, 0.03704876399046242]"
134,"[0.04205652010553973, 0.035714126323226236, 0.036389165720249084, 0.03694698473271496, 0.04119678281602668]"
135,"[0.037878801471583845, 0.036454107915382394, 0.036454115272815724, 0.04053151194913418, 0.041267787716562254]"
136,"[0.03445204856651263, 0.041385712711523026, 0.03874212179350223, 0.0403891021734446, 0.037433666598437054]"
137,"[0.03322979174213203, 0.04081960006409313, 0.03656085254554564, 0.03967887083877086, 0.04204180688490222]"
