,r2
0,"[0.030678975273683906, 0.030355097257608987, 0.034823369885727096, 0.03335068272065034, 0.032539602953393754]"
1,"[0.031936389765567896, 0.029879665130374766, 0.033521120254984105, 0.030885850256399006, 0.03548845917900756]"
2,"[0.032522980373634436, 0.03481412830879915, 0.03444081561922163, 0.028266691731318128, 0.0315684252867825]"
3,"[0.031063848638307023, 0.0310671140706964, 0.03245105950638416, 0.03281157126293133, 0.034355986897023016]"
4,"[0.030917259522149854, 0.03135542158020077, 0.034007984550593395, 0.032193699670398424, 0.03331947238581123]"
5,"[0.033651304078625155, 0.032026631335536515, 0.03186266505101609, 0.03015274915329047, 0.033969970454266196]"
6,"[0.032068271891352085, 0.03379177432005698, 0.03044658284285362, 0.0331874132370521, 0.03203774708224971]"
7,"[0.030821707820913535, 0.03377089412819534, 0.033569156289897095, 0.03397889238945673, 0.029520097279192248]"
8,"[0.030744661437737353, 0.03048355555113136, 0.03248075733307365, 0.03435173862755514, 0.033677158199802104]"
9,"[0.0326172469043321, 0.03101336686214562, 0.03400949731958813, 0.030091549018013364, 0.03387500842900437]"
10,"[0.029656370848190616, 0.03223284929371417, 0.03177159914224381, 0.03304311388339176, 0.034862241998710686]"
11,"[0.030518894799203777, 0.030316223028387768, 0.03025153584174245, 0.035598206289209844, 0.03487295875981067]"
12,"[0.03299241751220694, 0.033188227653284996, 0.033906247955520885, 0.032400222984909854, 0.029190632923691395]"
13,"[0.030623976350049098, 0.03396135153146107, 0.030802688111223775, 0.03453901696794437, 0.03175308544924782]"
14,"[0.03262674895845408, 0.03277911593812177, 0.031824786655575754, 0.033107057614117474, 0.031330944686871476]"
15,"[0.034505828085237056, 0.03366575233299651, 0.03068161434217387, 0.03137407452204788, 0.031503543871922335]"
16,"[0.029586470080957494, 0.032197584439593196, 0.03489771192904001, 0.03320716162357762, 0.03165545610108411]"
17,"[0.03292859733650588, 0.03229294082320833, 0.03216334978611324, 0.03134489122567374, 0.03296784526003371]"
18,"[0.031504184381388134, 0.034116000992558404, 0.03315936531167063, 0.031490012990205374, 0.03150569315849161]"
19,"[0.030952185240565644, 0.02969248263867219, 0.03440602318340069, 0.033259154197230356, 0.03350506911773787]"
20,"[0.030175316452139445, 0.03383734541102823, 0.03131330328517068, 0.033191157881399924, 0.03325447475305421]"
21,"[0.036690860997661945, 0.02953615061706183, 0.029154366518647334, 0.03067984894544773, 0.035580482070204034]"
22,"[0.03507124140414286, 0.03162309097912008, 0.03153345282560227, 0.029998702468814642, 0.03333081615087585]"
23,"[0.027851803088325577, 0.03421840185287173, 0.030630806834187063, 0.03246882460692291, 0.03644881639991704]"
24,"[0.030716059169595855, 0.034358648523658, 0.032988591017077185, 0.03145650909441333, 0.03222623738600372]"
25,"[0.03138691167907326, 0.028687731029017338, 0.0340063252686561, 0.035775016379001046, 0.03186734587173412]"
26,"[0.033930326118127185, 0.03259187680903408, 0.030056358366682745, 0.03137392306700837, 0.03355881547751949]"
27,"[0.03183166834703732, 0.029321405660821642, 0.033217783007214896, 0.03342013550782175, 0.03399102551048816]"
28,"[0.03465241417519571, 0.03274899484387883, 0.030108496891133152, 0.03185163590155926, 0.032326683680277024]"
29,"[0.034793694418629006, 0.032091092106820485, 0.029934982441511493, 0.03154543984011737, 0.033401046712338234]"
30,"[0.031269756896661116, 0.03188088868864192, 0.031117457683673022, 0.03335588038633586, 0.03415324712239132]"
31,"[0.028370445506662345, 0.03186883689279685, 0.03760586417666956, 0.03241037410660985, 0.03141660668182078]"
32,"[0.0344755095273942, 0.03272313854367259, 0.03166607295980295, 0.02987854145844182, 0.0328913243151584]"
33,"[0.029715511848151688, 0.030707254749847257, 0.03202642985268911, 0.03611529843485983, 0.032967152165811475]"
34,"[0.03650592924657525, 0.031416878460344244, 0.03188037328445914, 0.03003501055708957, 0.03186111631567756]"
35,"[0.03059449312589857, 0.03204722593923204, 0.03235324834940689, 0.03225257623822064, 0.03447265758812468]"
36,"[0.032306198976218115, 0.03001585971057208, 0.034985749647570064, 0.03238803361992659, 0.032141484284780364]"
37,"[0.031188243805492344, 0.03350525535126714, 0.03323398408326128, 0.03319237847308021, 0.030673199428212894]"
38,"[0.02938690868305638, 0.03338712088487261, 0.029427659956296592, 0.03264488304757196, 0.036701593021185475]"
39,"[0.03222818278257478, 0.03247165214615033, 0.03486593129393756, 0.03203765626036359, 0.030175280041266572]"
40,"[0.037194478572154854, 0.029926886398032426, 0.03091795041977996, 0.03224382544402182, 0.031293031657484205]"
41,"[0.03164702032319722, 0.03263386913447197, 0.03393427570712704, 0.033253198955783936, 0.03018831340496808]"
42,"[0.03225725372601229, 0.029089692234533726, 0.03184460281428736, 0.03402333881018926, 0.03440987519524552]"
43,"[0.031718075806777435, 0.032777879440354485, 0.035292432852791045, 0.02918923160384934, 0.032743503922041284]"
44,"[0.02718988600689809, 0.03468678224200872, 0.03717807072946966, 0.03135231040251374, 0.03122600328083658]"
45,"[0.03168022334197562, 0.03369252606191031, 0.031880935597822235, 0.03107964334558, 0.03329097095241729]"
46,"[0.032466435057047605, 0.030928852519539696, 0.031067089869190045, 0.03309235802433508, 0.034138148158041615]"
47,"[0.03248204469321181, 0.031006248466408426, 0.032405361590943094, 0.031092776525695642, 0.034680982981924346]"
48,"[0.03095602037351397, 0.03485490871988717, 0.03462648478440866, 0.032072124629345944, 0.02919460714687261]"
49,"[0.034597471224157905, 0.03416634277037911, 0.0324807614159065, 0.030242423576728794, 0.030265630854964698]"
50,"[0.032800099538217276, 0.03569450086960779, 0.030378256412283422, 0.030350282631480985, 0.03249857969997716]"
51,"[0.030508379258261886, 0.03335950282222744, 0.03149109464507993, 0.03256645381551038, 0.0336746319399035]"
52,"[0.03535253426638241, 0.031116718135971055, 0.03177405513233322, 0.029360431797455844, 0.034006984529052375]"
53,"[0.032255966332006114, 0.03219668816170562, 0.031907622134565106, 0.03232350006518192, 0.0329998783862564]"
54,"[0.03268570032418938, 0.0325152018340249, 0.0304668227310656, 0.030566956898012254, 0.03549770729999502]"
55,"[0.030154136774641294, 0.03218613161822226, 0.03307925297357128, 0.02952141416618892, 0.03678064661121683]"
56,"[0.03064653067831491, 0.03284117311255852, 0.03244963603172846, 0.030752712407362437, 0.035007938438225805]"
57,"[0.03449891017554929, 0.03306957493889795, 0.034480801917257664, 0.03018180354005895, 0.029506740542267984]"
58,"[0.03601088235412586, 0.03402037433214289, 0.027290239391124405, 0.0348921232174676, 0.029219247905617696]"
59,"[0.034267738727456365, 0.0347189185895701, 0.029441051832813425, 0.03187373752271139, 0.03134048936130451]"
60,"[0.03357330432439187, 0.03000755003003175, 0.03154752199664823, 0.033931329069563865, 0.032654839433659544]"
61,"[0.029406751194807512, 0.031160638652572237, 0.03515305149272652, 0.03195907806742149, 0.03393791157356507]"
62,"[0.030190519144907113, 0.036186901723885945, 0.03052548554238188, 0.033988399830058746, 0.030725781657596207]"
63,"[0.027338316232940807, 0.035011101085507645, 0.03366661293475859, 0.03402314532027051, 0.03154982924120309]"
64,"[0.03328851777388275, 0.030041255021481028, 0.03485276110878288, 0.03149795704352565, 0.03207218059553618]"
65,"[0.03263993721725145, 0.03248092601422037, 0.03483640290572354, 0.03151542682060282, 0.030150074471212318]"
66,"[0.034316803186095424, 0.030542446542260238, 0.03132734554339278, 0.0315415882395822, 0.03408286065359745]"
67,"[0.03453990852242783, 0.03183696827627891, 0.032694918838634734, 0.027984128334227476, 0.03460397874177401]"
68,"[0.032531763680868186, 0.031145644198172784, 0.03233008669424453, 0.030769434330571666, 0.03500420886873501]"
69,"[0.03301789947264133, 0.03133221457984303, 0.03216813190954515, 0.03551705660477866, 0.029616045521036582]"
70,"[0.03459753536421539, 0.032502067956793446, 0.03228167851885444, 0.032648379237574465, 0.029658850929022207]"
71,"[0.03464831254252487, 0.0331367692537482, 0.03275907362915986, 0.028169925974106613, 0.03293622765231197]"
72,"[0.03228731853768796, 0.03169634380191555, 0.0332151751852372, 0.03289576334810518, 0.03165197517377982]"
73,"[0.03145398382714992, 0.03432184068005151, 0.026490031557330096, 0.035724606228390576, 0.033615694733800994]"
74,"[0.03221682883019361, 0.032760210477518314, 0.031223452566982557, 0.03446736053703825, 0.031029332597534376]"
75,"[0.03399592878892288, 0.030816394343413656, 0.03210598268406906, 0.0313504870174367, 0.03339176569661839]"
76,"[0.030564024534997514, 0.03313522268475477, 0.03515452027045762, 0.03047865652800219, 0.03225633250998583]"
77,"[0.03377481385782344, 0.030363238420457628, 0.03248101269019332, 0.03165941587642718, 0.033386683910074266]"
78,"[0.029887838582695836, 0.033598418664188445, 0.034046459252420336, 0.029362395558865995, 0.034881548914956206]"
79,"[0.029138438044820414, 0.0352928129822202, 0.03446312079079883, 0.032674837029251225, 0.029856833027251506]"
80,"[0.032045866297939485, 0.033056137132575825, 0.0313724427920552, 0.0329120013851234, 0.03218897513255847]"
81,"[0.03266476110377792, 0.033318731264674994, 0.029846170486195978, 0.03491037985496581, 0.03095226883459834]"
82,"[0.03171678464296146, 0.032132678345620724, 0.0332221385993573, 0.03360265674900109, 0.031094823650698045]"
83,"[0.03003611752228208, 0.0359956537014422, 0.03151623825247385, 0.032311992355141705, 0.03188819958035782]"
84,"[0.03450728826706939, 0.029250535250160414, 0.029785445941376665, 0.033756997036697434, 0.03421489858646087]"
85,"[0.030582979823932765, 0.03417466657085333, 0.033337715980560345, 0.028657108735104853, 0.03493243139218161]"
86,"[0.0305519354353343, 0.03288870767570884, 0.03155625251277627, 0.03734256186816853, 0.02929813276722737]"
87,"[0.030773704266199853, 0.032614388833844044, 0.03438898930503964, 0.03216998238002777, 0.03167882986890269]"
88,"[0.03310897548346303, 0.029723923011174436, 0.034381903030136995, 0.0336971760967979, 0.03067466963171317]"
89,"[0.03136294801181594, 0.031810844767825364, 0.031235937667248193, 0.03110051282979842, 0.03609632412690145]"
90,"[0.03571871924624781, 0.033748845709221764, 0.03168262893609519, 0.03243978576025919, 0.028035786297532006]"
