,r2
0,"[0.030437946628976587, 0.03465203586827881, 0.032704699656798786, 0.030419564520468345, 0.033354867151599854]"
1,"[0.0340320824674013, 0.03183516891405491, 0.03254286963605846, 0.029948285789828777, 0.033185686238682566]"
2,"[0.029587591063047647, 0.0320289625953456, 0.03370374029565948, 0.031178639812320386, 0.03510800131044378]"
3,"[0.033094695675448316, 0.034507296796974285, 0.03177189105975409, 0.03103410533858364, 0.031301627245366004]"
4,"[0.032134309553273455, 0.03292514202054353, 0.030658258601556132, 0.03503910190506865, 0.030824624632678876]"
5,"[0.033916246803243344, 0.029729690920586527, 0.03204604780802467, 0.03590250839719289, 0.029789801790245596]"
6,"[0.030136673410324444, 0.03262800902471075, 0.03483422769776412, 0.03069762707669943, 0.033309122701634]"
7,"[0.0284442802308269, 0.03545575635387965, 0.03116347544207987, 0.03141839690656045, 0.03513523019548537]"
8,"[0.03606522724279426, 0.03233608991432957, 0.032893712821677856, 0.030589003151659133, 0.029823156505812354]"
9,"[0.03221795082352763, 0.034798576091254585, 0.030046445113448672, 0.029161689798150148, 0.03504840248656527]"
10,"[0.030166364237646515, 0.034530324634286735, 0.033404667167402646, 0.034094914416788136, 0.02941313782955801]"
11,"[0.033286522329730284, 0.03555213810810154, 0.03192210713415111, 0.03263539141313787, 0.028189120739202433]"
12,"[0.03447984742771293, 0.03311647691987074, 0.03182686727729045, 0.03278584347105218, 0.02938472186628427]"
13,"[0.03279882890602215, 0.03547738754424867, 0.030870112658814675, 0.03084983092876381, 0.031477556967158926]"
14,"[0.035965727407096026, 0.027032824379384923, 0.034151587087969615, 0.03141242651912535, 0.03278157504319934]"
15,"[0.030026773814032293, 0.033064942666147235, 0.033691385946782226, 0.031618643564209625, 0.0332351713760185]"
16,"[0.03412907051542169, 0.028780739916624, 0.03464428487906834, 0.033277413064354056, 0.03058986820008458]"
17,"[0.032428844566246506, 0.03068471792761407, 0.03276470541987786, 0.030655008734679523, 0.03510655643786953]"
18,"[0.031706106919931476, 0.03313040220334362, 0.03439844341482878, 0.031343619401664524, 0.031132736790811744]"
19,"[0.03512259309264565, 0.02921987452524266, 0.02974609986315979, 0.03362732970914506, 0.03368195367178728]"
20,"[0.0355205901860125, 0.030401919707563785, 0.0313103910444823, 0.03020072405852947, 0.0340650620960391]"
21,"[0.033500358447972944, 0.033491739998585124, 0.029952415006095467, 0.03274320057994806, 0.032046029951237065]"
22,"[0.033972080593952625, 0.03154076453813481, 0.030664252078603016, 0.02958560450144443, 0.03579167481668233]"
