,roc_auc
0,"[0.6890319930034469, 0.6998544025152492, 0.7030983311093963, 0.6952613437443156, 0.6958352905255276, 0.6986110683106942, 0.6965761483398268, 0.7008335464173653, 0.7027241834873025, 0.6998212077781356]"
1,"[0.6984468584706844, 0.6907813355784499, 0.6937365906192895, 0.6980131149597447, 0.6968387360857006, 0.7034245398969305, 0.7001725213430117, 0.6937280148987459, 0.7000867974818312, 0.7065215608283757]"
2,"[0.6919369604548421, 0.6989345123476666, 0.7009313886244342, 0.6954260438849174, 0.7002375588086052, 0.6994902045114592, 0.6995692155439307, 0.690092272573934, 0.7009143759250066, 0.704053353661195]"
3,"[0.698636087260358, 0.6963225539779639, 0.691182850905092, 0.6883638903492483, 0.7018622469978576, 0.7103722945009029, 0.6976585459148074, 0.6979090895174297, 0.7019193441841282, 0.6969890608341889]"
4,"[0.6958749004576301, 0.7006986547368421, 0.6924952720949467, 0.7069678923388517, 0.6979122265332557, 0.6969316843664878, 0.6961424002890667, 0.6973317015524315, 0.6945416445164039, 0.7029569837780146]"
5,"[0.6906520551158154, 0.7027153881875946, 0.6991428492409757, 0.703051008022607, 0.6980286502248055, 0.701590802062582, 0.6948947714145094, 0.7018625784047394, 0.6937959306104085, 0.695515403794082]"
6,"[0.6970313198025745, 0.7065264356732252, 0.697437011763891, 0.7015341360256186, 0.7031266913667998, 0.6925414647664819, 0.699663335098355, 0.7023659582192348, 0.690398080004569, 0.6908790262129285]"
7,"[0.6913820173613987, 0.7044661971245542, 0.7077490773768605, 0.6910542695747834, 0.7073963832777062, 0.6992256964215992, 0.7045002276175102, 0.6937666623889452, 0.6908831180773466, 0.69151565401091]"
8,"[0.6954738618121193, 0.6970183676952635, 0.6913682844049964, 0.698786605002348, 0.7000385784849308, 0.7008356937523665, 0.6964538455809907, 0.7026505368546335, 0.7016529097670232, 0.6975835619569856]"
9,"[0.7009368727273546, 0.692168763679273, 0.7025029200578141, 0.6907789203940513, 0.6943509054825939, 0.7107172345869878, 0.6971952572533662, 0.6925792542306449, 0.6920302252627222, 0.7076764203029429]"
10,"[0.692938413033904, 0.6967486115731387, 0.69692669510398, 0.6979004184606599, 0.6931615270422842, 0.7067978669890399, 0.6987755142213594, 0.694647042500472, 0.7040155413824555, 0.6994377669294374]"
11,"[0.691887526351614, 0.6888911632379734, 0.7017035258005887, 0.7018944661025147, 0.6904252638529937, 0.6872717866384699, 0.6975312130350807, 0.7063246860591689, 0.7087847297106014, 0.7063867745419582]"
12,"[0.6982334415184617, 0.6946837651068649, 0.6992669452288295, 0.701179271892362, 0.6938568232200695, 0.7040358857177598, 0.7020459599058689, 0.7023049611937069, 0.6896944519005288, 0.6966854317782565]"
13,"[0.7015312396202684, 0.6914552537424509, 0.69422620115882, 0.7068777905253915, 0.6948226745283521, 0.6965492408249188, 0.7001410694679853, 0.7000339614876875, 0.7007828140822481, 0.6946675158973247]"
14,"[0.6990119208235727, 0.6976868153758048, 0.691077577012195, 0.69676476425376, 0.7001601457928787, 0.7007511214400294, 0.696066321980508, 0.6969044636039792, 0.7073946811321326, 0.6955896432032288]"
15,"[0.6966755113866955, 0.696289408749966, 0.7043613454349447, 0.6989242568936127, 0.693244319745064, 0.6992157178965835, 0.6952307317360441, 0.6978728435921681, 0.6975989121253904, 0.7018997976974966]"
16,"[0.6933667042206655, 0.6939968448975298, 0.6923469879445434, 0.6999208382454946, 0.7048641713913636, 0.7013586356525272, 0.6937506867613156, 0.7067140664461538, 0.6950187123094327, 0.6998199407080216]"
17,"[0.705324055187581, 0.6956371409889679, 0.6942604631826113, 0.697984368817616, 0.698660970015413, 0.6946583784317568, 0.700641611894794, 0.7023843081728804, 0.6896696554746439, 0.702940988720878]"
18,"[0.6959272990635131, 0.6924484302291088, 0.7048889951287547, 0.7000292264551164, 0.6959528310128709, 0.7048465977469889, 0.6942330926060328, 0.6970399681602427, 0.691440333731917, 0.7048816224078016]"
19,"[0.6962301958738155, 0.6924109676320075, 0.7027516341128563, 0.6941553164046825, 0.7075583005084652, 0.6984796314334181, 0.6985691793888019, 0.6935808112255737, 0.7034387565339036, 0.6946623068313009]"
20,"[0.6909785362925673, 0.6953243927686183, 0.7030858102850137, 0.700825488236336, 0.7015213155730963, 0.6893722706940854, 0.6998601862463093, 0.6963564982143344, 0.7051061663061586, 0.6989846008927149]"
21,"[0.7037097450275303, 0.7030330757324286, 0.6999051032283407, 0.6854166617106963, 0.6958060404633457, 0.7015123812067491, 0.691780976769213, 0.6973512363991751, 0.700032122725196, 0.7030152644617842]"
22,"[0.7094498665737735, 0.6875618993148122, 0.7013424738922652, 0.7011667102095965, 0.7001959377361104, 0.6973345207808367, 0.6921573823497852, 0.6935171493255307, 0.6998361582971857, 0.6981507188892596]"
23,"[0.7031969677850175, 0.6873894814797031, 0.6955539351625406, 0.6938530052311985, 0.6893869025349068, 0.7004148524107146, 0.7071123312614623, 0.6974649180392646, 0.708327090325986, 0.69858042823373]"
24,"[0.6985379000269465, 0.6944541455359975, 0.698797073827956, 0.7011222108910325, 0.6979939115198829, 0.703885767479956, 0.6916861898612048, 0.6991062355902699, 0.6954799031235431, 0.7004064079704905]"
25,"[0.7049079579581407, 0.6913050583277021, 0.6981575947407381, 0.691542341115233, 0.6933828069632635, 0.7002281931593297, 0.7081882686721582, 0.701508862846018, 0.6926317883712793, 0.6996187217992882]"
26,"[0.7061962863216721, 0.7026337349797095, 0.6951398626929535, 0.7033783653846766, 0.6901916537800841, 0.6993998711671636, 0.6921943274073726, 0.6962741140953812, 0.6978924999912804, 0.6979482419933521]"
27,"[0.6975608762209098, 0.6986834103471475, 0.6931139815043, 0.692893836538395, 0.6986918771120039, 0.6990252678952498, 0.6926057123033433, 0.7090964188644496, 0.6989623794802872, 0.701123079176205]"
28,"[0.6967861059489824, 0.7044012686146479, 0.6922273591398631, 0.6972834568821216, 0.7005744724924026, 0.6966244883463629, 0.7013785064459728, 0.7065021340151684, 0.6916899238370059, 0.6936462483025803]"
29,"[0.7080883608468538, 0.6963899930084951, 0.7002234354276571, 0.694852532926454, 0.7017093276909299, 0.69507147483998, 0.6987001486645873, 0.6938949350114737, 0.6943623245757323, 0.698448130672841]"
30,"[0.6906714083697472, 0.6975629599984267, 0.6967304886105079, 0.7016297582605617, 0.6943949145005657, 0.6948908444699514, 0.7018968722072727, 0.6991881021697091, 0.6976566750815867, 0.7066702122225271]"
31,"[0.6915008426178862, 0.699436661870861, 0.6963971931634881, 0.6943063970843893, 0.696502916498595, 0.7084969265144192, 0.7014418187798528, 0.6938550436105124, 0.6933310248738851, 0.7066193477591733]"
32,"[0.7042284558151729, 0.7005027524113301, 0.7030392771269562, 0.6992634132486375, 0.6928055733521555, 0.6973859478651759, 0.6963503649171113, 0.6962979708510487, 0.6960186077466287, 0.6950140118880423]"
33,"[0.6976858166153392, 0.6872443570442275, 0.6951922930775786, 0.7013231614967163, 0.6939183831833143, 0.7015628503890053, 0.7002792343589436, 0.7068384348232255, 0.7055461847873983, 0.6921576952410626]"
34,"[0.713008032449328, 0.7023586400289139, 0.6948764169210434, 0.6989864433520587, 0.696585100865455, 0.6962962638786167, 0.6933593088533997, 0.6965682899108904, 0.6983869616141882, 0.6913986203304969]"
35,"[0.6998619749355068, 0.6888294943190414, 0.7056516168415639, 0.694707857933188, 0.6957458923842136, 0.6947968520304955, 0.7025173249076205, 0.7003204059892288, 0.7022213019791217, 0.6968686165098491]"
36,"[0.6995023258316556, 0.6995400244994127, 0.6929763023741136, 0.6923430609999855, 0.6988445058704326, 0.7022046992624191, 0.7009282924669908, 0.7022348255099184, 0.6989848552150316, 0.6936487506525184]"
37,"[0.698428558455062, 0.7012915189492371, 0.7018559321078228, 0.6978119101241242, 0.6977734124479948, 0.6949380858399756, 0.698536597098521, 0.7024042016654277, 0.6940139574993982, 0.6945233832657659]"
38,"[0.6947911046179978, 0.6922621886411916, 0.6975804746251375, 0.7000876811812773, 0.6894578054483255, 0.7015301636828578, 0.7030918210070888, 0.7010189299792464, 0.7047616821866254, 0.6972022692235701]"
39,"[0.7032700815909216, 0.7026241741181612, 0.6986843319306681, 0.691261058389371, 0.7042124030105982, 0.6936119180742576, 0.7018791669081094, 0.6968163638512707, 0.7016116686784772, 0.6878067081725533]"
40,"[0.6980208235746114, 0.7039402589429966, 0.6958995153632875, 0.695497931939341, 0.702113489732806, 0.6986734590610536, 0.7039475771333173, 0.6902403206536819, 0.698956570940231, 0.693808555896848]"
