,roc_auc
0,"[0.6978429620165043, 0.6964735745024989, 0.6976668194411062, 0.6980479999655695, 0.7005203928256155]"
1,"[0.701592765534861, 0.7000046092942098, 0.6943612991046841, 0.6989450761217706, 0.695911517284302]"
2,"[0.6940346091668665, 0.6956428108365345, 0.7027978111429897, 0.7020544490964711, 0.6964529694828092]"
3,"[0.6982082509740414, 0.6973525419372513, 0.7014635257783499, 0.6976509710958159, 0.6965588665333261]"
4,"[0.6982519490045105, 0.7008115854888284, 0.6970550757731082, 0.70175115920374, 0.6932582621981231]"
5,"[0.6969965706298341, 0.6954739500400632, 0.6973749136613057, 0.70451216847412, 0.6957562866850375]"
6,"[0.6976797599448747, 0.6968866404007859, 0.7055182003835453, 0.6918387347159713, 0.6988992014022584]"
7,"[0.6946320514849715, 0.7014567777254461, 0.6999931114604274, 0.6946263875622098, 0.7003720173264267]"
8,"[0.7050629338914404, 0.7004010052696971, 0.7005494431684913, 0.6927518046990713, 0.691780956597281]"
9,"[0.701034505108965, 0.7002835748373646, 0.6993877800686902, 0.6893894448655716, 0.7001244696512372]"
10,"[0.6937952690550895, 0.7038928193276177, 0.7007127312243334, 0.6963056564251614, 0.6958971910003483]"
11,"[0.7023735068543981, 0.7032308654183747, 0.6982793575633786, 0.6974071488277953, 0.6896333470845653]"
12,"[0.7019106740921595, 0.6970981485525078, 0.6971241765135718, 0.7031559313439724, 0.6912474554909633]"
13,"[0.7001110164449166, 0.7021846591444394, 0.6962316822866224, 0.6957802524792343, 0.6964203683131385]"
14,"[0.6986808177156013, 0.6943350166951193, 0.6977936762392929, 0.6996960797004526, 0.7002549001510326]"
15,"[0.691976332410672, 0.6971822853584311, 0.7002988018923482, 0.700189623704555, 0.7011697002165165]"
16,"[0.7050122454674679, 0.691325132969136, 0.695696573470963, 0.7026148437396407, 0.6957476813370538]"
17,"[0.7015468577617283, 0.6983065503843527, 0.6959498793984102, 0.6972322619544957, 0.6979878874973275]"
18,"[0.694766031149135, 0.6979482589441536, 0.7022691802618478, 0.6952988724821566, 0.7003814607705265]"
19,"[0.7027094123418681, 0.6946397231342583, 0.691793369008576, 0.7037107171701693, 0.6978556871804636]"
20,"[0.7057585429329536, 0.6948087853981038, 0.6935382865231724, 0.6977977465603638, 0.6986297229611204]"
21,"[0.7002605732571832, 0.6979468624613467, 0.6959763722935624, 0.6967432239684742, 0.7001213018666496]"
22,"[0.6989046531195753, 0.7026420435977183, 0.6905825737402109, 0.6961054947809648, 0.7028602426094179]"
23,"[0.7008782800861786, 0.6913571656747369, 0.6976992356675044, 0.7009503550897529, 0.6997799420507105]"
24,"[0.7009734031899476, 0.7034741624142576, 0.6954671739690466, 0.6963080980507289, 0.6946995165998506]"
25,"[0.6999464550887988, 0.694137873941798, 0.6934450550078279, 0.7001499530324056, 0.7028682856453061]"
26,"[0.6937645835481805, 0.700434647303935, 0.7019261722192067, 0.7006666671934706, 0.6940864906205098]"
27,"[0.6969537647586708, 0.698935582090826, 0.7056184825950219, 0.696632785748492, 0.692355743756109]"
28,"[0.6991873338174401, 0.6935626512374831, 0.6948462479357859, 0.6969529668576149, 0.7057662774305673]"
29,"[0.6979193422738447, 0.6967837554001741, 0.6991161980582705, 0.7014194169696797, 0.6952008656418529]"
30,"[0.6945480768535396, 0.7082469456906156, 0.6954992188353946, 0.7003144617061102, 0.6910156065529044]"
31,"[0.697208268584401, 0.7000058963489576, 0.7018681984600081, 0.6964173330376983, 0.6952830669779895]"
32,"[0.6925773885707373, 0.6966869359660027, 0.7017197977075027, 0.7000018537211169, 0.6999214930382531]"
33,"[0.6977502097925067, 0.7023740080669711, 0.7007971011051557, 0.6939114967752005, 0.6955997360525017]"
34,"[0.6974514855346405, 0.7007716367518193, 0.6988104499615736, 0.694393570391092, 0.699457351141925]"
35,"[0.6950112874105665, 0.6982815070367616, 0.7025656698141309, 0.7030488870504037, 0.6920394971763881]"
36,"[0.7055924331587142, 0.6987199790072286, 0.6981475494640837, 0.6908077708562221, 0.6970914374682756]"
37,"[0.694707647326319, 0.7014568649590539, 0.697135784272435, 0.7028253094877522, 0.6947901214861573]"
38,"[0.6945533279473574, 0.6964437121967932, 0.6964137737833563, 0.7010518714367485, 0.70189852610938]"
39,"[0.6965210903186617, 0.7014338540016984, 0.7022222816584859, 0.6945067845295345, 0.6956276355888696]"
40,"[0.6984278280098835, 0.7012668261344688, 0.6971528726623961, 0.7009875297343254, 0.6928941444118852]"
41,"[0.6982709398845844, 0.6959000655080255, 0.6956393535882025, 0.7020971311605018, 0.6989382167292163]"
42,"[0.7003020942924976, 0.6938773771504874, 0.7003678926275739, 0.6914666610023563, 0.7048233233217869]"
43,"[0.6968458147323229, 0.6970025677128181, 0.7037774251476617, 0.6936132505374928, 0.6993442809419992]"
44,"[0.6970669966227034, 0.6957405672345052, 0.6957871986131905, 0.6998868633433484, 0.7024924886969383]"
45,"[0.6999280143367098, 0.700740010459088, 0.6954992029015483, 0.7000821748009253, 0.6943390614516617]"
46,"[0.697293805226722, 0.6979756470585172, 0.7006009888515733, 0.6934813475626243, 0.7010270701303505]"
47,"[0.7032465961759379, 0.6879562940195718, 0.6959182140466419, 0.7076925233830691, 0.6957122912999409]"
48,"[0.7003036094196479, 0.6990074110153832, 0.697730885162859, 0.6988309769802428, 0.6953017977263387]"
49,"[0.7040918350228337, 0.6981805187797323, 0.6966061640282909, 0.6918823380797615, 0.6999481320347771]"
50,"[0.6971589598903724, 0.6995248852701821, 0.696100400414746, 0.6997850797227607, 0.6981431479158775]"
51,"[0.6964753434962282, 0.7026303229426205, 0.698542498607278, 0.6980791872317005, 0.6953658416089543]"
52,"[0.7012639774745489, 0.6994958010628349, 0.6980149833111657, 0.6957291135953158, 0.696509073315718]"
53,"[0.6921408160248734, 0.6981551109134476, 0.6984380818834199, 0.7022547597299718, 0.7001239752222275]"
54,"[0.6986810557556355, 0.7028013254327173, 0.6957170819940666, 0.6940925123948578, 0.6995096321139378]"
55,"[0.6975693405048408, 0.6983168986826485, 0.7011300375819686, 0.6968227889758716, 0.6969639797313777]"
56,"[0.6973341404533989, 0.6942708953010738, 0.7041015135230936, 0.6968871259609193, 0.6979789459496035]"
57,"[0.6941522826177526, 0.7022086129772065, 0.7029206713192065, 0.6962164989568237, 0.6950250434554033]"
58,"[0.7041300101826021, 0.6964314741979183, 0.7008282877798829, 0.6927387997462107, 0.6962410777998241]"
59,"[0.6972446525436408, 0.6924763928901536, 0.706108199989712, 0.6980363268590878, 0.6968357254277464]"
60,"[0.6984847763891622, 0.6988114346714781, 0.7021314294247669, 0.6950361788280318, 0.6963411117307134]"
61,"[0.6983696543423944, 0.696057371535161, 0.6951428221034885, 0.701001905214775, 0.7003897884702469]"
62,"[0.6947338976914557, 0.7040844955022417, 0.695852100767163, 0.6989922767087129, 0.6972051875483128]"
63,"[0.6978206674894858, 0.7036764738751472, 0.6941191588890903, 0.699733694924779, 0.6949131450621799]"
64,"[0.6989052411106759, 0.6931831860805752, 0.7005276381523678, 0.7015620976228337, 0.6963367690454503]"
65,"[0.6975124114602422, 0.6937636093597948, 0.7015540058714702, 0.7023152811851555, 0.6952075333073895]"
66,"[0.6960598609072401, 0.6949067142607487, 0.6999001565021108, 0.7049259208540737, 0.6947803358978756]"
67,"[0.6960234243990613, 0.6989495251180299, 0.6946266598073781, 0.7009589815874012, 0.7004102233302549]"
68,"[0.6985768380089309, 0.6992893889654292, 0.701655674478225, 0.6941478226981929, 0.6964991426656229]"
69,"[0.6968660804825585, 0.6993533518373047, 0.6992650089033668, 0.6969501451101983, 0.6985074073770527]"
70,"[0.6960217151871109, 0.7002161680706074, 0.7007023086909063, 0.6944478664875028, 0.6994162899095725]"
71,"[0.7031452302403782, 0.6996595402819392, 0.6936170595112493, 0.7030737235803639, 0.6912300202986073]"
72,"[0.703010738912048, 0.6967098719862017, 0.6956581760591444, 0.6989882850633535, 0.6957051724074607]"
73,"[0.6983088270670905, 0.7034719337362708, 0.6999305783455068, 0.6950272747320732, 0.6940573084988877]"
74,"[0.6964318101353617, 0.6927766570517955, 0.6978466792771694, 0.7008943832529766, 0.7025294141501546]"
75,"[0.6941828013711384, 0.6964996290425163, 0.6987150008287439, 0.7019642981663444, 0.6994494219537434]"
76,"[0.7025618962414608, 0.6973505555537431, 0.6969049399076017, 0.6974420756221416, 0.6964110041432032]"
77,"[0.7010663685306954, 0.6958738586045312, 0.6976210715994966, 0.6921661653165578, 0.7037564162563794]"
78,"[0.7004029321178137, 0.7114124731208135, 0.6926162092633404, 0.6943639247069728, 0.6917276453331246]"
79,"[0.6932363908225863, 0.7022156666877987, 0.6946130421453616, 0.699430447652537, 0.7005317739032171]"
80,"[0.6956028696704285, 0.704111619833951, 0.7000089662728985, 0.6961636383412284, 0.6953917967570911]"
81,"[0.6999005361408384, 0.6967616671570628, 0.6960618581966485, 0.6993117584649126, 0.6987250559999332]"
82,"[0.6961724281671686, 0.698328180063375, 0.6995324635446596, 0.6960829479041409, 0.7003617191981806]"
83,"[0.698483759545759, 0.6993450769031513, 0.6958581576315318, 0.7015658970976748, 0.6950252106479802]"
84,"[0.6961623888913492, 0.6978129127541253, 0.7003960355097538, 0.6918034095981631, 0.7047127821181104]"
85,"[0.7015058415034434, 0.6947222700885164, 0.6975844888690204, 0.6936895014367788, 0.7036059741872636]"
86,"[0.6909348685316311, 0.6985671952314751, 0.6976370766586384, 0.7034601716901915, 0.7002911811918825]"
87,"[0.6983394574041651, 0.6968159933576129, 0.6931249798974652, 0.6974423795453142, 0.7052806945303487]"
88,"[0.7000123383139032, 0.697261007643428, 0.7005478824219685, 0.6978058173741793, 0.6956308425327846]"
89,"[0.6978633303005715, 0.6988168838323694, 0.6950128373789268, 0.6964280133825104, 0.7025580929398588]"
90,"[0.6985348390366988, 0.6983068319159093, 0.6964036061751637, 0.6994695534320894, 0.6979947656905329]"
91,"[0.6986090346903239, 0.6962582879177346, 0.6963054122290168, 0.6985299643160077, 0.7009636356396246]"
92,"[0.6976287669365744, 0.6955921111660862, 0.7027451788357799, 0.6935744466140401, 0.701305424659465]"
93,"[0.7029706262137785, 0.7006037377063414, 0.6995006865609548, 0.6929045007535614, 0.6943505938340857]"
94,"[0.7035215295584138, 0.6946531870614338, 0.6941909219271035, 0.6931744688910864, 0.7050931194822526]"
95,"[0.6944147729738567, 0.70177149825177, 0.6983237786034373, 0.6955321624992703, 0.7005552391482784]"
96,"[0.6995184463015364, 0.7038177366031848, 0.6937620020570324, 0.6953991271182549, 0.6973453273452109]"
97,"[0.6981328515838348, 0.6980772761866272, 0.6921396583002182, 0.6972975868827337, 0.7047979222634306]"
98,"[0.6967956239200874, 0.7011750825647924, 0.6953757354546369, 0.6997056038084577, 0.6979865378133099]"
99,"[0.6964464816075818, 0.6928526951110531, 0.7008322383847552, 0.6941762618441021, 0.7065307193825892]"
100,"[0.6991660944920265, 0.6988365594531991, 0.6921903781262162, 0.7014159207022701, 0.698537615834701]"
101,"[0.6935875534260517, 0.7010097997417273, 0.693706819054116, 0.7036352238146458, 0.6989899849499576]"
102,"[0.7049579141911562, 0.7016954730640151, 0.6931092365051101, 0.695166755410102, 0.6957049964284658]"
103,"[0.7049163227105055, 0.6974025539283888, 0.6900153436404463, 0.6995410439384697, 0.6984590597887067]"
104,"[0.693670448877567, 0.7024440967099227, 0.6972077812198776, 0.6958089705407242, 0.7018190641324573]"
105,"[0.6983763119207269, 0.7008346430258234, 0.6996967463746107, 0.6919193314698753, 0.6998466265370105]"
106,"[0.6984944850628333, 0.6992688016481976, 0.6929524830844341, 0.7003853298783063, 0.6996907784438687]"
107,"[0.694021007659879, 0.7014588570480218, 0.6934707812595409, 0.6975767154628911, 0.7041323806589043]"
108,"[0.6972524572345444, 0.6988897220524674, 0.7008211794029359, 0.6960669926574885, 0.6977213682228345]"
109,"[0.6933430746542204, 0.6943507227551138, 0.6996901539034042, 0.7010423750363701, 0.7019327990328701]"
110,"[0.6925272375512967, 0.6994376657551946, 0.6993750310719724, 0.7003070408036738, 0.6993762250443745]"
111,"[0.7005876417819044, 0.6995955188266783, 0.6992094335447009, 0.6949217662500398, 0.6969112390732459]"
112,"[0.6949235939545061, 0.6945653209986048, 0.6987253693677897, 0.7018263679309065, 0.6998334208037351]"
113,"[0.6998503254911347, 0.7023804372801723, 0.6987616841578554, 0.6919432952900961, 0.6976962610811732]"
114,"[0.6980808568092163, 0.7027806163999101, 0.6925477139949079, 0.6976626827636885, 0.6995562064185338]"
115,"[0.6911370651180087, 0.6986338901854032, 0.7017731678735653, 0.700177474951455, 0.6985088537735233]"
116,"[0.7006992607203684, 0.6943939640162488, 0.6972385017145567, 0.6966524057639982, 0.7011175978646187]"
117,"[0.6936103624793033, 0.7012590236919056, 0.6971513410092609, 0.6969693383686, 0.7012360680758729]"
118,"[0.699846259408087, 0.7013449551321587, 0.6938312406358431, 0.6995199564436809, 0.6952441628860728]"
119,"[0.6985570441987554, 0.6998602812945923, 0.698061274453029, 0.7009873439223245, 0.6933474141215232]"
120,"[0.6950133055904268, 0.7029264796056791, 0.6902700047874583, 0.6985375169649422, 0.7036796863384742]"
121,"[0.7001360466563242, 0.7007238193323939, 0.7020047423206518, 0.6970391276515603, 0.6907840601225326]"
122,"[0.6977243686492854, 0.6930925212994231, 0.7021081133577342, 0.699874250955407, 0.6983777978548737]"
123,"[0.7017668780394752, 0.7007878321966874, 0.6926262756135959, 0.6957123010978687, 0.6999148053112243]"
124,"[0.6989231531047309, 0.7029397951691686, 0.687310031589693, 0.7041918425827569, 0.6968890819054796]"
125,"[0.6926938431520122, 0.7044679726681944, 0.6969826034960663, 0.699171776076708, 0.6974283637030348]"
126,"[0.6959227618822613, 0.7003007741584486, 0.7015923954125844, 0.6973480859769254, 0.6951391454120085]"
127,"[0.6995796490517386, 0.696028095808429, 0.7006332599217903, 0.697758881446684, 0.6969422677496026]"
128,"[0.7006463900878552, 0.7047181029086309, 0.6897503030360211, 0.7001130578498543, 0.6962711573984585]"
129,"[0.6930450112101081, 0.7055215406317807, 0.6999780311169831, 0.6916794112571995, 0.7011103375345104]"
130,"[0.705133471670423, 0.6932075508664642, 0.6955967003557807, 0.692622707564143, 0.704180737399531]"
131,"[0.6971292092269264, 0.6958026599695548, 0.6979967583682755, 0.7012480860043391, 0.6985484993996925]"
132,"[0.70175131551456, 0.6999185335887099, 0.701817611816757, 0.6914562598364787, 0.6951872522726541]"
133,"[0.7006555222722043, 0.6986282994333588, 0.6965283358779256, 0.6981942668188846, 0.6968651135281501]"
134,"[0.7093518638899914, 0.6909715907038475, 0.693853517499159, 0.6980619599188267, 0.6984882426916625]"
135,"[0.6999804298757283, 0.6927156235320872, 0.7005225624566513, 0.695965523379438, 0.7017697937888436]"
136,"[0.690331220483597, 0.7023940630009109, 0.6978980310715093, 0.7055877914528748, 0.6949719364774051]"
137,"[0.6936821140054505, 0.6984313878023848, 0.6953494992020683, 0.6999087101713554, 0.7036261688175107]"
138,"[0.7000468807645635, 0.6994471167980938, 0.6944993610112135, 0.6921392854264414, 0.7045763660132633]"
139,"[0.7039392360881407, 0.696279296172683, 0.6990313545015939, 0.6917074008158327, 0.6996932909317016]"
140,"[0.6959753529837345, 0.6978047305193021, 0.6929143665657608, 0.7035612548330179, 0.7004879420641194]"
141,"[0.696334695372018, 0.7037459437918191, 0.6971167782534949, 0.695961800527763, 0.6977524614538904]"
142,"[0.6989017700846943, 0.6952398702863837, 0.7036045141701087, 0.6908175078064971, 0.702083293408118]"
143,"[0.6963967509229076, 0.6985636843405029, 0.6987675141155976, 0.7009999623709642, 0.6958906132229271]"
144,"[0.6929079819242041, 0.7045812210756777, 0.6983057511628779, 0.6999618795606107, 0.694967912035843]"
145,"[0.7055348550283401, 0.6933167195694085, 0.7012440734925551, 0.6934485755929501, 0.6975948542810828]"
146,"[0.6995108274754962, 0.6973501233351671, 0.6992461509651318, 0.6946689333154522, 0.6997350767185586]"
147,"[0.6941532626909014, 0.7014072530466465, 0.6961843745858689, 0.70059189157999, 0.6978812118956395]"
148,"[0.6993891217472801, 0.6986191128910544, 0.6958380341323391, 0.697234949721955, 0.6992544309214158]"
149,"[0.7055124742587542, 0.6980172671454787, 0.6988349681845789, 0.6920002192168052, 0.6965201369606682]"
150,"[0.7016747002485356, 0.6948020896563184, 0.6955823991332517, 0.7038733081422589, 0.6944873975619669]"
151,"[0.6972558883680592, 0.698735825267643, 0.6912800117086043, 0.6986929981918027, 0.7047998103574374]"
152,"[0.6964677945974644, 0.7003094893352084, 0.695532306878367, 0.6968939640916776, 0.7010256506425222]"
153,"[0.7012623795430784, 0.6969330015384578, 0.6990774482458729, 0.6992040478878387, 0.6942101110803023]"
