,roc_auc
0,"[0.6680300170739009, 0.6715272948796148, 0.678197811737611, 0.6685901582615859, 0.6719379988025407, 0.6782874050911978, 0.6716506508767601, 0.6765884136631232, 0.6822403964986647, 0.6733457368749339]"
1,"[0.6756226440716058, 0.6623867298946204, 0.6708641542490021, 0.6731840160408921, 0.6671684408980498, 0.6775835558919705, 0.6792685873726279, 0.6686853673728818, 0.6825901350989213, 0.6827841784851458]"
2,"[0.6740532508935864, 0.6702698009755493, 0.6825041763168871, 0.6733298668476154, 0.6779916584978654, 0.6739619823463094, 0.6760024772165034, 0.6615602692287766, 0.6741511711106705, 0.676150644082167]"
3,"[0.6734892417790075, 0.6730230839511379, 0.6704244998920341, 0.6638998701593236, 0.6756494971086702, 0.6790776062123192, 0.6799688591934602, 0.6725270949640881, 0.679556306016307, 0.6727280560895517]"
4,"[0.6728829306188888, 0.6815020291453197, 0.6674075940915437, 0.6805633895199047, 0.6743892929318865, 0.6736321190034353, 0.6700437769423582, 0.6702550556392204, 0.6738514113871291, 0.6758804266205999]"
5,"[0.6704460413393494, 0.6798610793197584, 0.6764928050476411, 0.6757564598147183, 0.6771489997531972, 0.6768328829861863, 0.6689514053821821, 0.6697637789856404, 0.6694778850032959, 0.6755758211486299]"
6,"[0.6735670361396391, 0.6827881148376235, 0.6716989137063513, 0.6773824509323965, 0.6728729838726153, 0.6714524877207395, 0.6787888872608084, 0.6691303923372628, 0.6698343131887775, 0.6723770549606513]"
7,"[0.6696257094309083, 0.6781532170828207, 0.6830917924970172, 0.6692669864503977, 0.6842380925825166, 0.6759877454996353, 0.6813893326462347, 0.6694634017756037, 0.6669147883631409, 0.6619469379738389]"
8,"[0.6692610710645492, 0.6680513633089435, 0.6707998113759144, 0.674852100372376, 0.6762655053249459, 0.6768619378360953, 0.6755096207054593, 0.677359493061148, 0.6747617808273527, 0.6760540878897235]"
9,"[0.6780988345754676, 0.6725549059032355, 0.6872992343919935, 0.6625093822196195, 0.6658209132778284, 0.6802752017273689, 0.67349187033496, 0.6734921064056157, 0.6664021018213546, 0.6802568413793163]"
10,"[0.6644319734168462, 0.6684015514272932, 0.6779035269664146, 0.6716518312300376, 0.6698521238886451, 0.6811298819161871, 0.6774368470592106, 0.6742713438607165, 0.6769822780580007, 0.6780113342736962]"
11,"[0.6745171297316663, 0.6651124334618967, 0.671840919285282, 0.6767446924370716, 0.6682592689193243, 0.6674764495460079, 0.6743867960307225, 0.6846453780207579, 0.6791406071066085, 0.678043619583516]"
12,"[0.677588145650292, 0.6743376206972514, 0.6728878336248111, 0.6762308574164293, 0.67575069878276, 0.6758196541132707, 0.6786948993611728, 0.6772428423785831, 0.6648355172232885, 0.6671811501167266]"
13,"[0.6741079421087199, 0.6617716841202479, 0.6733075627104899, 0.6821016531501387, 0.675703048828909, 0.67362457836192, 0.6766642422815654, 0.6736841362644133, 0.6719671509665992, 0.6771789146235623]"
14,"[0.6808680250813812, 0.6701925286942519, 0.668429979782001, 0.669073444831441, 0.6721509890116556, 0.6835332900210265, 0.6694398673471773, 0.6757346732171068, 0.6799562278594257, 0.6708819848897665]"
15,"[0.6779224080790351, 0.6725556685930456, 0.6807686438752314, 0.6736204108068861, 0.667986611852029, 0.6705809874977162, 0.677547664072692, 0.6744000159874312, 0.6712731644032466, 0.673577833237805]"
16,"[0.6680523348304873, 0.6720653816202907, 0.6686782988726773, 0.6761036788905928, 0.6821929670956187, 0.6827380905577568, 0.6681428724666965, 0.6847803060198434, 0.665826729369955, 0.671414077132616]"
17,"[0.6750957479879652, 0.6747082243874826, 0.671616207260157, 0.6767419049874085, 0.6743015064267786, 0.6719477503365414, 0.6693870102194442, 0.6793474894494123, 0.6674399821131481, 0.6796358634867561]"
18,"[0.6686613517235037, 0.6726978693842492, 0.6782515904488645, 0.6773775797052163, 0.6733056968443472, 0.68388673319053, 0.6680150038881745, 0.674781133901473, 0.6614398465230216, 0.6820064063428276]"
19,"[0.6721025309697916, 0.6695299782402783, 0.6765030922804369, 0.6717286949275082, 0.6811297502613984, 0.6754968728900618, 0.6693495158436006, 0.673929831338957, 0.6805698758194992, 0.6701423928852533]"
20,"[0.6632011872755956, 0.6717548942304494, 0.6750528376065058, 0.671464550023272, 0.6819830004068224, 0.669907060254075, 0.6775880276149641, 0.668698033471514, 0.6874277134229284, 0.6731926302987692]"
21,"[0.6807912930386996, 0.6781572348237849, 0.6719382848112195, 0.6601117533060197, 0.6713370083118119, 0.6796832273197524, 0.6669527131772952, 0.6729093251341031, 0.6744244177326888, 0.6842990629893888]"
22,"[0.6905281634198749, 0.6612966600233359, 0.679574603039475, 0.6753610868649398, 0.671814315938334, 0.6747797991943055, 0.6648217306089157, 0.6714550617988486, 0.6744921174251188, 0.6761449082056296]"
23,"[0.6740956482753523, 0.6648302836303577, 0.6736698857684968, 0.6717682140632046, 0.6679735871075931, 0.6743870865792216, 0.6838986411391724, 0.6697123110429185, 0.6855090014114161, 0.6740925997728248]"
24,"[0.6708443651723219, 0.6681007429343281, 0.6801708630374532, 0.6791741137122204, 0.6755133751368461, 0.6748107335298179, 0.6703834417572562, 0.6717613816336558, 0.668836652154793, 0.6809073524509114]"
25,"[0.6772050801533421, 0.6649851868387558, 0.6709215693563146, 0.669445206175848, 0.6708604633750996, 0.6780430538034623, 0.6833376419254512, 0.6795169200827649, 0.6709205737598662, 0.6747525207701403]"
26,"[0.681154460503282, 0.6777865811955305, 0.6710415749660799, 0.684047737917409, 0.6698256204177437, 0.6738758982738131, 0.6680665399282008, 0.6724005792520152, 0.6699063772338218, 0.6718630014364124]"
27,"[0.6730667933409697, 0.6689160084033164, 0.6643424254614623, 0.6722987011447011, 0.6760893330584503, 0.6741751813871582, 0.6714953345447149, 0.6794487864597281, 0.6805041471250243, 0.6799809924950211]"
28,"[0.6722694964807224, 0.682588140293304, 0.6738100436405661, 0.6728437565095349, 0.6730975597031313, 0.6689651791969673, 0.676315288994337, 0.6814875380389274, 0.6687402458308579, 0.6699478363129252]"
29,"[0.6796126785123168, 0.667834464314552, 0.6790772884248981, 0.6708490820456119, 0.6734769434058194, 0.6690343615184929, 0.6777959831633682, 0.6734795674219517, 0.6754807590997978, 0.6741368382315327]"
30,"[0.6698780916607515, 0.6682110605675767, 0.6695248936415442, 0.6721835713019364, 0.6737046063141383, 0.6735222190336542, 0.6805526982431023, 0.6749687919133234, 0.6763287741577136, 0.6813203764348138]"
31,"[0.6630721928216398, 0.6757548981165357, 0.6738286342046876, 0.6712463390208141, 0.6782095471730819, 0.6776350238346922, 0.6778049266093558, 0.6715182243186589, 0.6736483486415991, 0.6777510217580734]"
32,"[0.6744647674443458, 0.6766351556529144, 0.6769141003713228, 0.6716472233124349, 0.6666847911425711, 0.6761194048281062, 0.6723156800726168, 0.6758810370235239, 0.6719086522922725, 0.6775799264194673]"
33,"[0.6763793367791054, 0.6678592562732009, 0.6696777357715269, 0.6767549705902269, 0.6696443862516155, 0.6813005564603013, 0.673354699664647, 0.6808617101913466, 0.6766168441376236, 0.66793096497008]"
34,"[0.6851538923720106, 0.6770959791919334, 0.6755693375016633, 0.6771107699264654, 0.6738333737770792, 0.6708822363532503, 0.6679720390288715, 0.6706700042941253, 0.6760689612037845, 0.6657907336791923]"
35,"[0.6753805082161759, 0.6653382713624559, 0.6801165985654277, 0.6693201886044736, 0.6752779491358172, 0.6708215117169402, 0.683835855424447, 0.6722290784606065, 0.6754451903072098, 0.6730331838305651]"
36,"[0.6832886527246121, 0.6750320406897192, 0.6612352725732623, 0.6704753912775779, 0.6759936472660231, 0.676027418989222, 0.6782130428347118, 0.6781785628995461, 0.6742669831356692, 0.6676949811089382]"
37,"[0.6766845034995567, 0.6727677780770226, 0.6772221544174839, 0.6711827769968178, 0.6812735853879092, 0.6678683359137975, 0.673004366272048, 0.6804761750321543, 0.6721580153238643, 0.6681113612391282]"
38,"[0.6662193960045114, 0.6749421295487116, 0.6682420584605734, 0.6765568119740266, 0.6646396928945948, 0.675000865743731, 0.6810288300561672, 0.6766026823183208, 0.6796711052935083, 0.6775600574884696]"
39,"[0.678673516807568, 0.6706151541852812, 0.6785040089972699, 0.6650604207407393, 0.684212211066996, 0.6718698288609415, 0.6743608282586162, 0.6776884484399625, 0.6783705418387824, 0.6609474921421671]"
