,roc_auc
0,"[0.6679989520089438, 0.681728231021397, 0.6747172872238578, 0.6702067416683576, 0.6733081801283836, 0.6724997574353926, 0.6745523475978914, 0.673886742733774, 0.6708564286780397, 0.6807099121655381]"
1,"[0.6822478517304235, 0.6681753605438775, 0.6791231476836019, 0.6716948859178102, 0.6703675477682761, 0.6703156831915027, 0.6765056153287969, 0.6746374377190373, 0.6752083219475852, 0.6720668120866147]"
2,"[0.6709865563536461, 0.6738895312600977, 0.6698684149681318, 0.6782843582159724, 0.6782617498603362, 0.678503568836629, 0.6736074648933494, 0.6706949327717341, 0.6712183781537954, 0.674831872778001]"
3,"[0.6698224930913252, 0.6763422952904277, 0.6812783681707407, 0.6713897400168893, 0.6707734798668294, 0.679179087939034, 0.6719553601785726, 0.6714141470262786, 0.6696561860596152, 0.6783477422136364]"
4,"[0.6711075095904089, 0.6726868450545517, 0.6750615207600196, 0.6773754452968359, 0.6658359728449442, 0.6792586928549023, 0.6736227137721829, 0.6817808511966827, 0.6749124085347326, 0.6686338307399811]"
5,"[0.6758764694844233, 0.6755356271262468, 0.671749324677446, 0.6708301033534134, 0.6786302793035146, 0.6699856499261823, 0.6783849166818874, 0.6798143345223369, 0.6631806590329516, 0.6759907183569334]"
6,"[0.6785732100806777, 0.6685729282032408, 0.6751926104121562, 0.6697490161397157, 0.6763013809451851, 0.6840206588096226, 0.6696185469546174, 0.6676676184439828, 0.6751681701940843, 0.675067960000337]"
7,"[0.6685715172021607, 0.6692936326109212, 0.6748736869488151, 0.6792718866841624, 0.6731730889807587, 0.6765733743667566, 0.6766214868797575, 0.6654462927289454, 0.6753022456946649, 0.6812952100386942]"
8,"[0.6724364709876371, 0.6867846104757376, 0.6820215679677818, 0.6735107184621268, 0.6827790400910101, 0.6756315902318553, 0.6672852185715128, 0.667053958263916, 0.6662260847815487, 0.6661600273718786]"
9,"[0.6796908794785343, 0.675025602350984, 0.687755391772645, 0.66273897863404, 0.6800771359692679, 0.6765494278590984, 0.6573180521949652, 0.6652865585966448, 0.6765207932914271, 0.6781533897538194]"
10,"[0.6720686002729842, 0.6713709806918455, 0.6781214752245868, 0.6865040745948333, 0.6703211492396073, 0.6790373198461596, 0.6675811005798981, 0.6737342326154907, 0.673451684914247, 0.6681053202832917]"
11,"[0.6828084634094503, 0.6791402503792773, 0.6741927898009172, 0.6835210974889719, 0.6629581756582538, 0.6776941937114229, 0.6766882812893116, 0.6717564471742722, 0.6665055473962723, 0.664959783554796]"
12,"[0.6790966939734896, 0.6801621909351317, 0.6746996841433782, 0.6698780684061008, 0.6733660593272843, 0.6757526922348114, 0.6794541014490089, 0.6786465410678949, 0.6669756583484918, 0.6627490611256857]"
13,"[0.6779618177402719, 0.6676820659429283, 0.6709667070514788, 0.6860185838367405, 0.668797856694458, 0.6754603233555795, 0.6649977354642873, 0.6805365637217621, 0.6756853877261991, 0.6718472395817939]"
14,"[0.6749599477856213, 0.6778797470721024, 0.6746473754189672, 0.6656331580381285, 0.6735246500456069, 0.6715092113305807, 0.6689169050256623, 0.6793760100292778, 0.6861783577805773, 0.6671928729232769]"
15,"[0.6644299771470635, 0.6719677065387888, 0.6815513167683221, 0.6650730437292031, 0.6721371644891484, 0.681188303510879, 0.6791260671416124, 0.6690285868670734, 0.6752544881663491, 0.6809126934124919]"
16,"[0.67418310489603, 0.6857414650247998, 0.6698715764190066, 0.6672350954613621, 0.6786136078217447, 0.6707198845684509, 0.677716634656657, 0.6751099345232359, 0.6716537766440477, 0.6691341880323766]"
17,"[0.6721717574362891, 0.6778354545906468, 0.6797517960004615, 0.6702472171034244, 0.6766681035443006, 0.6704840794453852, 0.667728795117717, 0.6769964379523957, 0.6756539627128705, 0.6730359431500276]"
18,"[0.6739452793492328, 0.6685898804544121, 0.6761393210914868, 0.6698215372581589, 0.6782233221107106, 0.6793162556437398, 0.672333201642678, 0.6694712518200006, 0.684688497046207, 0.6680892009255808]"
19,"[0.6786062575214437, 0.6751181656013497, 0.6632144281915795, 0.6710643463671205, 0.6670099587634619, 0.6718360690654714, 0.6769528114190062, 0.6791383684261172, 0.678590057482134, 0.6791247138172221]"
20,"[0.6770168298804301, 0.6816552556811349, 0.6703283879859947, 0.6759605785861988, 0.669328367311835, 0.6693190324109884, 0.6769047689406318, 0.6666803631856932, 0.6789270660877746, 0.6737611838870667]"
21,"[0.6712574034478606, 0.6737122512805758, 0.6646075686891634, 0.6826948358828698, 0.6751682516666664, 0.6705326930364405, 0.6777695180876496, 0.6716490038778788, 0.6772558864168862, 0.6757496228936626]"
22,"[0.6783100086565049, 0.673357146310646, 0.6780884454008939, 0.6756090639835496, 0.6664480369156832, 0.6672127906298057, 0.6723625818692548, 0.6690029507000347, 0.6801780828362316, 0.6795996968866691]"
23,"[0.6825030592208567, 0.6716576955919424, 0.6647485054715547, 0.6762697048317696, 0.6648673643631006, 0.6780993219749362, 0.6800406973945964, 0.6778709671511236, 0.6722368949558166, 0.6718581854731096]"
24,"[0.676744676691348, 0.6784804849470162, 0.6753925203653718, 0.6761994766178496, 0.6742239808083429, 0.6728994886895493, 0.6712672064259698, 0.6695179704916592, 0.6663987752649293, 0.679260695692353]"
25,"[0.6852343030469048, 0.6630352395325975, 0.6781727053584744, 0.6644767047152972, 0.6715771042424546, 0.6720700038712863, 0.6726750933320084, 0.6742165369319554, 0.6827518089622174, 0.6755049866417379]"
26,"[0.6803907003230854, 0.6736998488257601, 0.6763252651699656, 0.6706998774284963, 0.6833227794558583, 0.6679984345921326, 0.6756281200366283, 0.6714682315037418, 0.6668144968489628, 0.6742742215337393]"
27,"[0.6726988896351807, 0.6638181837069642, 0.6791743948261254, 0.6744623469859443, 0.6790241300078156, 0.6827049880873315, 0.665967877854295, 0.6805808245952294, 0.6766453652938563, 0.6648255105437152]"
28,"[0.6738621667042041, 0.673609333199081, 0.668645098305214, 0.6702315850403561, 0.6694664232171312, 0.6675321680890661, 0.6733718226878568, 0.6756177875529644, 0.6908351537195957, 0.6773287387810428]"
29,"[0.6769876809054901, 0.6691998903871164, 0.6670288566206195, 0.6780845850987751, 0.675327362675054, 0.6791878602880835, 0.6780447042560569, 0.675243499247949, 0.6804391721995819, 0.6603333828091076]"
30,"[0.6692332568326118, 0.6660550935347161, 0.6796771559490331, 0.6831739901576854, 0.6745868315992537, 0.6712762406599392, 0.6718867060716511, 0.6784663282793646, 0.6758754604396886, 0.6687891039751259]"
31,"[0.6645772845082197, 0.6764288066492623, 0.6785369000830316, 0.6671616302906902, 0.6711160469716073, 0.6875452750589769, 0.6747230621734123, 0.6693390898966233, 0.6746806651308617, 0.6760002302654414]"
32,"[0.6726943197098844, 0.6666150136952762, 0.6709264506840629, 0.675836076968044, 0.6712291818082251, 0.6849688772245908, 0.6721097787886374, 0.6752139538335078, 0.6743460126975607, 0.6767836697102777]"
33,"[0.6723067718854168, 0.6701544540411153, 0.6765999733726088, 0.6765977587873921, 0.6736609391658481, 0.6834198090999412, 0.6686373208908742, 0.6693740819080922, 0.6729649036067219, 0.676714622146657]"
34,"[0.6768064824105645, 0.6678103685612886, 0.6743211242790375, 0.6765380217069281, 0.6873965600626318, 0.6691988891265241, 0.6747002098427909, 0.6707572719931275, 0.6702743134605589, 0.6729876291953859]"
35,"[0.6685468158404921, 0.6737675149491821, 0.6768020670152702, 0.6790886868786701, 0.6711429959616948, 0.6809515131822612, 0.6685542569179228, 0.6836176654279651, 0.6651815257871178, 0.6726270364959024]"
36,"[0.6828425231678906, 0.6771774006743013, 0.6802238614419802, 0.6739858076180616, 0.671285304626288, 0.6742368896057152, 0.6727354641241421, 0.6614291812755443, 0.6802331587866879, 0.6656246592767868]"
37,"[0.6700354167478741, 0.6710563630706151, 0.6719823747150669, 0.677885114799623, 0.670700281659027, 0.6728937966196291, 0.6774735533229177, 0.6857101879349875, 0.6696326234390922, 0.6729270858079901]"
38,"[0.6703801004495167, 0.6798205812783032, 0.675608375229943, 0.6679296466448988, 0.6762946690668301, 0.6701263461589338, 0.6710584470258986, 0.6725587731620029, 0.6810031792889829, 0.67542583240606]"
39,"[0.6662818079470468, 0.6741367375379885, 0.670852298962439, 0.6872654688170389, 0.6713360545318876, 0.6811183415020081, 0.6752818460720016, 0.668285863692196, 0.6751515659241754, 0.6708686750913955]"
40,"[0.6713028818148834, 0.6735827061663622, 0.6745394519487257, 0.6781746696090647, 0.6778722362394757, 0.6704810138994356, 0.6849890258004389, 0.6697172376289496, 0.6704356811139625, 0.6693829367752944]"
