,roc_auc
0,"[0.7562255817903856, 0.7192788702749667, 0.752141016047227, 0.7243800752397118, 0.7624103970756799]"
1,"[0.7406304514494605, 0.7512730218562973, 0.7763179727871805, 0.7289304748062015, 0.7079187344913151]"
2,"[0.7215050414835358, 0.7602183220190647, 0.7406608135359796, 0.7515964781409648, 0.7400027964205816]"
3,"[0.739134454784061, 0.737024872855339, 0.7368271503909801, 0.7617435897435898, 0.7474319398664087]"
4,"[0.7315831987075929, 0.7663798751681092, 0.7221358588408058, 0.7436748053786271, 0.750329368982682]"
5,"[0.7339060333278493, 0.7393825556764855, 0.7253093958638657, 0.7605370465998326, 0.755871153357967]"
6,"[0.7339812356812975, 0.7323044080313871, 0.7532420043994518, 0.7502437883859783, 0.7489274770173646]"
7,"[0.7341959606665489, 0.7320169591275418, 0.7831275351944643, 0.7479457706044578, 0.7234084562660423]"
8,"[0.759069481451117, 0.734912984332489, 0.7384056644082281, 0.7478588765603329, 0.7275073136515793]"
9,"[0.7723223095406689, 0.7153109489051095, 0.725, 0.76038301052867, 0.7395921064944787]"
10,"[0.748684745438458, 0.7484707028234091, 0.7367027367456773, 0.7459574071485159, 0.7356159807967753]"
11,"[0.7322649870891199, 0.7330606622814415, 0.7442304766585917, 0.7474374669931345, 0.7614096016343207]"
12,"[0.7556488942225269, 0.7425627087933866, 0.7347156253805869, 0.7401301345255678, 0.7381755037274333]"
13,"[0.7418431629985374, 0.7531553341011118, 0.7504030911331467, 0.7282473816029145, 0.7466752466752467]"
14,"[0.7520966224588133, 0.7225459590704127, 0.7478787358296118, 0.7620045219083598, 0.7311588418388499]"
15,"[0.737276010882822, 0.7355702443579057, 0.7456375210634713, 0.7487899485622733, 0.7536380258050376]"
16,"[0.7293053080718086, 0.7686304820794687, 0.728455430833343, 0.7524660019739835, 0.7323160240318167]"
17,"[0.7385934048416115, 0.7255110129664232, 0.7476628862927286, 0.761947831998883, 0.7509350396674341]"
18,"[0.7519926669854933, 0.7576985413290114, 0.7372064006433758, 0.7434869052516111, 0.7247218293400998]"
19,"[0.7662318840579709, 0.7170273055126223, 0.7175628894530348, 0.7309075708090487, 0.7754126821493625]"
20,"[0.748305978972527, 0.7230881961097788, 0.7427666505791506, 0.7308154458014835, 0.7714924083311455]"
21,"[0.7344652104041426, 0.7443149031384326, 0.7401894605479608, 0.7445527240722405, 0.7517919740490766]"
22,"[0.7358686131386861, 0.7372203652790928, 0.7355619146722164, 0.7325611676356589, 0.7640150535780976]"
23,"[0.758055844606313, 0.7434392680871554, 0.7354734576757532, 0.7301787727870701, 0.7491393801234227]"
24,"[0.7415953208909235, 0.7781166488909128, 0.7326682316118936, 0.7479121640669046, 0.7206472458179165]"
25,"[0.724120138391792, 0.7356875912408759, 0.768421264784807, 0.7378352079219256, 0.7509960855585069]"
26,"[0.7516482202637152, 0.7489060511002, 0.7570375989976665, 0.7334383921840963, 0.7200368720794392]"
27,"[0.7453785481219793, 0.7582002446847205, 0.7374773722627738, 0.7337670745128503, 0.7414761331728841]"
28,"[0.750481060471083, 0.7426993297375369, 0.7449773323789072, 0.7448998425396678, 0.7332095083625455]"
29,"[0.7801212977683566, 0.7501404931008919, 0.730082020416593, 0.7235625769153715, 0.7386257862522213]"
30,"[0.7522489688522258, 0.7423535141170462, 0.7158747263659136, 0.7812075238756626, 0.7295309653916211]"
31,"[0.7427177504474325, 0.7546599381705765, 0.7389886478482619, 0.7274183407682404, 0.7516474536699256]"
32,"[0.7240488478507647, 0.7833297052812345, 0.7126850848681834, 0.7518045483109428, 0.7433976510067113]"
33,"[0.7308374501517765, 0.7735974137347386, 0.7362995116657624, 0.7277181480621955, 0.7475302000293441]"
34,"[0.7536217948717949, 0.7371868782781696, 0.7325704803452482, 0.7434526820023603, 0.7462070404482994]"
35,"[0.7528604118993135, 0.7441899766899767, 0.7705197132616488, 0.7167568186371311, 0.7318960610200365]"
36,"[0.7529178338001867, 0.743045737209329, 0.7382494752963866, 0.7410851185674613, 0.7332374041443763]"
37,"[0.756578947368421, 0.7428350364963503, 0.7529041240401364, 0.7298309400376198, 0.7313825629266768]"
38,"[0.743990086741016, 0.7420715499834587, 0.7608622994652406, 0.7197477663822575, 0.7509023354564756]"
39,"[0.7152746646436083, 0.7709526258643351, 0.7339090061829423, 0.7273149264528576, 0.7679245283018867]"
40,"[0.7555607687762834, 0.7497384967297722, 0.7137036279323512, 0.7291229787035742, 0.7567659657320873]"
41,"[0.7557844275921751, 0.7638171257527705, 0.7267490355541654, 0.7323881754718609, 0.737778980679547]"
42,"[0.766089460958612, 0.7483541916680954, 0.7530155290718672, 0.7148978472507883, 0.737982983328728]"
43,"[0.738340599815035, 0.7275982320491952, 0.7415550211840146, 0.752406281661601, 0.7537807864035719]"
44,"[0.7640139787972605, 0.7270371589066209, 0.7496934306569343, 0.7344738429716452, 0.7396671289875175]"
45,"[0.7634120046620047, 0.7360059783597018, 0.7355297374381342, 0.7512388143176733, 0.7279147975257532]"
46,"[0.7165979617542654, 0.7325779463103407, 0.7612130303343794, 0.7669047334958324, 0.7304956928671495]"
47,"[0.7677897810218979, 0.7318998546703659, 0.734378496143202, 0.7393850071110704, 0.742415235766006]"
48,"[0.7596477252611081, 0.7167067959848075, 0.7418991792276901, 0.7435779950386692, 0.7541097040549852]"
49,"[0.7681514514378731, 0.7307209156256542, 0.7164352792320103, 0.7531431637306627, 0.744472301182342]"
50,"[0.760199952688654, 0.7219517888456195, 0.757405432708497, 0.7729490733985116, 0.7035932495044095]"
51,"[0.739731943497779, 0.7416946952262937, 0.7301900434970737, 0.776434561117312, 0.7333244491826583]"
52,"[0.7677831214931867, 0.7441864599630209, 0.7506084466714389, 0.7308281322237633, 0.7205689591024871]"
53,"[0.7173374334020433, 0.7453155051883588, 0.7444175792917082, 0.7262564029511447, 0.7734653965420034]"
54,"[0.7227717371540783, 0.7502897556591054, 0.7302091329936957, 0.7519680127041742, 0.7633166857006495]"
55,"[0.7375259635356566, 0.7622288252942534, 0.7461147225231732, 0.7274553796660672, 0.7471497475530985]"
56,"[0.7422053847614155, 0.7646968188498553, 0.7299320576322322, 0.7341299455105426, 0.7492631663946199]"
57,"[0.7534540145985402, 0.7302718170493807, 0.7615020638276452, 0.7255864181446545, 0.7528685627277176]"
58,"[0.7776793058306977, 0.7601339218480287, 0.7296875369586301, 0.7500014309836582, 0.7016543371175338]"
59,"[0.7337871902694882, 0.7634708099824379, 0.7634667236812411, 0.74005606462503, 0.7119926001713144]"
60,"[0.7496263858478436, 0.7566928904428905, 0.7303970001785608, 0.7201937340795858, 0.7629537697797084]"
61,"[0.7514716504153125, 0.7437331105105959, 0.7454137529137529, 0.7396745088118728, 0.7469677382286192]"
62,"[0.7405559372495133, 0.7532966905405877, 0.7557159843723459, 0.741268275702019, 0.72628804719299]"
63,"[0.7316038052978352, 0.7538639533409408, 0.7460336846023217, 0.7419993037827803, 0.7491295708147218]"
64,"[0.7420339883165162, 0.7727034120734908, 0.7524222576267187, 0.7236874947999001, 0.7191980767579634]"
65,"[0.7423962859353609, 0.7399113148026902, 0.7358453580498309, 0.7506062891622185, 0.7459924846874111]"
66,"[0.7528805875620841, 0.7357903819190623, 0.7315749100135718, 0.7244879197908587, 0.7760678410682882]"
67,"[0.7637671515763388, 0.7338036541108747, 0.7159761119793746, 0.7780991424485091, 0.7182120901639343]"
68,"[0.7337219269672552, 0.7244089062518724, 0.7702191004740432, 0.7764632555105084, 0.712726270596426]"
69,"[0.7556708256583139, 0.7062741675454867, 0.7570245845770558, 0.747527897236979, 0.7519412163218511]"
70,"[0.7577034254350548, 0.7394232486161538, 0.7693032176800642, 0.7291935197119872, 0.7187925915109035]"
71,"[0.7416783483350549, 0.7538581579886904, 0.7575517365891088, 0.7122958257713249, 0.7533608546683164]"
72,"[0.7518499624730276, 0.7237331081081082, 0.7544979377044517, 0.7418648766963373, 0.7415163390047235]"
73,"[0.7463481561567208, 0.7529458826218641, 0.7270423357664233, 0.7586181332937949, 0.7371785275889944]"
74,"[0.756685202347853, 0.7394279748520031, 0.7309738990857702, 0.7559606973203237, 0.7387252797573052]"
