,roc_auc
0,"[0.6958427289460319, 0.7001990336302893, 0.6968313115546603, 0.6961184621586548, 0.6958517072127651, 0.6989242372175652, 0.6936867988508988, 0.7026275945717388, 0.6959670845111411, 0.7047386453770876]"
1,"[0.7080399077108405, 0.6951000070438698, 0.7036509401488906, 0.6965054583777357, 0.6952431787232589, 0.6937309092472319, 0.701602436707546, 0.6963064925420401, 0.6974904247433587, 0.6940880044320382]"
2,"[0.6928959102430637, 0.6952162559137441, 0.6936184506705001, 0.6976807434337872, 0.7019891124700927, 0.7036982192461558, 0.7045272282994484, 0.699578941714177, 0.6939512545216103, 0.6988994180776669]"
3,"[0.6955732101896703, 0.7008835119987677, 0.7033086587489684, 0.6917634519825562, 0.6970364294592943, 0.7053924765517213, 0.7010296595194639, 0.6940631395719392, 0.6934199522856438, 0.6994067237030813]"
4,"[0.7020896376487907, 0.6941078406775281, 0.6982962633752817, 0.7032587282523015, 0.6919708199744782, 0.7017829183665345, 0.7000863193781205, 0.7032323401216608, 0.695975181722193, 0.6908116892359343]"
5,"[0.6948110909330575, 0.7002473486542534, 0.693999198809612, 0.6968305940689581, 0.7011890764705152, 0.6938709590636856, 0.7003416466848486, 0.7086054597774212, 0.693557322793676, 0.6976162069242788]"
6,"[0.7038348730469262, 0.6915121212771425, 0.6982564574916026, 0.6954173258397436, 0.703575706160113, 0.7072924211707112, 0.6952403024790071, 0.6880915673741872, 0.7003549272278788, 0.6975268857500313]"
7,"[0.6983818905249968, 0.691028297907116, 0.699184687386555, 0.7035289960465714, 0.7016066066301253, 0.6984992675264354, 0.7010893337403766, 0.6879345743777349, 0.6977900215621323, 0.7029776974449089]"
8,"[0.7002522655235137, 0.7097293520501371, 0.7057105202031473, 0.6947876769609342, 0.7024813219139112, 0.6985426984784966, 0.6935783128567963, 0.6923835473792231, 0.6909121515615095, 0.6925259479179201]"
9,"[0.7022359721146204, 0.7001729957068559, 0.708739953822303, 0.6915218754359131, 0.697737803397195, 0.7008824713266573, 0.6845040118370886, 0.6947483597211157, 0.6972412979784446, 0.7028895116301132]"
10,"[0.6951264389920715, 0.6924849053981244, 0.6990845326336631, 0.7087790133134616, 0.6943264543390802, 0.7069959369840174, 0.693119275160855, 0.6992814132556986, 0.6936999754906374, 0.6984375854060557]"
11,"[0.7069792340104732, 0.6975648290820382, 0.6984277669272861, 0.7080283143662072, 0.6938711082924576, 0.7024616912526759, 0.7029355721607614, 0.6917732391113018, 0.6856571144405091, 0.6933686528149946]"
12,"[0.6997225401246038, 0.7039961555126271, 0.7027551631047767, 0.6919278861160192, 0.6958277773271574, 0.6983572067316113, 0.7013264744520895, 0.704880607323191, 0.6916086003218035, 0.6910485221916047]"
13,"[0.7051806015575637, 0.6950533040996588, 0.6993749254979339, 0.7047151042846532, 0.69528169765176, 0.6972508333917479, 0.6857632273308547, 0.7056085430265736, 0.6975941400797009, 0.6956482964148188]"
14,"[0.6956319912689547, 0.7016011394475923, 0.6973687869897743, 0.6915921859803204, 0.6985185934366588, 0.6974080923667645, 0.6926663151764914, 0.7059232166950893, 0.7071782070146637, 0.6931319542997529]"
15,"[0.6860136792135483, 0.6977919040169098, 0.702960359387504, 0.692087504154976, 0.6944799172603561, 0.706239838000123, 0.7038445180775196, 0.6960169468949436, 0.6957851600510061, 0.7066001131482766]"
16,"[0.7008083639175591, 0.7096693869777735, 0.6913054387870285, 0.6912115013010722, 0.6998151356730169, 0.6917363900500756, 0.7053210138200674, 0.7002350336562713, 0.6978530939629468, 0.693293207094745]"
17,"[0.6970714903976434, 0.7060121593624606, 0.7057374934659745, 0.6908124217505607, 0.6983866244005164, 0.6936783440933155, 0.6903452047454238, 0.7041968688409175, 0.697593818501374, 0.6982540712139879]"
18,"[0.6994629590830774, 0.6902383213805059, 0.7022210765708452, 0.6936440927424208, 0.7033547537148707, 0.7012088293744019, 0.6965891110416356, 0.6940431040063639, 0.7059094040026931, 0.694611810439233]"
19,"[0.7065278627921765, 0.699118477705378, 0.6923130575709763, 0.6969014702394654, 0.6917326873389227, 0.6919518607347032, 0.700088834295633, 0.7072006490325903, 0.6952737031264605, 0.7003420326376559]"
20,"[0.7031964133497016, 0.7084382299712408, 0.6915731853015773, 0.6978376233397852, 0.6956381086164856, 0.6914240876135305, 0.7001410770798611, 0.6955436753084301, 0.6979816708465455, 0.6993181056921371]"
