,roc_auc
0,"[0.6943928886057574, 0.69910152098689, 0.6971579603597056, 0.6990183965593172, 0.7012703986772556]"
1,"[0.6946032173452223, 0.6958284195075062, 0.6998592521782829, 0.6968731291123771, 0.7031698083616249]"
2,"[0.6954018341582218, 0.6980505401033289, 0.699717303347106, 0.694746091219832, 0.7023338290809512]"
3,"[0.697384824259652, 0.6897377148785475, 0.7061647243560034, 0.697569498317305, 0.699544497253659]"
4,"[0.6982970693698525, 0.6997284644953092, 0.6972760819440469, 0.6967937597734546, 0.6986550916091016]"
5,"[0.6966634910775008, 0.7008768199844487, 0.6997697303268658, 0.6984799918522666, 0.6947712384468397]"
6,"[0.7018231738995054, 0.6995740504525484, 0.6977471291583778, 0.7006729190439781, 0.6905177427291447]"
7,"[0.6977007685134915, 0.6992781778792028, 0.7033612740962085, 0.6992127815705029, 0.6911639207797304]"
8,"[0.6962347958467326, 0.6952455780833746, 0.70036319152563, 0.6994920369119927, 0.6996320340777221]"
9,"[0.6966250092907422, 0.6967340535043971, 0.702398363456524, 0.6950666505382957, 0.6999242654473763]"
10,"[0.6948539266512856, 0.6972226505290462, 0.7000791803677686, 0.696689901601045, 0.7017041562748331]"
11,"[0.6903680121792121, 0.7016007431340802, 0.6886802829103422, 0.7019402925165221, 0.7074542281418914]"
12,"[0.6965280534835865, 0.7002250958669314, 0.6989832473185689, 0.7021498830125525, 0.6933164884486219]"
13,"[0.6963504591183826, 0.7006367894706822, 0.6956841485582466, 0.6999761128019717, 0.698028271463186]"
14,"[0.6983585578309277, 0.6937729693342947, 0.7004993702452078, 0.696507057774213, 0.7015751656325121]"
15,"[0.6966796959660555, 0.7015266362424859, 0.6963778410445117, 0.6965687061109771, 0.6994905157959277]"
16,"[0.6936655628608125, 0.695994701775482, 0.7029873654168003, 0.7001532921742029, 0.6974377367463909]"
17,"[0.7003549086234958, 0.6959568532936551, 0.6965654616028445, 0.701608258988218, 0.6962757482381277]"
18,"[0.6940867231248403, 0.7025687803658365, 0.7005106301345028, 0.6956885543008693, 0.6981334736665067]"
19,"[0.6942038050903334, 0.6985789819957808, 0.7030761915407567, 0.6962100519163723, 0.6990098783093526]"
20,"[0.6931299582668847, 0.7020024843167822, 0.6952295638672724, 0.6981579954196697, 0.7021763583782142]"
21,"[0.7033726769898428, 0.6926459237616356, 0.6986222260540323, 0.6944504407445151, 0.7013105084646022]"
22,"[0.6985626488573027, 0.7010258361808751, 0.698842853375844, 0.6929376454113172, 0.6987163142603995]"
23,"[0.6954644257956294, 0.6947832927222195, 0.6949012383885244, 0.7023047224115293, 0.7030629783370822]"
24,"[0.6964510422419563, 0.6998352592280064, 0.7008054324452131, 0.6953074205081772, 0.6978777524878989]"
25,"[0.6982000670295387, 0.6946056813326893, 0.696725009047408, 0.7049946572500956, 0.6961537411077712]"
26,"[0.7044202405236745, 0.6992566614008988, 0.6948708363469417, 0.6941025206346204, 0.697689514374842]"
27,"[0.6979099622978819, 0.6929839587810466, 0.69879477554393, 0.70087269039526, 0.7000256784824693]"
28,"[0.7003119063106753, 0.6946917313565333, 0.6986691144530282, 0.7041569252804631, 0.6924776542374229]"
29,"[0.7024156998952882, 0.69750951609892, 0.698466725859265, 0.6960989820645886, 0.6965341472621068]"
30,"[0.6939883724578981, 0.6988513451097119, 0.6947127609391102, 0.700575454099687, 0.7023259590080562]"
31,"[0.6955327001530955, 0.6953375094444152, 0.7025338396389107, 0.6976245502320882, 0.6999293816190968]"
32,"[0.7023832617443018, 0.7011913932125584, 0.6950943759634748, 0.6966886517885169, 0.6951163978445921]"
33,"[0.6923872527457242, 0.6981978005242548, 0.6977509437423834, 0.7036271296362766, 0.698608160637848]"
34,"[0.7077830102636802, 0.6966610407094946, 0.696399001146922, 0.6951937102713429, 0.6948304144024173]"
35,"[0.6943332478515437, 0.7001537151374261, 0.6952254156064749, 0.7014965262022687, 0.6995709067799684]"
36,"[0.6995918669773089, 0.6927816973022517, 0.7002584953248658, 0.7015344360471271, 0.6965251726773227]"
37,"[0.7000373357091242, 0.6999070542161138, 0.6962789319796727, 0.7003767293670708, 0.6942876495410338]"
38,"[0.693690361629192, 0.6990150203858815, 0.6953264334178424, 0.7018885064606339, 0.7009417013878436]"
39,"[0.7029546299075844, 0.6947721565430278, 0.698917792189508, 0.6992697621242372, 0.6946116041267743]"
40,"[0.7010641216204058, 0.695916948273233, 0.7002571833167996, 0.6968751519697114, 0.6961587971159459]"
41,"[0.7016674353641723, 0.7024401036993015, 0.6975317056055831, 0.6975595826838509, 0.691713601043404]"
42,"[0.6938238323459618, 0.6941031413849492, 0.6972845033107002, 0.701116705791134, 0.704266708994559]"
43,"[0.697497417477825, 0.7007746660830515, 0.7027074582564885, 0.6859525533022908, 0.7036817093239829]"
44,"[0.6893107515892232, 0.6959233301256174, 0.7064033373108818, 0.698360173312786, 0.7005746345132698]"
45,"[0.6958918861952763, 0.6969577508796856, 0.6998989233979596, 0.7007727746378462, 0.6973554182585601]"
46,"[0.6988321303202993, 0.6928245759049692, 0.6996026808292596, 0.6978859086214271, 0.7019091130426711]"
47,"[0.6978091703425744, 0.6955351970542596, 0.6975412290136138, 0.6996222592042619, 0.7003154806070642]"
48,"[0.6974087457077587, 0.6996899486598986, 0.6963259293343558, 0.7014315121124202, 0.6957240292248624]"
49,"[0.7042847870403892, 0.6982757798825636, 0.6981609122144211, 0.6945075382198574, 0.6958285866565974]"
50,"[0.7006965005921106, 0.7073403539505398, 0.6971229685598013, 0.6889617874303413, 0.6968832490748549]"
51,"[0.6979977045397423, 0.6991447037575674, 0.7001540102257455, 0.6947154520827326, 0.6985915441475785]"
52,"[0.7037336233473441, 0.6979229098653726, 0.7002997940701193, 0.6904351847222917, 0.6982262651519621]"
53,"[0.6993408171847234, 0.6937742177848768, 0.6998586983202065, 0.69348399057126, 0.7040536187964177]"
54,"[0.6967656370342125, 0.7008027210375398, 0.6961405049140921, 0.6966691213393377, 0.700387256852435]"
55,"[0.6925985938651156, 0.6952966873802928, 0.7031936707405259, 0.6943224501792488, 0.705047539871744]"
56,"[0.6982635337173089, 0.7002121744034072, 0.6985747701774991, 0.6926954235702065, 0.7011060114370674]"
57,"[0.7008295888290204, 0.698906804689431, 0.701602445566692, 0.6917545292820064, 0.6981302316459979]"
58,"[0.6988247326831233, 0.7039094415078566, 0.6929259228533082, 0.7008679681244907, 0.6940066880521965]"
59,"[0.7007900799079194, 0.7018692133521054, 0.690254886667109, 0.6975248808046641, 0.7003353300365527]"
60,"[0.7041089280214943, 0.698030544464825, 0.7019923537077865, 0.6976376204786358, 0.6892542095070844]"
61,"[0.6951433889983702, 0.6969909210766949, 0.6988310248740567, 0.69884998176704, 0.7012245529201502]"
62,"[0.697552310714962, 0.7019700688648972, 0.6973270868250983, 0.6992420551086274, 0.6942155838295464]"
63,"[0.6909520793548241, 0.7044634471284084, 0.6938764942614221, 0.7043815157971536, 0.69748130196456]"
64,"[0.7026174324850184, 0.6955518854336761, 0.6987740796381451, 0.6978591369786812, 0.6957241393355029]"
65,"[0.6972075862703413, 0.6966211197997016, 0.7020069776039224, 0.7020595775302187, 0.692226892578284]"
66,"[0.7007963232957847, 0.6935643521070822, 0.7008681920559718, 0.697659069350315, 0.6982970560773741]"
67,"[0.700925709309241, 0.6944151598291859, 0.6986822175093641, 0.6992973749214639, 0.6973752404441786]"
68,"[0.6961135781049479, 0.6990569093077738, 0.6984234806660584, 0.6942325658417359, 0.7030869597534938]"
69,"[0.7018991750311191, 0.6996885072669539, 0.6962838826537079, 0.7023384174026939, 0.6904260739181584]"
70,"[0.7007235431666725, 0.701146506874314, 0.6949845690600096, 0.6977026720288051, 0.6959652044473075]"
71,"[0.7008035336653734, 0.7039281909656886, 0.6968631035711516, 0.6927327828618624, 0.6959795108844482]"
