,roc_auc
0,"[0.7453328913392421, 0.7384034708167585, 0.6994643729499617, 0.7258114311011696, 0.70697026888485]"
1,"[0.7425704282690115, 0.7513114429943936, 0.7118169446576872, 0.7199077310219488, 0.6924338272985695]"
2,"[0.7173127922395143, 0.7380748831041942, 0.7132127154721194, 0.7347703760659863, 0.7167330723705672]"
3,"[0.6836776234675599, 0.748025565868751, 0.7033405448158746, 0.7272473088214735, 0.7519950836478867]"
4,"[0.7442133668318329, 0.6900778142229046, 0.7310495033382185, 0.722231930658465, 0.7315432918588938]"
5,"[0.7307238234815177, 0.7284876823225628, 0.7044629771791473, 0.6958414884197772, 0.7536872640849993]"
6,"[0.7349518459069019, 0.7325615883871868, 0.7129364691650963, 0.711726431800177, 0.7273463348711496]"
7,"[0.756170470142136, 0.6848407658129202, 0.7402528671458812, 0.6992316743557481, 0.7429079873246656]"
8,"[0.697629515900156, 0.7076616186288877, 0.7484908228068952, 0.7118749708746913, 0.7471253320285195]"
9,"[0.7520965640775118, 0.7594970572498663, 0.71640263335427, 0.6998869938021343, 0.6923406263106389]"
10,"[0.7308953869774584, 0.7282550538534907, 0.7171121501849395, 0.691312502912531, 0.751785381425043]"
11,"[0.7397120059552889, 0.6962395607974504, 0.7200607160304278, 0.7047916957919754, 0.7487563493173026]"
12,"[0.7533207713960035, 0.710299043896992, 0.7038290646009258, 0.7185126287338646, 0.7270783820308495]"
13,"[0.7217240095842931, 0.7201072417242422, 0.7278624933119314, 0.7169252994081738, 0.7324461764294703]"
14,"[0.7518523041849863, 0.7204649079954404, 0.7175337892851327, 0.7488932382683257, 0.6752353324945245]"
15,"[0.7528322516109521, 0.736809965803615, 0.7214855654034942, 0.6942133836618669, 0.7173388787921152]"
16,"[0.7573307046316329, 0.71712959732012, 0.7353182357456906, 0.7072673470338784, 0.6998869938021343]"
17,"[0.7223288436038803, 0.7176210249610347, 0.7172168329960221, 0.7276987511067617, 0.7348635770539167]"
18,"[0.7100227975899691, 0.7217007467373858, 0.741389838788471, 0.7022403187473787, 0.7438807726361899]"
19,"[0.7105142252308838, 0.7173651336450556, 0.728990741386931, 0.7536319259984156, 0.7096876601891983]"
20,"[0.744998487914951, 0.772649289320027, 0.7066293297973807, 0.6814594109697563, 0.7174699426813923]"
21,"[0.7025990415707074, 0.7288802428641218, 0.73182880870961, 0.7096497972878513, 0.7471923202385946]"
