,roc_auc
0,"[0.6748346012263707, 0.6723858739721219, 0.6727229739144245, 0.6741008216255844, 0.6759181878396295]"
1,"[0.6752898672990553, 0.6753804866990906, 0.6702827592430796, 0.675435252205139, 0.673655991207262]"
2,"[0.6723699404833243, 0.6740813543007962, 0.6783762896614827, 0.6722458657476736, 0.6729062581391536]"
3,"[0.6731686998846328, 0.676315012338668, 0.6751005020005756, 0.6717624139387393, 0.6738619077710549]"
4,"[0.671954109018777, 0.6761472090386762, 0.6726094286908547, 0.6776583268006168, 0.6718098630008593]"
5,"[0.6757113775958129, 0.67135295158998, 0.674240404036648, 0.6790438466599531, 0.6696429713030176]"
6,"[0.6736443781550844, 0.6724507383919504, 0.6802882717609906, 0.6686162508929573, 0.6751155733118894]"
7,"[0.6689759221834651, 0.6771111579854622, 0.6748672659901718, 0.670917746389766, 0.6782138579218244]"
8,"[0.6797592510009048, 0.6777325275523192, 0.6792828427578446, 0.6671302873953042, 0.6661948186026516]"
9,"[0.6773071382501737, 0.6754466053510739, 0.6782855447032731, 0.6613246855237292, 0.6773507437197448]"
10,"[0.6717483635107601, 0.6822774732672741, 0.6746584612584857, 0.6706468447081834, 0.6708009080701781]"
11,"[0.6810653350106095, 0.6788051223019707, 0.6703766602215571, 0.6741830059551436, 0.665725416518323]"
12,"[0.6795906839278356, 0.6722838682573122, 0.6744554996697879, 0.6791083834452933, 0.6648146722138943]"
13,"[0.6726849761822871, 0.6786180102776463, 0.6720356437352963, 0.6727901035928497, 0.6737202448489318]"
14,"[0.6764734648179254, 0.6700797926066202, 0.6725558671286603, 0.6742752914349812, 0.6768283532444171]"
15,"[0.6682530257763146, 0.6731519942815719, 0.6766575363461911, 0.6741238526541982, 0.6781088658661609]"
16,"[0.6799066051991436, 0.6685667171259145, 0.674743399953671, 0.6764633941764066, 0.6703468206206359]"
17,"[0.6749829019365817, 0.6749838823980013, 0.6735770193489905, 0.6723306747658166, 0.6743025495508171]"
18,"[0.6713271968263284, 0.6729776918416028, 0.678738353037436, 0.6708834431363061, 0.6763355991973764]"
19,"[0.676872912265549, 0.6670280641228743, 0.6693662024344472, 0.6779560020517388, 0.6789344018967427]"
20,"[0.6793229804013463, 0.6732371626214773, 0.66923979714915, 0.671792503656346, 0.6763714852096968]"
21,"[0.6724741543451622, 0.6736989230734374, 0.6727666424791703, 0.6747619110769599, 0.6764995473624639]"
22,"[0.6758202196518543, 0.6768911343702022, 0.6668171698181357, 0.670677858909628, 0.6799357398805365]"
23,"[0.6769974898705978, 0.6705304217456306, 0.6714623810425221, 0.6788642897883334, 0.6720928030906047]"
24,"[0.6776230005482801, 0.6758419062004866, 0.6735384041450586, 0.6704210427662306, 0.6727784165649194]"
25,"[0.6742628456950559, 0.6713209068689437, 0.6717739371822607, 0.6734291206923922, 0.6791021668059698]"
26,"[0.6769997252091803, 0.6734853551325715, 0.6756202442624791, 0.6735828994739663, 0.6705329439404455]"
27,"[0.6682146826573561, 0.6768713083458037, 0.6808285597458679, 0.6731482655501193, 0.6709210082169907]"
28,"[0.6737136101650333, 0.6693789060541179, 0.6684555053608827, 0.6745347206676915, 0.6839191324230973]"
29,"[0.6731425924685728, 0.6724527225044911, 0.6772004874787527, 0.6765426896383286, 0.6705663468025725]"
30,"[0.6675605061510083, 0.6814219866727643, 0.672936108922013, 0.6751148840994198, 0.6723437199489134]"
31,"[0.6705428426936922, 0.6727944957077332, 0.679268895473432, 0.6720536722067805, 0.6752638847629867]"
32,"[0.6694904850764949, 0.6732839519390996, 0.6781667497281625, 0.673702139807519, 0.6755196836141566]"
33,"[0.6713062417006255, 0.6766048592703137, 0.678603356303733, 0.6690137898837905, 0.6747539756024427]"
34,"[0.6722648960813481, 0.6754451005198173, 0.6782104274190998, 0.6726469577382562, 0.6716165148631501]"
35,"[0.6711269471958276, 0.6779118349068453, 0.6760433907700383, 0.6759425348831396, 0.6689871612399053]"
36,"[0.6801021938737246, 0.6770905047600265, 0.6727831906836634, 0.6673462687528725, 0.6728361013300114]"
37,"[0.6705594180197522, 0.6749998604776611, 0.671806722247436, 0.6817051334026549, 0.6712662929623685]"
38,"[0.6750124843141976, 0.671823064628473, 0.6731233532805041, 0.6717698748546436, 0.678236461703033]"
39,"[0.6700591560458046, 0.6791238427537925, 0.6761388897658752, 0.671705214771885, 0.6730153553205562]"
40,"[0.672416235506005, 0.6762961434430674, 0.6741709439475118, 0.6772704729624637, 0.669929922308221]"
41,"[0.6768257107605324, 0.6741085695574376, 0.6718095474164816, 0.6770057464868653, 0.670403371078883]"
42,"[0.6758171353252405, 0.6676326700305403, 0.6785393467587174, 0.6670332325086098, 0.6809125520756297]"
43,"[0.6736022466840776, 0.6766758554285254, 0.6758407759305893, 0.6687692719355296, 0.6750993390407756]"
44,"[0.6722285886705335, 0.6696259865440377, 0.6740373783042789, 0.6754531124491381, 0.6787542775049459]"
45,"[0.6716795840059192, 0.6774413354617441, 0.6733265222468715, 0.6766545370056732, 0.6710530488778386]"
46,"[0.6723127716460995, 0.672676920709315, 0.6804541298823683, 0.6671727648806929, 0.6771900008849124]"
47,"[0.6763537500711949, 0.6650960112472445, 0.6725018067695206, 0.6851467466699649, 0.670709519609783]"
48,"[0.6747711142379222, 0.6731925878228671, 0.6737049061928666, 0.6757354653797352, 0.6727279399524739]"
49,"[0.6849773326007677, 0.675615961574765, 0.6735422978558744, 0.6649395273991037, 0.671321153009393]"
50,"[0.672375071250707, 0.6774961066285787, 0.670710479046112, 0.6741907497839854, 0.6751766589793107]"
51,"[0.6727277284141576, 0.6792304241969188, 0.6735043082994692, 0.6758780575560102, 0.6685466648274496]"
52,"[0.6768413274218772, 0.6724039990107021, 0.6731361369884419, 0.6722833783163408, 0.6753643629433133]"
53,"[0.6694099975138349, 0.6755368474448304, 0.672596102904604, 0.6777765518436888, 0.6748931512558928]"
54,"[0.6744618590679515, 0.6762552119238036, 0.6709255767918373, 0.6717403664989328, 0.6767295650985524]"
55,"[0.6743021915504395, 0.6735646388106103, 0.6788966638194528, 0.6721021563365379, 0.6710805447960202]"
56,"[0.670677932489295, 0.6734145307181545, 0.6788306471952901, 0.6724514615302466, 0.6746936966205072]"
57,"[0.6687335349627156, 0.6780698434859649, 0.6784062340441457, 0.6725161966605046, 0.6725325068259884]"
58,"[0.6742126233414026, 0.672719643145513, 0.678064201592113, 0.6704228599298381, 0.6745372710792575]"
59,"[0.6742340194280267, 0.6689696498679227, 0.6813674734635403, 0.671352018070166, 0.6740876598972114]"
