field,"""Random Numbers""","""Random Numbers"" and ""Hardware""","""Random Numbers"" and ""Quantum""","""Random Numbers"" and ""Pseudo""","""Random Numbers"" and ""Quasi"""
Computer Science,11066,1498.0,1271.0,2856.0,86.0
Medicine,8930,8.0,15.0,33.0,26.0
Engineering,2628,230.0,99.0,371.0,29.0
Physics and Astronomy,1370,63.0,426.0,175.0,42.0
"Biochemistry, Genetics and Molecular Biology",1160,12.0,13.0,32.0,5.0
Mathematics,1148,6.0,11.0,111.0,72.0
Neuroscience,1100,4.0,6.0,12.0,1.0
Decision Sciences,740,14.0,8.0,54.0,11.0
Health Professions,461,1.0,,7.0,11.0
Psychology,429,3.0,16.0,11.0,6.0
Environmental Science,385,2.0,,25.0,5.0
Social Sciences,372,3.0,6.0,16.0,8.0
"Business, Management and Accounting",336,5.0,3.0,21.0,9.0
"Economics, Econometrics and Finance",320,6.0,7.0,40.0,19.0
Agricultural and Biological Sciences,228,,4.0,8.0,1.0
Immunology and Microbiology,213,,,1.0,
"Pharmacology, Toxicology and Pharmaceutics",171,,1.0,,1.0
Arts and Humanities,162,7.0,10.0,21.0,2.0
Materials Science,158,5.0,15.0,13.0,1.0
Dentistry,146,,,,
Earth and Planetary Sciences,130,2.0,,11.0,4.0
Nursing,103,,,,
Chemistry,71,1.0,4.0,8.0,
Energy,22,4.0,,1.0,
Chemical Engineering,14,,,1.0,
Veterinary,14,,,,
