Replication,Target Feature,Estimand,# Seed Trials,Min,Max,Mean,Standard Error,Z-score,Notes
SIR Model,Infected,Fraction Infected,,,,,,,
Buffon,\pi,Estimate of \pi,,,,,,,
Hofert (2021),Collisions,Collison Count,,,,,,,
Salganik et al. (2020),,$\hat{\beta}$,10000,,,,,,
Salganik et al. (2020),,R$^2$,10000,,,,,,
Salganik et al. (2020),,$\hat{\beta}$,10000,,,,,,
Salganik et al. (2020),,R$^2$,10000,,,,,,
Salganik et al. (2020),,$\hat{\beta}$,10000,,,,,,
Salganik et al. (2020),,R$^2$,10000,,,,,,
Salganik et al. (2020),,$\hat{\beta}$,,,,,,,
Salganik et al. (2020),,R$^2$,,,,,,,
Salganik et al. (2020),,$\hat{\beta}$,,,,,,,
Salganik et al. (2020),,R$^2$,,,,,,,
Salganik et al. (2020),,$\hat{\beta}$,,,,,,,
Salganik et al. (2020),,R$^2$,,,,,,,
Orben and Przybylski (2019),Child well-being,\hat{\beta},,,,,,,
RW Forecasting,US/UK Exchange Rate,\hat{y},,,,,,,
RW Forecasting,Bitcoin Price,\hat{y},,,,,,,
RW Forecasting,NASDAQ Composite,\hat{y},,,,,,,
RW Forecasting,NVidia Share Price,\hat{y},,,,,,,
Topic Modelling,Science Abstracts,# Topics,,,,,,,
Topic Modelling,NEJM Abstracts,# Topics,,,,,,,
Topic Modelling,PNAS Abstracts,# Topics,,,,,,,
Topic Modelling,Nature Abstracts,# Topics,,,,,,,
Topic Modelling,Population Studies Abstracts,# Topics,,,,,,,
Topic Modelling,SHAPE ICS,# Topics,,,,,,,
CNN MNIST,Character Recognition,Accuracy Score,,,,,,,
Schelling Model,Convergeance,Steps,,,,,,,
Schelling Model,Convergeance,Steps,,,,,,,
Schelling Model,Convergeance,Steps,,,,,,,
Schelling Model,Convergeance,Steps,,,,,,,
MVProbit,Private schooling and property taxes,"\rho_{2,1}",,,,,,,
Nature Medicine Paper,Covid Diagnosis,? AUC?,,,,,,,
Titanic Dataset,Survival,,,,,,,,
House price dataset,House Prices,Flip Rate,,,,,,,
Compounding,Compounding,Compounding,,,,,,,
Compounding,Compounding,Compounding,,,,,,,
Compounding,Compounding,Compounding,,,,,,,
COMPAS,Recidivism,SD,,,,,,,Logistic Regression
COMPAS,Recidivism,SD,,,,,,,Random Forest
COMPAS,Recidivism,SD,,,,,,,Neural Network
LLMs,?,?,,,,,,,
LLMs,?,?,,,,,,,
LLMs,?,?,,,,,,,
LLMs,?,?,,,,,,,
LLMs,?,?,,,,,,,
LLMs,?,?,,,,,,,
LLMs,?,?,,,,,,,
LLMs,?,?,,,,,,,
